Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
GHR,Growth hormone receptor,Lifestyle factors,X1050.Time spend outdoors in summer,46934,0.0134887447381969,0.0507119027871777,-0.0859065847246713,0.112884074201065,0.790251637243809
GHR,Growth hormone receptor,Lifestyle factors,X1060.Time spent outdoors in winter,45105,-0.0696661354382589,0.0563558189857082,-0.180123540650247,0.0407912697737292,0.216407942935563
GHR,Growth hormone receptor,Physical activities,X1070.Time spent watching television (TV),47645,0.139208915916349,0.0502093504575171,0.0407985890196152,0.237619242813082,0.00556696772721028
GHR,Growth hormone receptor,Physical activities,X1080.Time spent using computer,45081,0.0531205851085057,0.0503837249045614,-0.0456315157044346,0.151872685921446,0.291751744098815
GHR,Growth hormone receptor,Physical activities,X1090.Time spent driving,42829,0.323297775976004,0.055449278424342,0.214617190264294,0.431978361687714,5.6455229206535e-09
GHR,Growth hormone receptor,Lifestyle factors,X1160.Sleep duration,48556,-0.0183744891737376,0.0459257916555486,-0.108389040818613,0.0716400624711375,0.689093883473318
GHR,Growth hormone receptor,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34714,0.0139801415117543,0.011777935669569,-0.00910461240060082,0.0370648954241095,0.235282716889514
GHR,Growth hormone receptor,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34714,-0.00729352009633956,0.0131399508583139,-0.0330478237786348,0.0184607835859557,0.578870857667148
GHR,Growth hormone receptor,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34714,-0.000865880241051198,0.0140175231055944,-0.0283402255280162,0.0266084650459138,0.950747000022234
GHR,Growth hormone receptor,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34714,0.000911164045701077,0.0144875260628238,-0.0274843870374336,0.0293067151288357,0.949853761115058
GHR,Growth hormone receptor,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34714,-0.00779880498707737,0.0146564667243091,-0.0365254797667232,0.0209278697925685,0.594671391809273
GHR,Growth hormone receptor,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34714,-0.0242331478923901,0.0400133729601139,-0.102659358894213,0.0541930631094332,0.544785466022834
GHR,Growth hormone receptor,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34714,0.0244376048754878,0.0463396620101504,-0.066388132664407,0.115263342415383,0.597963938157186
GHR,Growth hormone receptor,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34714,0.0072335597784408,0.0236339304239615,-0.0390889438525238,0.0535560634094054,0.759564260466474
GHR,Growth hormone receptor,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34714,0.00317253986966444,0.0180977255989368,-0.0322990023042516,0.0386440820435805,0.860849344586067
GHR,Growth hormone receptor,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34714,0.00666889826134282,0.0119986132335751,-0.0168483836764644,0.03018618019915,0.578363989874389
GHR,Growth hormone receptor,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34714,0.0156542269794912,0.019035328024183,-0.0216550159479076,0.05296346990689,0.410894106322176
GHR,Growth hormone receptor,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34714,-0.011106916952483,0.00901128937010011,-0.0287690441178792,0.00655521021291323,0.217788930262913
GHR,Growth hormone receptor,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34714,0.0105588244025083,0.0121474161109873,-0.0132501111750269,0.0343677599800434,0.384758798288018
GHR,Growth hormone receptor,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34714,-6.48385146598214e-05,0.019570094764717,-0.0384222242535051,0.0382925472241854,0.997356607598294
