Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
MTSS1,Protein MTSS 1,Lifestyle factors,X1050.Time spend outdoors in summer,47299,0.0321841826588664,0.0125628432294708,0.00756100992910372,0.0568073553886292,0.0104192446899028
MTSS1,Protein MTSS 1,Lifestyle factors,X1060.Time spent outdoors in winter,45414,0.0111717208302092,0.0139484846745267,-0.0161673091318631,0.0385107507922815,0.423185107926238
MTSS1,Protein MTSS 1,Physical activities,X1070.Time spent watching television (TV),48026,0.0297447144244172,0.0124132419196065,0.00541476026198845,0.054074668586846,0.0165750673308419
MTSS1,Protein MTSS 1,Physical activities,X1080.Time spent using computer,45406,-0.00541068720178068,0.0124891371969864,-0.0298893961078739,0.0190680217043126,0.664852182669311
MTSS1,Protein MTSS 1,Physical activities,X1090.Time spent driving,43125,0.0025959120291802,0.0136622357890279,-0.0241820701173144,0.0293738941756748,0.849306782754294
MTSS1,Protein MTSS 1,Lifestyle factors,X1160.Sleep duration,48950,0.0079806925594315,0.0113882045524998,-0.0143401883634682,0.0303015734823312,0.483444685369269
MTSS1,Protein MTSS 1,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34818,0.0288636944985213,0.0469652061642233,-0.0631881095833564,0.120915498580399,0.538857171367943
MTSS1,Protein MTSS 1,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34818,0.00889294660513673,0.0523084662237566,-0.0936316471934261,0.1114175404037,0.865008039741211
MTSS1,Protein MTSS 1,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34818,0.0966364264230821,0.0553627064958293,-0.0118744783087433,0.205147331154907,0.0809446818012015
MTSS1,Protein MTSS 1,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34818,0.00499946585459533,0.0574873965406744,-0.107675831365126,0.117674763074317,0.930701103983039
MTSS1,Protein MTSS 1,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34818,0.00527003432528558,0.0580218424386796,-0.108452776854526,0.118992845505098,0.927631825026767
MTSS1,Protein MTSS 1,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34818,-0.297454054629622,0.157165404171649,-0.605498246806054,0.0105901375468104,0.0584551064071775
MTSS1,Protein MTSS 1,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34818,-0.295706060895326,0.183181185933663,-0.654741185325306,0.0633290635346531,0.106517048330756
MTSS1,Protein MTSS 1,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34818,-0.00211600801374485,0.0928153764548012,-0.184034145865155,0.179802129837666,0.98181210859798
MTSS1,Protein MTSS 1,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34818,0.0446840062244851,0.0722341733300392,-0.0968949735023917,0.186262985951362,0.536203048400004
MTSS1,Protein MTSS 1,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34818,0.0396935621888697,0.0479332880976364,-0.0542556824824978,0.133642806860237,0.40764557693908
MTSS1,Protein MTSS 1,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34818,0.143148596089719,0.0758692141407616,-0.00555506362617381,0.291852255805612,0.0592363272979327
MTSS1,Protein MTSS 1,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34818,0.0127530970685293,0.0357512874594282,-0.0573194263519499,0.0828256204890086,0.721315675678495
MTSS1,Protein MTSS 1,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34818,-0.0935911117166391,0.0484018002994907,-0.188458640303641,0.00127641687036263,0.0532041244499731
MTSS1,Protein MTSS 1,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34818,0.154553865589389,0.0771578219255972,0.00332453461521823,0.305783196563559,0.0452112260499686
MTSS1,Protein MTSS 1,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34818,-0.0180170815506993,0.0709932272677237,-0.157163806995438,0.121129643894039,0.799669341945499
MTSS1,Protein MTSS 1,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34818,0.0467972901145714,0.0866026931969117,-0.122943988551375,0.216538568780518,0.58896289595902
MTSS1,Protein MTSS 1,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34818,0.0823726984792447,0.0866998462447221,-0.0875590001604105,0.2523043971189,0.342103206084433
MTSS1,Protein MTSS 1,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34818,0.0223978913407715,0.0543568172771113,-0.0841414705223666,0.12893725320391,0.680314757664319
MTSS1,Protein MTSS 1,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34818,-0.0255983041094916,0.0532595481067988,-0.129987018398817,0.078790410179834,0.630794163653022
MTSS1,Protein MTSS 1,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34818,0.131549535419935,0.0589547201885636,0.0159982838503503,0.24710078698952,0.0256924294160737
MTSS1,Protein MTSS 1,Health and medical history,X120040.Fatigue severity over the past week,34826,0.0335199050225013,0.0214930582700916,-0.00860648918687829,0.0756462992318809,0.118912635473692
MTSS1,Protein MTSS 1,Health and medical history,X120041.Waking unrefreshed severity over the past week,34829,0.0248571625082927,0.0211886684319081,-0.0166726276182472,0.0663869526348326,0.240786658905124
MTSS1,Protein MTSS 1,Health and medical history,X120042.Cognitive symptoms severity over the past week,34828,0.047460810405571,0.02339017731004,0.00161606287789252,0.0933055579332494,0.0424914318170324
MTSS1,Protein MTSS 1,Health and medical history,X120098.Mobility problems today,34830,-0.0189116567359078,0.0249337608158805,-0.0677818279350336,0.0299585144632179,0.44819483935793
MTSS1,Protein MTSS 1,Health and medical history,X120099.Self-care problems today,34830,-0.0331240938959177,0.0376397123103944,-0.106897930024291,0.0406497422324554,0.378876761471561
MTSS1,Protein MTSS 1,Health and medical history,X120100.Problems doing usual activities,34830,0.00170928723190046,0.0239693553668655,-0.0452706492871559,0.0486892237509568,0.94315224759344
MTSS1,Protein MTSS 1,Health and medical history,X120101.Pain or discomfort today,34830,0.00688231357448299,0.0212290038682781,-0.0347265340073421,0.0484911611563081,0.745802128092463
MTSS1,Protein MTSS 1,Health and medical history,X120102.Anxiety or depression today,34830,0.0478353883751392,0.0272858967589618,-0.00564496927242591,0.101315746022704,0.0796310097844739
MTSS1,Protein MTSS 1,Health and medical history,X120103.Scale to indicate how health is today,34816,0.0134108979071208,0.0154728969503883,-0.0169159801156403,0.043737775929882,0.386120799826317
MTSS1,Protein MTSS 1,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,34815,0.0161399938008816,0.0268091822770386,-0.036406003462114,0.0686859910638771,0.547174602389583
MTSS1,Protein MTSS 1,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",34813,-0.000682214834043234,0.0283277432907834,-0.0562045916839787,0.0548401620158923,0.980787239238314
MTSS1,Protein MTSS 1,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",34819,0.0159055107083101,0.0216493694703461,-0.0265272534535682,0.0583382748701885,0.46255783793128
MTSS1,Protein MTSS 1,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,34824,0.014782172617276,0.0219207146956961,-0.0281824281862884,0.0577467734208404,0.500115654482899
MTSS1,Protein MTSS 1,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,34823,-0.0300798483719837,0.0316877256957907,-0.0921877907357335,0.0320280939917661,0.342525942165599
MTSS1,Protein MTSS 1,Health and medical history,X120109.Feeling bad about self over the last two weeks,34811,0.0180942958337593,0.030069370378501,-0.0408416701081026,0.0770302617756212,0.547361376873909
