Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
CD3G,T-cell surface glycoprotein CD3 gamma chain,Lifestyle factors,X1050.Time spend outdoors in summer,46890,-0.00596538559917316,0.0167696067358173,-0.038833814801375,0.0269030436030287,0.722049991121567
CD3G,T-cell surface glycoprotein CD3 gamma chain,Lifestyle factors,X1060.Time spent outdoors in winter,45094,-0.0139535859312273,0.0183010211945185,-0.0498235874724835,0.0219164156100289,0.445803687540411
CD3G,T-cell surface glycoprotein CD3 gamma chain,Physical activities,X1070.Time spent watching television (TV),47898,-0.011484792883005,0.0169219995411455,-0.0446519119836503,0.0216823262176402,0.497342663170429
CD3G,T-cell surface glycoprotein CD3 gamma chain,Physical activities,X1080.Time spent using computer,45071,-0.00401854185193308,0.0168763859445211,-0.0370962583031944,0.0290591745993283,0.811793999118148
CD3G,T-cell surface glycoprotein CD3 gamma chain,Physical activities,X1090.Time spent driving,41587,-0.0557056311173953,0.0197836547179002,-0.0944815943644798,-0.0169296678703108,0.00487418583246691
CD3G,T-cell surface glycoprotein CD3 gamma chain,Lifestyle factors,X1160.Sleep duration,48565,-0.000790360124977724,0.0147035577591083,-0.0296093333328301,0.0280286130828746,0.957132521913545
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34619,-0.0301697789855294,0.0418528662738224,-0.112201396882221,0.0518618389111626,0.471030806265566
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34619,-0.0532242629525021,0.0399837264756066,-0.131592366844691,0.0251438409396868,0.183196209730056
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34619,-0.0088877897961331,0.0436048197685402,-0.0943532365424719,0.0765776569502057,0.838497230498753
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34619,-0.0155492578206088,0.0440858416552346,-0.101957507464869,0.070858991823651,0.724323975230602
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34619,0.0106205304240797,0.0442120716563865,-0.0760351300224379,0.0972761908705973,0.810170424247141
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34619,0.0533844860511119,0.113595960607381,-0.169263596739355,0.276032568841579,0.638409225451679
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34619,0.066957686678364,0.113639342611098,-0.155775424839388,0.289690798196116,0.555743470745792
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34619,-0.0594828107385219,0.0774741091831245,-0.211332064737446,0.0923664432604022,0.442653314494191
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34619,-0.110814015510817,0.0554110319706392,-0.21941963817327,-0.00220839284836419,0.0455657211774239
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34619,-0.0623886774955733,0.035899370888269,-0.132751444436581,0.0079740894454339,0.0822892990910578
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34619,0.00655380749732981,0.0539712483098337,-0.0992298391899442,0.112337454184604,0.90335379687185
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34619,-0.0163805572671655,0.0290699973279591,-0.0733577520299653,0.0405966374956343,0.573126794113768
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34619,-0.0722329992929672,0.0377005123475298,-0.146126003494126,0.0016600049081912,0.0554215881284474
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34619,-0.0194490097490752,0.054232704490135,-0.12574511054974,0.0868470910515894,0.719892271700944
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34619,-0.00456100864365155,0.0509228326089246,-0.104369760557144,0.0952477432698406,0.928634564064845
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34619,-0.0333263630346828,0.0774788229046592,-0.185184855927815,0.118532129858449,0.667114437042958
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34619,-0.00645394746841229,0.0746183878215581,-0.152705987598666,0.139798092661842,0.931077933448492
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34619,0.0350817080012364,0.0391261920474067,-0.0416056284116806,0.111769044414153,0.369956300370298
CD3G,T-cell surface glycoprotein CD3 gamma chain,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34619,0.0134278943847549,0.0372368898285043,-0.0595564096791135,0.0864121984486234,0.718407069488206
