Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Lifestyle factors,X1050.Time spend outdoors in summer,47388,-0.044697980142435,0.0247689065569983,-0.0932450369941518,0.00384907670928172,0.0711537558016869
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Lifestyle factors,X1060.Time spent outdoors in winter,45531,0.0095599346763684,0.0275979006718609,-0.0445319506404789,0.0636518199932157,0.729045990649747
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Physical activities,X1070.Time spent watching television (TV),48419,0.0119464601510219,0.025475720155963,-0.0379859513546656,0.0618788716567094,0.639121322326364
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Physical activities,X1080.Time spent using computer,45516,-0.0804538716383525,0.0246840283725283,-0.128834567248508,-0.032073176028197,0.00111896645175411
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Physical activities,X1090.Time spent driving,41936,-0.0612523946553944,0.0287272165140726,-0.117557739022977,-0.00494705028781219,0.0330088375262535
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Lifestyle factors,X1160.Sleep duration,49110,-0.0159849093962233,0.022169453868291,-0.0594370389780737,0.0274672201856272,0.470897631886543
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34781,0.0268667412681663,0.0263007226852064,-0.0246826751948383,0.0784161577311709,0.307051881096416
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34781,0.0246390083384366,0.0252791247365665,-0.0249080761452339,0.074186092822107,0.329762175361479
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34781,0.00513627991612205,0.0275837381860967,-0.0489278469286275,0.0592004067608716,0.852289343385161
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34781,0.061330027739649,0.0279608200709816,0.00652682040052505,0.116133235078773,0.0283176652079528
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34781,-0.0293258303686897,0.0281033364871631,-0.0844083698835293,0.02575670914615,0.296761949649408
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34781,-0.0916528277487392,0.0724594218300265,-0.233673294535591,0.0503676390381126,0.205965351039047
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34781,0.0386880663812958,0.0724466618709651,-0.103307390885796,0.180683523648387,0.593347988243455
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34781,0.0171702854630847,0.048916750388764,-0.0787065452988927,0.113047116225062,0.725593821681727
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34781,-0.032717597614683,0.0350795392471007,-0.101473494539,0.0360382993096343,0.351031215218917
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34781,0.0270574134921939,0.0226981924793397,-0.0174310437673119,0.0715458707516996,0.233291697590832
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34781,0.000636005717866078,0.0341532118069118,-0.066304289423681,0.0675763008594131,0.985143209753812
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34781,0.00266324546202758,0.0184113811747311,-0.0334230616404454,0.0387495525645006,0.884990755556379
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34781,0.00257681891894915,0.0237343950962122,-0.0439425954696267,0.049096233307525,0.913548269348277
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34781,0.00172343252833691,0.0340047409101859,-0.0649258596556274,0.0683727247123013,0.959580632319183
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34781,-0.0103364907466178,0.031997386847267,-0.0730513689672611,0.0523783874740255,0.746675738888424
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34781,0.0270609528946195,0.0495855323126273,-0.0701266904381301,0.124248596227369,0.585264456962319
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34781,-0.0170934278143976,0.0473469156482559,-0.109893382484979,0.075706526856184,0.718094288531351
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34781,0.0198472717252895,0.0248804716979895,-0.02891845280277,0.0686129962533489,0.425075718780323
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34781,-0.00490029039468768,0.0236949574531526,-0.0513424070028668,0.0415418262134915,0.836167883866933
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34781,0.0589010099783255,0.0298334376615259,0.000427472161734749,0.117374547794916,0.0483935619623714
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120040.Fatigue severity over the past week,34787,0.0312629595031783,0.0427859120954074,-0.0525974282038202,0.115123347210177,0.465003120565386
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120041.Waking unrefreshed severity over the past week,34787,-0.0019705685237539,0.0428848193854291,-0.086024814519195,0.0820836774716872,0.963351537267267
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120042.Cognitive symptoms severity over the past week,34786,0.0745384767759381,0.0457242136466233,-0.0150809819714435,0.16415793552332,0.103120824114189
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120098.Mobility problems today,34790,0.0481831889185321,0.046955059332845,-0.043848727373844,0.140215105210908,0.30486270534296
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120099.Self-care problems today,34790,0.114160032080795,0.0704068203659795,-0.0238373358365245,0.252157399998115,0.104980901294271
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120100.Problems doing usual activities,34790,0.0617391421152343,0.0457128321427974,-0.0278580088846485,0.151336293115117,0.176882511852558
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120101.Pain or discomfort today,34790,0.0254203020000527,0.0425351331242047,-0.0579485589233884,0.108789162923494,0.55011056057506
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120102.Anxiety or depression today,34790,0.0923476043483384,0.0530378981709246,-0.0116066760666738,0.196301884763351,0.0817100670026449
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120103.Scale to indicate how health is today,34770,0.00530526949680534,0.00806381936219975,-0.0104998164531062,0.0211103554467169,0.510622956422043
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,34767,0.115523331408941,0.0545071556819559,0.00868930627230732,0.222357356545574,0.0340994462038885
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",34757,0.0469449579923047,0.0568963671702013,-0.0645719216612898,0.158461837645899,0.409352551340129
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",34772,-0.0259124141094683,0.0432299467621678,-0.110643109763317,0.0588182815443806,0.548924608124608
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,34773,0.0336919787635996,0.0440598558381646,-0.052665338679203,0.120049296206402,0.444490576638148
