Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
CXCL17,C-X-C motif chemokine 17,Lifestyle factors,X1050.Time spend outdoors in summer,50347,0.0989989100974107,0.0302757702472673,0.0396584004127669,0.158339419782055,0.00107755324476196
CXCL17,C-X-C motif chemokine 17,Lifestyle factors,X1060.Time spent outdoors in winter,48193,-0.00394011515942788,0.0334721153977458,-0.0695454613390097,0.061665231020154,0.906296025285429
CXCL17,C-X-C motif chemokine 17,Physical activities,X1070.Time spent watching television (TV),51566,0.290243443259537,0.0312243788400012,0.229043660733134,0.351443225785939,1.5966892568948e-20
CXCL17,C-X-C motif chemokine 17,Physical activities,X1080.Time spent using computer,48254,-0.22976786021386,0.0298599564607509,-0.288293374876931,-0.171242345550788,1.48542385251861e-14
CXCL17,C-X-C motif chemokine 17,Physical activities,X1090.Time spent driving,44015,-0.00500053671190968,0.0339189921737576,-0.0714817613724746,0.0614806879486553,0.882797897889163
CXCL17,C-X-C motif chemokine 17,Lifestyle factors,X1160.Sleep duration,52369,0.0425077168536309,0.026755731150526,-0.00993351620139999,0.0949489499086618,0.112134294863267
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,35673,0.0180266638630947,0.0177997918924069,-0.0168609282460229,0.0529142559722123,0.311219430274673
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,35673,0.00170823592775876,0.0170209924061073,-0.0316529091882115,0.035069381043729,0.920061204151993
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,35673,-0.0108801574861969,0.0186373206734459,-0.0474093060061508,0.025648991033757,0.559386404331905
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,35673,0.0183196129098713,0.0186934631826144,-0.018319574928053,0.0549588007477956,0.327122208544703
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,35673,0.033155681208098,0.0187056045066941,-0.00350730362502236,0.0698186660412184,0.0763586009988402
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,35673,0.000372471705504339,0.0469141716840518,-0.0915793047952371,0.0923242482062458,0.993665563671492
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,35673,0.0527199083043317,0.0496412735612119,-0.0445769878756436,0.150016804484307,0.288267259946858
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,35673,0.0333336665356641,0.0319989573138138,-0.0293842897994109,0.0960516228707392,0.297584546077692
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,35673,0.0555218144655036,0.023264178487241,0.00992402463051135,0.101119604300496,0.0170344508439479
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,35673,0.0021359545874666,0.0152292992345009,-0.0277134719121552,0.0319853810870884,0.888464474027177
CXCL17,C-X-C motif chemokine 17,Health and medical history,X120039#18.Location of pain during the past week_Upper back,35673,0.00251683424827435,0.0228248651914094,-0.0422199015268881,0.0472535700234368,0.912200874936263
