Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1050.Time spend outdoors in summer,46824,0.0154346852829172,0.0124236709230013,-0.00891570972616527,0.0397850802919997,0.214119892699069
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1060.Time spent outdoors in winter,45021,0.0132310252073351,0.0137960148340116,-0.0138091638673277,0.0402712142819979,0.337549771653991
DOCK9,Dedicator of cytokinesis protein 9,Physical activities,X1070.Time spent watching television (TV),47837,-0.000420542179143937,0.0127009726142922,-0.0253144485031567,0.0244733641448688,0.973586408051191
DOCK9,Dedicator of cytokinesis protein 9,Physical activities,X1080.Time spent using computer,45022,-0.0245565084635848,0.012289379578792,-0.048643692438017,-0.000469324489152562,0.0457132049706985
DOCK9,Dedicator of cytokinesis protein 9,Physical activities,X1090.Time spent driving,41555,0.0255311658704812,0.0141620844948643,-0.00222651973945271,0.0532888514804152,0.0714466414197347
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1160.Sleep duration,48499,0.0205510817234487,0.0110810491552634,-0.00116777462086759,0.0422699380677651,0.0636664403176897
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34613,-0.000301484675314764,0.0550374387062606,-0.108174864539586,0.107571895188956,0.99562956283997
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34613,0.00990345445688258,0.0526032224015891,-0.0931988614502321,0.113005770363997,0.850674348971981
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34613,0.048994834307443,0.0576356903281935,-0.0639711187358163,0.161960787350702,0.395319259081088
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34613,0.0658002920147304,0.0581050815635676,-0.048085667849862,0.179686251879323,0.257501238813036
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34613,0.143313389989908,0.0581266874776254,0.0293850825337623,0.257241697446054,0.0137116373663752
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34613,-0.122345654952066,0.152890151557225,-0.422010352004228,0.177319042100095,0.423618809418913
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34613,-0.129886262735711,0.154167518189492,-0.432054598387116,0.172282072915694,0.399544854366285
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34613,-0.0684842972020168,0.101909702329089,-0.268227313767031,0.131258719362997,0.501606240324521
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34613,0.0251466722489117,0.0735469670801642,-0.11900538322821,0.169298727726033,0.732429541768071
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34613,0.0441268767418681,0.0472808940913353,-0.0485436756771491,0.136797429160885,0.350710843726161
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34613,-0.0335413239679506,0.0714381698980764,-0.17356013696818,0.106477489032279,0.638720139920987
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34613,-0.0340909702932423,0.0382915493509346,-0.109142407021074,0.0409604664345895,0.373344289598058
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34613,0.070931457295696,0.0495475370588819,-0.0261817153397125,0.168044629931105,0.152320604416212
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34613,-0.063563482319106,0.0715306824585505,-0.203763619937865,0.0766366552996531,0.374247627629409
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34613,0.0249820288431972,0.0670622385565489,-0.106459958727639,0.156424016414033,0.709520250540839
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34613,0.0514876127321356,0.104028969856777,-0.152409168187148,0.255384393651419,0.620665835350482
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34613,0.0648459859819111,0.0996880242783821,-0.130542541603718,0.26023451356754,0.515403834642676
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34613,0.0075620894421882,0.0516685231176577,-0.0937082158684208,0.108832394752797,0.883644412751381
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34613,-0.00940594180008666,0.0494072555900422,-0.106244162756569,0.0874322791563961,0.849021854310343
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34613,0.114067713438237,0.0623603942776987,-0.00815865934605217,0.236294086222527,0.0674291860856247
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120040.Fatigue severity over the past week,34619,0.0406023783589199,0.021465318016884,-0.00146964495417271,0.0826744016720124,0.0586063362998894
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120041.Waking unrefreshed severity over the past week,34619,0.0578306338833395,0.0209970632139042,0.0166763899840872,0.0989848777825919,0.00590274526358196
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120042.Cognitive symptoms severity over the past week,34618,0.059897457844169,0.0226320760760734,0.0155385887350652,0.104256326953273,0.00815467563064204
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120098.Mobility problems today,34622,0.0238950963593529,0.023428317767953,-0.022024406465835,0.0698145991845409,0.307810132543373
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120099.Self-care problems today,34622,-0.0352867900224044,0.0379443017538724,-0.109657621459994,0.0390840414151855,0.35243171110926
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120100.Problems doing usual activities,34622,0.0177942125044804,0.0228377122025141,-0.0269677034124471,0.062556128421408,0.435919954411118
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120101.Pain or discomfort today,34622,0.0128298608575942,0.021333634582572,-0.0289840629242468,0.0546437846394353,0.547604563059099
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120102.Anxiety or depression today,34622,0.048248009350785,0.0260177841326857,-0.00274684754927892,0.0992428662508489,0.0637327198718342
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120103.Scale to indicate how health is today,34603,-0.0261460353520015,0.0167678028595618,-0.0590109289567425,0.00671885825273957,0.118983889705516
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,34600,0.0517582023573602,0.0269315883259609,-0.00102771076152314,0.104544115476244,0.0546784256872326
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",34591,0.041397294819273,0.0279280865723863,-0.0133417548626042,0.0961363445011502,0.138323731569423
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",34605,0.0526614088552732,0.0212669940458674,0.0109781005253731,0.0943447171851733,0.0133091514982877
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,34606,0.0518047990485251,0.0219238688663838,0.00883401607041286,0.0947755820266373,0.0181657567689141
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,34614,0.0716414529881809,0.0304139916098759,0.0120300294328242,0.131252876543538,0.018531121060381
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120109.Feeling bad about self over the last two weeks,34597,0.0415921845194182,0.0297464462746249,-0.0167108501788467,0.099895219217683,0.16210332968222
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120110.Trouble concentrating over the last two weeks,34609,0.0317478769838523,0.0299973627930222,-0.0270469540904712,0.0905427080581758,0.289940578311064
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,34607,-0.0041630813697235,0.0436174496291836,-0.0896532826429234,0.0813271199034764,0.923964655769721
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,34587,-0.012050161725289,0.0646295915046034,-0.138724161074312,0.114623837623734,0.852099211617629
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",32784,0.0374286099978188,0.029100454432191,-0.0196082806892755,0.0944655006849132,0.198460990697109
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1269.Exposure to tobacco smoke at home,46977,-0.0203794313120905,0.0282523614017659,-0.0757540596595516,0.0349951970353707,0.470712602452819
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1279.Exposure to tobacco smoke outside home,45497,-0.00875635375002128,0.0169868862721214,-0.0420506508433792,0.0245379433433367,0.606226539645552
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1289.Cooked vegetable intake,48121,0.00778346698749379,0.0116582848882661,-0.0150667713935078,0.0306337053684954,0.504375410691491
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1299.Salad  or  raw vegetable intake,47444,0.000912082228089533,0.0121700370275578,-0.0229411903459237,0.0247653548021028,0.940259372111285
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1309.Fresh fruit intake,48067,-0.0220921259290377,0.0119883162091467,-0.0455892256989652,0.00140497384088983,0.065373198554603
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1319.Dried fruit intake,47057,0.00092482660574113,0.011982180620966,-0.0225602474113522,0.0244099006228345,0.93847843420308
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X134.Number of self-reported cancers,48677,-0.00430882998148862,0.0186576179691612,-0.0408777612010446,0.0322601012380673,0.817362187832842
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X135.Number of self-reported non-cancer illnesses,48678,-0.01832114639572,0.0117851927104737,-0.0414201241082484,0.00477783131680847,0.120059915628653
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,"X136.Number of operations, self-reported",48678,-0.013080500448374,0.0115369451451897,-0.0356929129329458,0.00953191203619768,0.256895600283488
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X137.Number of treatments or medications taken,48678,-0.020617021537494,0.011362404296628,-0.0428873339588849,0.00165329088389682,0.0696169819417722
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1438.Bread intake,48148,-0.01037187124032,0.00942735330157242,-0.0288494837114019,0.00810574123076198,0.27126371613102
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1458.Cereal intake,47874,0.00114151491157393,0.0114588143935998,-0.0213177612998817,0.0236007911230296,0.920647927946242
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1488.Tea intake,48071,0.00173047630402214,0.0091499966936969,-0.0162035172156238,0.0196644698236681,0.849998321884132
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1498.Coffee intake,47239,-0.00215910338070659,0.0115497171809001,-0.0247965490552708,0.0204783422938576,0.851709829097674
DOCK9,Dedicator of cytokinesis protein 9,Diet and food preferences,X1528.Water intake,47132,0.00994041939053727,0.0115483127274308,-0.0126942735552272,0.0325751123363017,0.389377274122165
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1568.Average weekly red wine intake,42508,-0.0205456707872193,0.013362395120882,-0.046735965224148,0.00564462364970934,0.124176583613298
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1578.Average weekly champagne plus white wine intake,42511,-0.0043842564176862,0.0136528393027291,-0.0311438214510351,0.0223753086156627,0.748121349283501
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1588.Average weekly beer plus cider intake,42550,-0.0146121109568312,0.0154374327323165,-0.0448694791121716,0.0156452571985092,0.343891565075489
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1598.Average weekly spirits intake,42494,-0.00866466660197954,0.0143965043138081,-0.0368818150570434,0.0195524818530843,0.547278215573126
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1608.Average weekly fortified wine intake,42538,0.0385293354081989,0.0208002437514028,-0.00223914234455055,0.0792978131609484,0.0639976232430078
DOCK9,Dedicator of cytokinesis protein 9,Lifestyle factors,X1737.Childhood sunburn occasions,43390,0.013754786949373,0.0139755692810935,-0.0136373288415701,0.0411469027403162,0.32503284660265
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X1807.Father's age at death,46893,-0.00185793691218343,0.00883086358250183,-0.019166429533887,0.0154505557095202,0.833364700393327
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X1845.Mother's age,32050,0.00752663272512885,0.0419830113696643,-0.0747600695594132,0.0898133350096709,0.857732092451608
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X1873.Number of full brothers,48327,-0.0023934294790632,0.0110690628683122,-0.0240887927009551,0.0193019337428287,0.828813168391409
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X1883.Number of full sisters,48331,0.0257731020324175,0.0110088850017501,0.0041956874289873,0.0473505166358477,0.0192362832743799
DOCK9,Dedicator of cytokinesis protein 9,Physical measures,X20015.Sitting height,48540,-0.00771270885603802,0.0117405027485441,-0.0307240942431845,0.0152986765311085,0.511232625275004
DOCK9,Dedicator of cytokinesis protein 9,Cognitive function,X20016.Fluid intelligence score,35635,-0.012757337967181,0.0186413852329651,-0.0492944530237925,0.0237797770894305,0.493775259748785
DOCK9,Dedicator of cytokinesis protein 9,Cognitive function,X20018.Prospective memory result,35916,-0.0302783097769615,0.0233297436019166,-0.076004607236718,0.015447987682795,0.194386339144767
DOCK9,Dedicator of cytokinesis protein 9,Physical measures,X20019.Speech-reception-threshold (SRT) estimate (left),35510,-0.00692524817247972,0.0155043987620968,-0.0373138697461895,0.02346337340123,0.655133392807842
DOCK9,Dedicator of cytokinesis protein 9,Physical measures,X20021.Speech-reception-threshold (SRT) estimate (right),35493,0.00604513163616751,0.0156789496455396,-0.02468560966909,0.036775872941425,0.699837669418414
DOCK9,Dedicator of cytokinesis protein 9,Cognitive function,X20023.Mean time to correctly identify matches,48427,-0.00671709652661423,0.00958905574907291,-0.0255116457947971,0.0120774527415687,0.483625989339605
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#1.Illnesses of father_Heart disease,45802,-0.00812291357204174,0.0201464500105112,-0.0476099555926437,0.0313641284485602,0.686811221760235
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#10.Illnesses of father_Alzheimer's disease or dementia,45441,0.0557450988943643,0.0420592335142328,-0.026690998793532,0.138181196582261,0.185058802826995
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#11.Illnesses of father_Parkinson's disease,45408,0.128423071873123,0.0571965101261456,0.0163179120258772,0.240528231720368,0.0247625818834566
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#12.Illnesses of father_Severe depression,45419,-0.00512372018781507,0.0537913470742686,-0.110554760453382,0.100307320077751,0.924116038942248
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#13.Illnesses of father_Prostate cancer,45442,0.0763664588349202,0.037412837684359,0.0030372969735766,0.149695620696264,0.0412487355016978
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#2.Illnesses of father_Stroke,45580,-0.0395448331015759,0.0253328458816346,-0.0891972110295798,0.010107544826428,0.118540634750768
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#3.Illnesses of father_Lung cancer,45542,0.0488821218445121,0.0309104971360228,-0.0117024525420927,0.109466696231117,0.113804018419226
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#4.Illnesses of father_Bowel cancer,45448,-0.0304409066673964,0.0396982403394325,-0.108249457732684,0.0473676443978912,0.443207139912491
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#6.Illnesses of father_Chronic bronchitis or emphysema,45589,0.0460190776278253,0.0272990144941341,-0.00748699078067748,0.0995251460363282,0.0918646569732782
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#8.Illnesses of father_High blood pressure,45582,-0.0420980594313277,0.0252443224579414,-0.0915769314488927,0.00738081258623739,0.0954093283717661
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20107#9.Illnesses of father_Diabetes,45473,-0.0186105197704704,0.0365082516365135,-0.0901666929780369,0.0529456534370961,0.610225113679504
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#1.Illnesses of mother_Heart disease,46718,0.0169552946872465,0.0218093048800717,-0.025790942877694,0.0597015322521869,0.436913266204616
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#10.Illnesses of mother_Alzheimer's disease or dementia,46582,0.0059056021638384,0.0283855832184756,-0.0497301409443737,0.0615413452720505,0.835192870536019
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#11.Illnesses of mother_Parkinson's disease,46505,-0.122211499633602,0.0634363800658812,-0.246546804562729,0.00212380529552525,0.0540557406553393
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#12.Illnesses of mother_Severe depression,46525,-0.00911862092013765,0.0394738138391707,-0.0864872960449123,0.068250054204637,0.817314184662364
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#2.Illnesses of mother_Stroke,46668,-0.0553027041913993,0.0237806993342453,-0.10191287488652,-0.0086925334962786,0.0200550824552915
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#3.Illnesses of mother_Lung cancer,46544,-0.0637960382166568,0.0458621416934253,-0.15368583593577,0.0260937595024569,0.16423136918041
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#4.Illnesses of mother_Bowel cancer,46532,-0.0509939879623697,0.038721371950791,-0.12688787698592,0.0248999010611806,0.187873853880415
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#5.Illnesses of mother_Breast cancer,46537,0.0559642350646236,0.0340975102599792,-0.0108668850449356,0.122795355174183,0.100753340455457
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#6.Illnesses of mother_Chronic bronchitis or emphysema,46577,0.079378108873227,0.0379707725186727,0.00495539473662857,0.153800823009826,0.0365869035787678
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#8.Illnesses of mother_High blood pressure,46709,0.0399072980982756,0.0211197464888772,-0.00148740501992364,0.0813020012164748,0.0588316202903279
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20110#9.Illnesses of mother_Diabetes,46591,-0.00719318667863077,0.0325174415084318,-0.0709273720351571,0.0565409986778955,0.824931436974557
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#1.Illnesses of siblings_Heart disease,43546,-0.000622131060440751,0.027405390125578,-0.0543366957065737,0.0530924335856922,0.981889055930995
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#10.Illnesses of siblings_Alzheimer's disease or dementia,43390,0.0317504160584984,0.0961809788897275,-0.156764302565367,0.220265134682364,0.741320829968635
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#11.Illnesses of siblings_Parkinson's disease,43384,0.0362277957505821,0.102169699591423,-0.164024815448607,0.236480406949771,0.722906130370461
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#12.Illnesses of siblings_Severe depression,43412,0.0259697949152779,0.0421650631907269,-0.0566737289385469,0.108613318769103,0.537965176207844
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#13.Illnesses of siblings_Prostate cancer,43403,0.0202748434737104,0.0576567681792495,-0.0927324221576185,0.133282109105039,0.725108046056095
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#2.Illnesses of siblings_Stroke,43435,0.0299403619051994,0.0453781106524666,-0.0590007349736351,0.118881458784034,0.509394487012537
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#3.Illnesses of siblings_Lung cancer,43404,-0.000315470865714712,0.0515747884862691,-0.101402056298802,0.100771114567373,0.995119643870661
DOCK9,Dedicator of cytokinesis protein 9,Health and medical history,X20111#4.Illnesses of siblings_Bowel cancer,43398,0.0296136250349744,0.0520017347648045,-0.0723097751040425,0.131537025173991,0.569043657552321
