Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1050.Time spend outdoors in summer,47391,-0.0412795954527874,0.0390918879828062,-0.117899695899087,0.0353405049935127,0.290999043816969
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1060.Time spent outdoors in winter,45536,0.0157579729126384,0.0431547602619014,-0.0688253572006883,0.100341303025965,0.715003953979365
FGFBP3,Fibroblast growth factor-binding protein 3,Physical activities,X1070.Time spent watching television (TV),48428,0.12136409045104,0.0396957631557622,0.0435603946657457,0.199167786236334,0.00223605181964615
FGFBP3,Fibroblast growth factor-binding protein 3,Physical activities,X1080.Time spent using computer,45530,-0.13710976903517,0.0389261099380814,-0.213404944513809,-0.0608145935565302,0.000428973337870142
FGFBP3,Fibroblast growth factor-binding protein 3,Physical activities,X1090.Time spent driving,41947,-0.0750867699400725,0.0447547210329385,-0.162806023164632,0.0126324832844869,0.093422441449084
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1160.Sleep duration,49118,0.0454087088972314,0.0347210118303681,-0.0226444742902901,0.113461892084753,0.190950678408906
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34782,-0.014265479084771,0.0166191706051226,-0.0468390534708112,0.0183080953012692,0.390722293119617
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34782,-0.0125163217524224,0.0159031203637468,-0.0436864376653661,0.0186537941605212,0.431294408835771
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34782,0.00431634438083704,0.0174572690312309,-0.0298999029203755,0.0385325916820495,0.804722300847749
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34782,0.0150676261718817,0.0176476205981359,-0.0195217102004647,0.049656962544228,0.393249658529393
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34782,0.0210847327774231,0.0177112407745403,-0.013629299140676,0.0557987646955222,0.233911575259411
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34782,-0.0428596722445839,0.0454166644691881,-0.131876334604193,0.0461569901150248,0.345364155577057
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34782,-0.0475096968102778,0.0457391408693596,-0.137158412914223,0.042139019293667,0.298984633946877
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34782,0.0230317308185717,0.0308840738834762,-0.0375010539930417,0.0835645156301851,0.455851133066124
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34782,0.0206349266834437,0.0221814750406725,-0.0228407643962745,0.0641106177631619,0.352267620774272
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34782,-0.00110916823771682,0.0143502403133749,-0.0292356392519316,0.027017302776498,0.938393497548854
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34782,-0.0313854560520863,0.0215312178988251,-0.0735866431337835,0.0108157310296109,0.144987134550651
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34782,-0.0027971293134082,0.0116173224949849,-0.0255670814035785,0.0199728227767621,0.809740442047205
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34782,-0.0153707579988565,0.014981159432353,-0.0447338304862683,0.0139923144885553,0.304933212801968
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34782,-0.00424309305357403,0.0214708266095611,-0.0463259132083137,0.0378397271011657,0.843348542321415
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34782,-0.0305363068299878,0.0202261056442983,-0.0701794738928125,0.00910686023283688,0.131164475421116
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34782,-0.0314263412123861,0.0314069735189978,-0.0929840093096217,0.0301313268848495,0.317055495002096
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34782,-0.0355051772400163,0.0300713058437294,-0.0944449366937259,0.0234345822136932,0.237772353754411
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34782,0.00939764917700521,0.0157482494270492,-0.0214689197000112,0.0402642180540216,0.550703511314735
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34782,0.0130870649983418,0.014951244512512,-0.0162173742461816,0.0423915042428653,0.381439558869719
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34782,0.00470898491427928,0.0188912891274793,-0.0323179417755802,0.0417359116041387,0.803163010198723
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120040.Fatigue severity over the past week,34788,-0.0368525749706235,0.067992575145479,-0.170118022255762,0.0964128723145153,0.587834030452667
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120041.Waking unrefreshed severity over the past week,34787,-0.00262207644374141,0.067971990906992,-0.135847178621446,0.130603025733963,0.96922994447689
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120042.Cognitive symptoms severity over the past week,34787,0.0347841003536238,0.0727118938913735,-0.107731211673468,0.177299412380716,0.632396664760929
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120098.Mobility problems today,34791,0.0476143033750115,0.0751467772413777,-0.0996733800180888,0.194901986768112,0.526356466573765
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120099.Self-care problems today,34791,-0.136971573352784,0.116704259403098,-0.365711921782857,0.0917687750772886,0.240579651994982
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120100.Problems doing usual activities,34791,-0.0443331256483709,0.0732583964269378,-0.187919582645169,0.0992533313484271,0.545096563157776
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120101.Pain or discomfort today,34791,-0.0846160085734425,0.0679844512362505,-0.217865532996494,0.0486335158496085,0.213317110552695
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120102.Anxiety or depression today,34791,0.0573594924233049,0.0860132170373802,-0.11122641296996,0.22594539781657,0.504883730923573
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120103.Scale to indicate how health is today,34771,0.00656492063860342,0.00509035992812857,-0.00341218482052858,0.0165420260977354,0.19721627188376
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,34768,0.183006742903002,0.0883316560749755,0.00987669699605007,0.356136788809954,0.0383287132231603
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",34758,0.0565207480347712,0.0911820765878829,-0.122196122077479,0.235237618147022,0.535370834477238
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",34775,-0.0190046340104288,0.0688608712444065,-0.153971941649466,0.115962673628608,0.782569068076347
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,34775,-0.0794453668035283,0.0707320947841821,-0.218080272580525,0.0591895389734685,0.261406428108416
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,34783,0.122858721861618,0.101631599772626,-0.0763392136927283,0.322056657415965,0.226766483772777
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120109.Feeling bad about self over the last two weeks,34767,0.176172979713471,0.098307865326123,-0.01651043632573,0.368856395752672,0.0731786020587037
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120110.Trouble concentrating over the last two weeks,34778,0.017553401894924,0.0985190677959753,-0.175543970985188,0.210650774775036,0.858593865521309
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,34775,-0.296486447361606,0.141293310775469,-0.573421336481525,-0.0195515582416879,0.0359168230424442
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,34755,0.0825241784757869,0.206054137508884,-0.321341931041626,0.4863902879932,0.688805473598423
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",32892,0.0265637784815245,0.0966950516047061,-0.1629585226637,0.216086079626749,0.783548991925173
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1269.Exposure to tobacco smoke at home,47544,-0.0481604220150271,0.0866394757547212,-0.217973794494281,0.121652950464226,0.578305427553991
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1279.Exposure to tobacco smoke outside home,46012,-0.0856303860626048,0.0532843714345002,-0.190067754074225,0.0188069819490155,0.108063256878894
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1289.Cooked vegetable intake,48721,-0.18532626862199,0.0367225041705832,-0.257302376796333,-0.113350160447647,4.53620000765941e-07
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1299.Salad  or  raw vegetable intake,48028,-0.122456614414395,0.0384067843522111,-0.197733911744729,-0.0471793170840611,0.00143290982253549
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1309.Fresh fruit intake,48670,-0.150830930995802,0.0377036506932184,-0.22473008635451,-0.0769317756370941,6.34602879793163e-05
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1319.Dried fruit intake,47623,-0.0853543967625167,0.0378386112884725,-0.159518074887923,-0.0111907186371106,0.0240980521503442
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X134.Number of self-reported cancers,49302,0.0849867143417602,0.0585697458936307,-0.0298099876097561,0.199783416293276,0.146785891722567
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X135.Number of self-reported non-cancer illnesses,49303,-0.308882107181059,0.0374711455239678,-0.382325552408036,-0.235438661954082,1.77847928307288e-16
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,"X136.Number of operations, self-reported",49303,-0.0624782512686553,0.0364121453539553,-0.133846056162408,0.008889553625097,0.0862025324828683
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X137.Number of treatments or medications taken,49303,-0.418233730605003,0.0362885280073082,-0.489359245499327,-0.347108215710679,1.22877979301246e-30
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1438.Bread intake,48759,0.00994237904797098,0.0028982832714461,0.00426174383593662,0.0156230142600053,0.000603853105223464
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1458.Cereal intake,48477,0.0591323905712578,0.035993644490072,-0.0114151526292833,0.129679933771799,0.100428945299311
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1488.Tea intake,48685,-0.00337933440174415,0.0028055204489493,-0.00887815448168477,0.00211948567819646,0.228399302172864
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1498.Coffee intake,47824,0.0975578364088093,0.036420427869124,0.0261737977853262,0.168941875032292,0.00739829363367837
FGFBP3,Fibroblast growth factor-binding protein 3,Diet and food preferences,X1528.Water intake,47713,-0.17878645489622,0.0362090586427388,-0.249756209835988,-0.107816699956452,7.97713017863956e-07
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1568.Average weekly red wine intake,42944,-0.177872865267839,0.0417238389347821,-0.259651589580011,-0.0960941409556658,2.02955813104433e-05
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1578.Average weekly champagne plus white wine intake,42944,-0.141159790511202,0.0425962166313664,-0.22464837510868,-0.057671205913724,0.000922406964671948
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1588.Average weekly beer plus cider intake,42985,0.0654762677263241,0.0478262288881213,-0.0282631408943936,0.159215676347042,0.171007453024637
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1598.Average weekly spirits intake,42929,-0.0951624757498361,0.0449750932802531,-0.183313658579132,-0.00701129292054008,0.0343718728408906
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1608.Average weekly fortified wine intake,42972,0.15783423996861,0.0677005669747269,0.0251411286981457,0.290527351239075,0.0197488496893889
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1737.Childhood sunburn occasions,43821,-0.0564450970355861,0.0441257405409503,-0.142931548495849,0.0300413544246764,0.200851319644672
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X1807.Father's age at death,47462,0.00557521459238317,0.0027046495854119,0.000274101404975855,0.0108763277797905,0.0392843014090573
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X1845.Mother's age,32158,-0.00213601141956303,0.0128093406644113,-0.0272423191218092,0.0229702962826831,0.867574827662922
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X1873.Number of full brothers,48943,-0.0341063044907944,0.0347629809390897,-0.10224174713141,0.0340291381498214,0.326550571810944
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X1883.Number of full sisters,48947,0.00732022311004168,0.03495433136986,-0.0611902663748839,0.0758307125949673,0.834120597323585
FGFBP3,Fibroblast growth factor-binding protein 3,Physical measures,X20015.Sitting height,49163,-0.00476062414847847,0.00360650022653358,-0.0118293645924843,0.00230811629552734,0.18684608962683
FGFBP3,Fibroblast growth factor-binding protein 3,Cognitive function,X20016.Fluid intelligence score,35855,-0.13510259161206,0.0580695090368059,-0.2489188293242,-0.0212863538999205,0.0200182283984281
FGFBP3,Fibroblast growth factor-binding protein 3,Cognitive function,X20018.Prospective memory result,36147,0.0674226368271393,0.0712096122610294,-0.0721482032044784,0.206993476858757,0.343763762057479
FGFBP3,Fibroblast growth factor-binding protein 3,Physical measures,X20019.Speech-reception-threshold (SRT) estimate (left),35727,-0.0051450378260603,0.0047783789584391,-0.0145106605846009,0.00422058493248033,0.281639369108736
FGFBP3,Fibroblast growth factor-binding protein 3,Physical measures,X20021.Speech-reception-threshold (SRT) estimate (right),35708,-0.00100055415082873,0.00482021410478731,-0.0104481737962119,0.0084470654945544,0.835567605359882
FGFBP3,Fibroblast growth factor-binding protein 3,Cognitive function,X20023.Mean time to correctly identify matches,49040,-0.00185914437603176,0.00295451744575118,-0.00764999856970407,0.00393170981764055,0.529189480392663
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#1.Illnesses of father_Heart disease,46329,-0.0108002101946128,0.00615489453057605,-0.0228638034745419,0.00126338308531624,0.0793224803301005
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#10.Illnesses of father_Alzheimer's disease or dementia,45957,0.00455180858864236,0.0129269964689069,-0.0207851044904152,0.0298887216677,0.724755330487068
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#11.Illnesses of father_Parkinson's disease,45920,-0.0138552924314938,0.0174516836258467,-0.0480605923381534,0.0203500074751657,0.427251541859746
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#12.Illnesses of father_Severe depression,45931,-0.0168173532388296,0.0164110765468013,-0.0489830632705602,0.0153483567929009,0.305493025319467
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#13.Illnesses of father_Prostate cancer,45956,0.0092789958477434,0.0114597102263521,-0.0131820361959066,0.0317400278913934,0.41812067684995
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#2.Illnesses of father_Stroke,46099,-0.00637925444991645,0.00773156788804781,-0.0215331275104902,0.00877461861065726,0.409331030219835
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#3.Illnesses of father_Lung cancer,46059,-0.00964928096478924,0.00940659769808667,-0.0280862124530391,0.00878765052346063,0.305000927128456
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#4.Illnesses of father_Bowel cancer,45962,-0.00691710841623157,0.0121514328458747,-0.0307339167941459,0.0168996999616827,0.569199407878846
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#6.Illnesses of father_Chronic bronchitis or emphysema,46110,0.00914510663481999,0.00833558848860973,-0.00719264680285508,0.0254828600724951,0.272606349297234
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#8.Illnesses of father_High blood pressure,46100,-0.00927995788388441,0.007745198960499,-0.0244605478464624,0.00590063207869363,0.230873023306098
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20107#9.Illnesses of father_Diabetes,45988,0.024421896326433,0.0110711297747978,0.00272248196782939,0.0461213106850366,0.0274039164982152
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#1.Illnesses of mother_Heart disease,47281,-0.00276916561907167,0.00669378963366649,-0.015888993301058,0.0103506620629146,0.67910476691341
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#10.Illnesses of mother_Alzheimer's disease or dementia,47142,0.0102899642863919,0.0087637983327604,-0.00688708044581849,0.0274670090186023,0.240352791388679
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#11.Illnesses of mother_Parkinson's disease,47064,-0.0371263986811361,0.0195693178446672,-0.0754822616566838,0.00122946429441157,0.0578210988254481
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#12.Illnesses of mother_Severe depression,47085,0.00196181943865285,0.0121801835797128,-0.0219113403775843,0.02583497925489,0.872042849895451
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#2.Illnesses of mother_Stroke,47232,-0.00990570958462645,0.0073310079540349,-0.0242744851745349,0.00446306600528196,0.176646065550901
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#3.Illnesses of mother_Lung cancer,47106,0.00684961378868749,0.0141225497109737,-0.020830583644821,0.0345298112221959,0.627673377510591
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#4.Illnesses of mother_Bowel cancer,47090,-0.0017455722103762,0.0119556647963016,-0.0251786752111273,0.0216875307903749,0.88392005162631
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#5.Illnesses of mother_Breast cancer,47095,0.0212524604692028,0.0104590419708862,0.000752738206265844,0.0417521827321397,0.0421714198130274
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#6.Illnesses of mother_Chronic bronchitis or emphysema,47139,0.0250895877633793,0.01170330277615,0.00215111432212533,0.0480280612046333,0.0320619891497032
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#8.Illnesses of mother_High blood pressure,47272,-0.0205580906650909,0.00650846158208531,-0.0333146753659781,-0.00780150596420367,0.00158751007219959
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20110#9.Illnesses of mother_Diabetes,47152,-0.00965965355062995,0.0100305178737834,-0.0293194685832454,0.0100001614819855,0.335547240396209
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#1.Illnesses of siblings_Heart disease,44028,-0.023373621723367,0.0084328948546909,-0.0399020956385612,-0.00684514780817284,0.00558305003173197
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#10.Illnesses of siblings_Alzheimer's disease or dementia,43869,0.0234310526641215,0.0298735079582921,-0.035121022934131,0.081983128262374,0.432852009767971
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#11.Illnesses of siblings_Parkinson's disease,43865,0.0158568964172136,0.0309914576790074,-0.044886360633641,0.0766001534680681,0.60890104128687
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#12.Illnesses of siblings_Severe depression,43894,-0.0241316770455135,0.0129357795196656,-0.0494858049040582,0.00122245081303112,0.0621314697556401
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#13.Illnesses of siblings_Prostate cancer,43886,0.0150156252161319,0.0175915714047821,-0.019463854737241,0.0494951051695048,0.393357593012527
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#2.Illnesses of siblings_Stroke,43916,0.00124675683082148,0.0139991128290159,-0.0261915043140497,0.0286850179756927,0.92903567386799
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#3.Illnesses of siblings_Lung cancer,43884,-0.00423678830308669,0.0158533412051089,-0.0353093370651002,0.0268357604589268,0.789281264932242
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#4.Illnesses of siblings_Bowel cancer,43878,-0.00655012005548428,0.0160581844076431,-0.0380241614944647,0.0249239213834962,0.683353650762154
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#5.Illnesses of siblings_Breast cancer,43898,-0.0136886285596303,0.0129090161110539,-0.0389903001372959,0.0116130430180353,0.288983324722552
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#6.Illnesses of siblings_Chronic bronchitis or emphysema,43916,-0.0194007932988598,0.0154585432263574,-0.0496995380225204,0.0108979514248008,0.209491130552526
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#8.Illnesses of siblings_High blood pressure,44063,-0.0114031893252695,0.00711471905825942,-0.0253480386794579,0.00254166002891899,0.109008823505531
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X20111#9.Illnesses of siblings_Diabetes,43972,-0.0166014279741136,0.0097463985555026,-0.0357043691428987,0.00250151319467153,0.0885255338896013
FGFBP3,Fibroblast growth factor-binding protein 3,Mental health,X20127.Neuroticism score,44992,0.0252846494836509,0.0363831927840215,-0.0460264083730312,0.096595707340333,0.487094286603265
FGFBP3,Fibroblast growth factor-binding protein 3,Cognitive function,X20128.Number of fluid intelligence questions attempted within time limit,35855,-0.0517054539239618,0.0586221500566501,-0.166604868034996,0.0631939601870724,0.377802067105255
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X20161.Pack years of smoking,36004,-0.00857502759483401,0.00486011467438917,-0.0181008523566368,0.000950797166968761,0.077714970169354
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X20162.Pack years adult smoking as proportion of life span exposed to smoking,36004,-0.00937604874213827,0.00502176214461664,-0.0192187025455869,0.000466605061310353,0.0619328690007059
FGFBP3,Fibroblast growth factor-binding protein 3,Cognitive function,X20191.Fluid intelligence score,33654,0.0547560383864398,0.0707895744821715,-0.0839915275986162,0.193503604371496,0.439265105831481
FGFBP3,Fibroblast growth factor-binding protein 3,Cognitive function,X20192.Number of fluid intelligence questions attempted within time limit,33655,0.0707790227693199,0.072508067864957,-0.0713367902459959,0.212894835784636,0.329041348619234
FGFBP3,Fibroblast growth factor-binding protein 3,Cognitive function,X20240.Maximum digits remembered correctly,33105,-0.0244816236500747,0.0757739723956531,-0.172998609545555,0.124035362245405,0.746646280904229
FGFBP3,Fibroblast growth factor-binding protein 3,Physical measures,X20255.Spirometry QC measure,44070,-0.00484778598159596,0.046491325118188,-0.0959707832132445,0.0862752112500526,0.916954177129775
FGFBP3,Fibroblast growth factor-binding protein 3,Eye measures,X20261.avMSE,33746,0.00121419436706516,0.0053447563978966,-0.00926152817281217,0.0116899169069425,0.820297965458624
FGFBP3,Fibroblast growth factor-binding protein 3,Eye measures,X20262.Myopia diagnosis,33746,-0.0644058249943762,0.0915195914906011,-0.243784224315954,0.114972574327202,0.481631880876827
FGFBP3,Fibroblast growth factor-binding protein 3,NMR metabolomics,X20280.Glucose-lactate,40454,-0.0199889217925619,0.00365641501173988,-0.0271554952155721,-0.0128223483695517,4.67982404169786e-08
FGFBP3,Fibroblast growth factor-binding protein 3,NMR metabolomics,X20281.Spectrometer-corrected alanine,40477,-0.0182537057570135,0.00374902765398611,-0.0256017999588263,-0.0109056115552008,1.13732779725916e-06
FGFBP3,Fibroblast growth factor-binding protein 3,Mental health,X20544#11.Mental health problems ever diagnosed by a professional_Depression,35469,-0.00126407058998,0.0223210061610173,-0.0450132426655738,0.0424851014856138,0.954840596965562
FGFBP3,Fibroblast growth factor-binding protein 3,Mental health,X20544#6.Mental health problems ever diagnosed by a professional_Panic attacks,35469,-0.0167523445009969,0.0420405834181165,-0.0991518880005052,0.0656471989985115,0.690289730957362
FGFBP3,Fibroblast growth factor-binding protein 3,Mental health,X20546#1.Substances taken for depression_Unprescribed medication (more than once),35469,0.0388090842343915,0.0680846674572057,-0.0946368639817317,0.172255032450515,0.568689898402452
FGFBP3,Fibroblast growth factor-binding protein 3,Mental health,X20546#3.Substances taken for depression_Medication prescribed to you (for at least two weeks),35469,-0.00337218793154426,0.0206044145390744,-0.04375684042813,0.0370124645650415,0.870001425477616
FGFBP3,Fibroblast growth factor-binding protein 3,Mental health,X20546#4.Substances taken for depression_Drugs or alcohol (more than once),35469,-0.0425217369917649,0.0434761289447765,-0.127734949723527,0.0426914757399972,0.328088333735399
