Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Lifestyle factors,X1050.Time spend outdoors in summer,49928,-0.00393908506014312,0.0112903946391561,-0.026068258552889,0.0181900884326027,0.727176813929074
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Lifestyle factors,X1060.Time spent outdoors in winter,47806,0.0112396401772467,0.0125309611338216,-0.0133210436450437,0.0358003239995371,0.369757430493925
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Physical activities,X1070.Time spent watching television (TV),51123,0.0111725783679312,0.0114804847782642,-0.0113291717974666,0.0336743285333289,0.330474575690515
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Physical activities,X1080.Time spent using computer,47881,-0.0261877957887383,0.011275808114053,-0.0482883796922821,-0.00408721188519449,0.0202179961915355
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Physical activities,X1090.Time spent driving,43721,-0.00550856048710503,0.0130758381599175,-0.0311372032805434,0.0201200823063334,0.673558463718219
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Lifestyle factors,X1160.Sleep duration,51907,-0.00719694040184806,0.0100888299596598,-0.0269710471227812,0.0125771663190851,0.475632024295866
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,35537,-0.0125087180391643,0.0516609960054678,-0.113764270209881,0.0887468341315525,0.808686644759977
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,35537,0.041574412949313,0.0495529848662502,-0.0555494373885373,0.138698263287163,0.401507057164167
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,35537,0.0230531689474918,0.054193876498018,-0.0831668289886236,0.129273166883607,0.670571723465099
MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,35537,0.0656255878086072,0.0544085371169648,-0.0410151449406438,0.172266320557858,0.227799467559745
