Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
PRSS22,Brain-specific serine protease 4,Lifestyle factors,X1050.Time spend outdoors in summer,46890,-0.0249719991276559,0.0408490729869115,-0.105036182182002,0.0550921839266906,0.540993275593854
PRSS22,Brain-specific serine protease 4,Lifestyle factors,X1060.Time spent outdoors in winter,45094,-0.0421100601712563,0.0452767531990728,-0.130852496441439,0.0466323760989264,0.352354562596056
PRSS22,Brain-specific serine protease 4,Physical activities,X1070.Time spent watching television (TV),47898,0.128753504379899,0.0428211666213009,0.044824017802149,0.212682990957649,0.00264387934061212
PRSS22,Brain-specific serine protease 4,Physical activities,X1080.Time spent using computer,45071,-0.161549011280459,0.0424725051249198,-0.244795121325302,-0.0783029012356161,0.0001431346171734
PRSS22,Brain-specific serine protease 4,Physical activities,X1090.Time spent driving,41587,-0.0817241034545453,0.0476822576622348,-0.175181328472526,0.011733121563435,0.0865663916830004
PRSS22,Brain-specific serine protease 4,Lifestyle factors,X1160.Sleep duration,48565,0.0934916828337628,0.0363876536627105,0.0221718816548503,0.164811484012675,0.0101971187719781
PRSS22,Brain-specific serine protease 4,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34619,0.0106054380720725,0.0155720949248371,-0.0199158679806082,0.0411267441247532,0.495866368774681
PRSS22,Brain-specific serine protease 4,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34619,0.00822991338658138,0.0148785818905831,-0.0209321071189616,0.0373919338921243,0.58019150978861
PRSS22,Brain-specific serine protease 4,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34619,0.0138933677543816,0.0162228221420669,-0.0179033636440695,0.0456900991528327,0.391809520808639
PRSS22,Brain-specific serine protease 4,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34619,0.0148668418454873,0.016401774467772,-0.0172806361113458,0.0470143198023203,0.364755607435719
PRSS22,Brain-specific serine protease 4,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34619,0.0145533853760792,0.0164486949510249,-0.0176860567279296,0.0467928274800879,0.376317492527468
