Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
SCG2,Secretogranin-2,Lifestyle factors,X1050.Time spend outdoors in summer,50197,-0.0867848495103339,0.0373846446818323,-0.160058753086725,-0.0135109459339426,0.0202745904216937
SCG2,Secretogranin-2,Lifestyle factors,X1060.Time spent outdoors in winter,48053,-0.134173802589126,0.0414953360493309,-0.215504661245815,-0.0528429439324375,0.00122507782425454
SCG2,Secretogranin-2,Physical activities,X1070.Time spent watching television (TV),51408,-0.0207313014932112,0.0382458908540946,-0.0956932475672366,0.0542306445808142,0.587787403382218
SCG2,Secretogranin-2,Physical activities,X1080.Time spent using computer,48139,0.0470197668796836,0.0365817939139176,-0.0246805491915949,0.118720082950962,0.198691847478039
SCG2,Secretogranin-2,Physical activities,X1090.Time spent driving,43908,-0.0838156845397182,0.0424443339833113,-0.167006579147008,-0.000624789932428066,0.0483185742540816
SCG2,Secretogranin-2,Lifestyle factors,X1160.Sleep duration,52208,0.11207385704332,0.0332431550660486,0.046917273113865,0.177230440972776,0.00074927516231571
SCG2,Secretogranin-2,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,35637,0.00214548638718363,0.0145843559729766,-0.0264398513198504,0.0307308240942177,0.88305078574236
SCG2,Secretogranin-2,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,35637,0.00686352892671835,0.0139913778737949,-0.0205595717059197,0.0342866295593564,0.623758504800934
SCG2,Secretogranin-2,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,35637,0.0122044519918987,0.0152483138570091,-0.0176822431678391,0.0420911471516365,0.423519926610257
SCG2,Secretogranin-2,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,35637,-0.00403733385707969,0.0153093297604906,-0.0340436201876412,0.0259689524734818,0.792006260596066
SCG2,Secretogranin-2,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,35637,-0.0128875232285871,0.015343172210511,-0.0429601407611886,0.0171850943040144,0.400966647576195
SCG2,Secretogranin-2,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,35637,0.00699886700554007,0.0390500784972176,-0.0695392868490063,0.0835370208600865,0.857764323840493
SCG2,Secretogranin-2,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,35637,0.0261696779040354,0.0411279867036022,-0.054441176035025,0.106780531843096,0.524604458947741
SCG2,Secretogranin-2,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,35637,0.0238867035490043,0.0261581745560743,-0.0273833185809013,0.07515672567891,0.361190457810471
SCG2,Secretogranin-2,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,35637,0.0270838318227839,0.019025734882943,-0.0102066085477843,0.0643742721933522,0.154629053123035
SCG2,Secretogranin-2,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,35637,-0.0111452544929876,0.0125119457097753,-0.0356686680841472,0.0133781590981721,0.373086321938614
SCG2,Secretogranin-2,Health and medical history,X120039#18.Location of pain during the past week_Upper back,35637,-0.00128658546851202,0.0188025332160526,-0.038139550571975,0.035566379634951,0.945448507648134
SCG2,Secretogranin-2,Health and medical history,X120039#19.Location of pain during the past week_Lower back,35637,0.000324402752275888,0.0101063109737614,-0.0194839667562964,0.0201327722608482,0.974394073337922
SCG2,Secretogranin-2,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,35637,-0.00375211304380073,0.013209830686602,-0.0296433811895407,0.0221391551019393,0.776389275570402
SCG2,Secretogranin-2,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,35637,0.00610497351528579,0.0188562786293781,-0.0308533325982954,0.0430632796288669,0.746127650495806
SCG2,Secretogranin-2,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,35637,-0.0186819476801058,0.0177450597418287,-0.0534622647740901,0.0160983694138785,0.292473468904775
SCG2,Secretogranin-2,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,35637,0.0345969552312588,0.0272898332687407,-0.018891117975473,0.0880850284379906,0.204929533015948
SCG2,Secretogranin-2,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,35637,0.0222725658459575,0.0259401013906232,-0.0285700328796639,0.0731151645715789,0.390584779341317
SCG2,Secretogranin-2,Health and medical history,X120039#7.Location of pain during the past week_Left hip,35637,-0.00967193831468334,0.0137720391674863,-0.0366651350829566,0.0173212584535899,0.48252492370095
SCG2,Secretogranin-2,Health and medical history,X120039#8.Location of pain during the past week_Right hip,35637,-0.00267524474894321,0.0129609540908653,-0.0280787147670392,0.0227282252691528,0.836478735987666
SCG2,Secretogranin-2,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,35637,-0.0109041665909553,0.0165160691470216,-0.0432756621191175,0.021467328937207,0.509139080430106
SCG2,Secretogranin-2,Health and medical history,X120040.Fatigue severity over the past week,35641,0.050548957035065,0.0688343317911771,-0.0843663332756421,0.185464247345772,0.462758047042786
SCG2,Secretogranin-2,Health and medical history,X120041.Waking unrefreshed severity over the past week,35639,0.0380002052076943,0.0688178396489665,-0.09688276050428,0.172883170919669,0.580840500217596
SCG2,Secretogranin-2,Health and medical history,X120042.Cognitive symptoms severity over the past week,35641,0.00644001752342033,0.0727025741877664,-0.136057027884602,0.148937062931442,0.929418198544112
SCG2,Secretogranin-2,Health and medical history,X120098.Mobility problems today,35645,0.129776812525764,0.0741424837040518,-0.0155424555341774,0.275096080585706,0.0801019696656161
SCG2,Secretogranin-2,Health and medical history,X120099.Self-care problems today,35645,-0.0186490375343096,0.112879891007563,-0.239893623909133,0.202595548840514,0.868782822602595
SCG2,Secretogranin-2,Health and medical history,X120100.Problems doing usual activities,35645,0.130635909675299,0.0725828272988336,-0.0116264318304144,0.272898251181013,0.0719360417959349
SCG2,Secretogranin-2,Health and medical history,X120101.Pain or discomfort today,35645,0.0286690749537607,0.0681825175178147,-0.104968659381156,0.162306809288678,0.674152169668139
SCG2,Secretogranin-2,Health and medical history,X120102.Anxiety or depression today,35645,0.0203221804132271,0.0856880316123936,-0.147626361547064,0.188270722373519,0.812536517700193
SCG2,Secretogranin-2,Health and medical history,X120103.Scale to indicate how health is today,35623,-0.012923739607536,0.00441517561586185,-0.0215774838146253,-0.0042699954004468,0.00343318286131635
SCG2,Secretogranin-2,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,35620,0.109045965958449,0.0874532141893506,-0.062362333852678,0.280454265769576,0.212477306935633
SCG2,Secretogranin-2,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",35610,0.0700578460926568,0.0913111692117518,-0.108912045562377,0.24902773774769,0.442965352513944
SCG2,Secretogranin-2,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",35626,0.0845207776080097,0.0692981345631001,-0.0513035661356664,0.220345121351686,0.222635161181878
SCG2,Secretogranin-2,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,35625,0.202037912401765,0.070851644725522,0.0631686887397417,0.340907136063788,0.00436435663592621
SCG2,Secretogranin-2,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,35636,0.217233355763078,0.0997454601008299,0.0217322539654519,0.412734457560705,0.0294513505498038
SCG2,Secretogranin-2,Health and medical history,X120109.Feeling bad about self over the last two weeks,35615,-0.0698852886318149,0.0988038512473453,-0.263540837076612,0.123770259812982,0.47939741318986
SCG2,Secretogranin-2,Health and medical history,X120110.Trouble concentrating over the last two weeks,35630,0.204041664527415,0.0975428540544704,0.0128576705806532,0.395225658474177,0.0364941189325191
SCG2,Secretogranin-2,Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,35628,0.0443979659884606,0.134320274718967,-0.218869772460715,0.307665704437636,0.741004188670195
SCG2,Secretogranin-2,Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,35609,0.478337095727847,0.198104734551437,0.0900518160070313,0.866622375448663,0.0157817495976322
SCG2,Secretogranin-2,Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",33469,0.171628352337619,0.0960166886986532,-0.0165643575117418,0.359821062186979,0.07393004776316
SCG2,Secretogranin-2,Lifestyle factors,X1269.Exposure to tobacco smoke at home,50403,0.0252125588068846,0.0802557252965786,-0.132088662774409,0.182513780388179,0.753408098367834
SCG2,Secretogranin-2,Lifestyle factors,X1279.Exposure to tobacco smoke outside home,48604,0.0222725589125493,0.0500870768446682,-0.0758981117030003,0.120443229528099,0.656558326849655
SCG2,Secretogranin-2,Diet and food preferences,X1289.Cooked vegetable intake,51752,-0.232555260045805,0.0350186831624428,-0.301191879044193,-0.163918641047417,3.18885667558785e-11
SCG2,Secretogranin-2,Diet and food preferences,X1299.Salad  or  raw vegetable intake,50944,-0.162792042416872,0.036497701683102,-0.234327537715752,-0.0912565471179923,8.22407835999908e-06
SCG2,Secretogranin-2,Diet and food preferences,X1309.Fresh fruit intake,51673,-0.168204030903824,0.0360387748563726,-0.238840029622314,-0.0975680321853334,3.06932957764131e-06
SCG2,Secretogranin-2,Diet and food preferences,X1319.Dried fruit intake,50475,-0.148986180701256,0.0362740701667052,-0.220083358227998,-0.0778890031745134,4.01917660085621e-05
SCG2,Secretogranin-2,Health and medical history,X134.Number of self-reported cancers,52416,0.126951447794655,0.0553250614661816,0.0185143273209387,0.235388568268371,0.0217622813072256
SCG2,Secretogranin-2,Health and medical history,X135.Number of self-reported non-cancer illnesses,52417,0.314836433605793,0.0367622468141765,0.242782429850007,0.386890437361579,1.15560576919346e-17
SCG2,Secretogranin-2,Health and medical history,"X136.Number of operations, self-reported",52417,0.0765200957959034,0.0348171713145409,0.00827844001940321,0.144761751572404,0.0279754154255486
SCG2,Secretogranin-2,Health and medical history,X137.Number of treatments or medications taken,52417,0.341481834659533,0.0352372207800546,0.272416881930627,0.41054678738844,3.62931872193716e-22
SCG2,Secretogranin-2,Diet and food preferences,X1438.Bread intake,51787,0.0118047887458135,0.00263319660328144,0.00664372340338184,0.0169658540882451,7.39405605667948e-06
SCG2,Secretogranin-2,Diet and food preferences,X1458.Cereal intake,51441,-0.0305345876663203,0.0342262220045002,-0.0976179827951407,0.0365488074625002,0.372327453464564
SCG2,Secretogranin-2,Diet and food preferences,X1488.Tea intake,51709,0.00119124020911442,0.00255510329336053,-0.00381676224587221,0.00619924266410106,0.641062558914467
SCG2,Secretogranin-2,Diet and food preferences,X1498.Coffee intake,50726,-0.189976912149932,0.0345174824943869,-0.25763117783893,-0.122322646460934,3.7595464427071e-08
SCG2,Secretogranin-2,Diet and food preferences,X1528.Water intake,50532,0.00949992991066859,0.0346855218490114,-0.0584836929133939,0.077483552734731,0.784173750321252
SCG2,Secretogranin-2,Lifestyle factors,X1568.Average weekly red wine intake,45032,-0.125986075872446,0.0407106596065687,-0.205778968701321,-0.0461931830435716,0.00197375057585582
SCG2,Secretogranin-2,Lifestyle factors,X1578.Average weekly champagne plus white wine intake,45029,-0.0776007362468843,0.0418105517647172,-0.15954941770573,0.00434794521196136,0.0634709227658328
SCG2,Secretogranin-2,Lifestyle factors,X1588.Average weekly beer plus cider intake,45075,-0.148826201338106,0.0463946929281479,-0.239759799477276,-0.057892603198936,0.0013400667798904
SCG2,Secretogranin-2,Lifestyle factors,X1598.Average weekly spirits intake,45013,-0.0916000898918498,0.0437423796796409,-0.177335154063946,-0.00586502571975372,0.0362686327186273
