Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
SOD1,Superoxide dismutase [Cu-Zn],Lifestyle factors,X1050.Time spend outdoors in summer,49770,-0.00143563139391515,0.0262376608296776,-0.0528614466200833,0.049990183832253,0.9563649030316
SOD1,Superoxide dismutase [Cu-Zn],Lifestyle factors,X1060.Time spent outdoors in winter,47675,-0.0177933065937193,0.0290629780261004,-0.0747567435248761,0.0391701303374374,0.54039131735305
SOD1,Superoxide dismutase [Cu-Zn],Physical activities,X1070.Time spent watching television (TV),50955,0.0746741060131509,0.0267238320042788,0.0222953952847644,0.127052816741537,0.00520594899729371
SOD1,Superoxide dismutase [Cu-Zn],Physical activities,X1080.Time spent using computer,47752,-0.021255795255095,0.0259405874623381,-0.0720993466812776,0.0295877561710876,0.412567045751161
SOD1,Superoxide dismutase [Cu-Zn],Physical activities,X1090.Time spent driving,43605,-0.0229720026498325,0.0302680611480714,-0.0822974025000525,0.0363533972003876,0.447893741853398
SOD1,Superoxide dismutase [Cu-Zn],Lifestyle factors,X1160.Sleep duration,51733,0.00548686575827056,0.0232500201951163,-0.0400831738241574,0.0510569053406985,0.813439453982719
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,35489,-0.0249080843200692,0.0225007252812395,-0.0690095058712986,0.0191933372311601,0.268340426625125
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,35489,-0.0153797484570331,0.0213694779713755,-0.0572639252809291,0.0265044283668629,0.471732549770566
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,35489,-0.00460709355484735,0.0232708152986221,-0.0502178915401466,0.0410037044304519,0.843069204217616
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,35489,0.0232666920809484,0.0235249340047553,-0.0228421785683719,0.0693755627302687,0.322690082953322
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,35489,-0.00496105308168796,0.0234836357889423,-0.0509889792280148,0.0410668730646389,0.832694548762177
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,35489,-0.0946778668208255,0.0596379260323255,-0.211568201844183,0.0222124682025325,0.112439579572444
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,35489,-0.0198579643492928,0.0624436087377983,-0.142247437475377,0.102531508776792,0.750484591997679
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#15.Location of pain during the past week_Chest pain,35489,-0.065776925381374,0.0402532001459317,-0.1446731976674,0.0131193469046522,0.102292183290458
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#16.Location of pain during the past week_Abdomen,35489,0.0124063708288238,0.0289674469217358,-0.0443698251377783,0.069182566795426,0.668457089285639
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#17.Location of pain during the past week_Neck pain,35489,-0.00113535200592169,0.0191537950305564,-0.0386767902658123,0.0364060862539689,0.952734505405308
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#18.Location of pain during the past week_Upper back,35489,-0.0127368085847438,0.0289181975547811,-0.0694164757921147,0.0439428586226271,0.65963163805164
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#19.Location of pain during the past week_Lower back,35489,0.00363321891777676,0.0154820304091263,-0.0267115606841108,0.0339779985196643,0.814469957487864
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,35489,-0.0338253102149639,0.0202525371558153,-0.0735202830403619,0.00586966261043401,0.0949341774120762
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,35489,0.0273754287802089,0.0286155546422047,-0.0287110583185123,0.0834619158789301,0.338774355885331
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,35489,-0.0612022376662117,0.0270914115269355,-0.114301404259005,-0.00810307107341814,0.0239111586123614
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,35489,0.00920420775790959,0.0422007092579244,-0.0735091823876222,0.0919175979034413,0.827353963978172
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,35489,0.0283995426777964,0.0399337943924414,-0.0498706943313888,0.106669779686982,0.477007943984092
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#7.Location of pain during the past week_Left hip,35489,-0.0283462796453666,0.0209650177819252,-0.0694377144979399,0.0127451552072068,0.176399847688132
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#8.Location of pain during the past week_Right hip,35489,-0.00638195541530333,0.0198414544975738,-0.0452712062305481,0.0325072953999414,0.747730388998177
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,35489,0.0309724881084097,0.0252805383832173,-0.0185773671226962,0.0805223433395157,0.220564003862945
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120040.Fatigue severity over the past week,35493,-0.0432618620567377,0.0452683238711991,-0.131987776844288,0.0454640527308126,0.339272510705471
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120041.Waking unrefreshed severity over the past week,35491,-0.0636186922938285,0.0452605522004034,-0.152329374606619,0.0250919900189621,0.159889267224312
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120042.Cognitive symptoms severity over the past week,35493,-0.0131094362688288,0.0484235567366117,-0.108019607472588,0.0818007349349301,0.786611914773244
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120098.Mobility problems today,35497,0.0143497732519161,0.0497752989507691,-0.0832098126915914,0.111909359195424,0.773133440626763
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120099.Self-care problems today,35497,-0.0537283850327989,0.0768410514404504,-0.204336845856082,0.0968800757904839,0.484443740888028
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120100.Problems doing usual activities,35497,-0.00352474440563432,0.0484015861163624,-0.0983918531937046,0.091342364382436,0.94194935066113
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120101.Pain or discomfort today,35497,-0.0234582936956309,0.0450019546193414,-0.11166212474954,0.0647455373582783,0.602195087196232
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120102.Anxiety or depression today,35497,-0.0355773810278936,0.0573848038413165,-0.148051596556874,0.0768968345010867,0.535293947026448
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120103.Scale to indicate how health is today,35476,-0.00423271739282266,0.00674674724332127,-0.0174563419897323,0.00899090720408703,0.530438502332742
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,35472,-0.0463711311757068,0.0588608055317339,-0.161738310017905,0.0689960476664917,0.430837603490832
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",35462,-0.0809614226405713,0.0613197362405536,-0.201148105672056,0.0392252603909137,0.186777794894077
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",35480,-0.00845261899216389,0.0459286770345698,-0.0984728259799207,0.0815675879955929,0.853989631580286
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,35478,-0.0554603117916757,0.0468977520192672,-0.147379905749439,0.0364592821660879,0.237020667754867
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120108.Poor appetite or overeating over the last two weeks,35488,-0.0414085790258254,0.0678499820980457,-0.174394543937995,0.0915773858863443,0.541687725684835
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120109.Feeling bad about self over the last two weeks,35469,-0.0283289542738432,0.0660447659630957,-0.157776695561511,0.101118787013824,0.667984788445428
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120110.Trouble concentrating over the last two weeks,35481,-0.099096893153522,0.066030746568487,-0.228517156427756,0.0303233701207125,0.133465568783169
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,35480,0.0413967837303661,0.0893921876941111,-0.133811904150092,0.216605471610824,0.643314647151717
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,35460,-0.0294702502122905,0.13634074726618,-0.296698114854004,0.237757614429423,0.828876734445243
SOD1,Superoxide dismutase [Cu-Zn],Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",33362,0.00210227797860442,0.0653188705407373,-0.125922708281241,0.130127264238449,0.974326180532885
