Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
SV2A,Synaptic vesicle glycoprotein 2A,Lifestyle factors,X1050.Time spend outdoors in summer,46935,0.0156330004419864,0.0236628499141893,-0.0307461853898247,0.0620121862737976,0.508841616053083
SV2A,Synaptic vesicle glycoprotein 2A,Lifestyle factors,X1060.Time spent outdoors in winter,45119,-0.00268833994901145,0.0260549987370633,-0.0537561374736556,0.0483794575756327,0.91782186360166
SV2A,Synaptic vesicle glycoprotein 2A,Physical activities,X1070.Time spent watching television (TV),47946,0.0480142153258286,0.0244774083633402,3.84949336818124e-05,0.0959899357179754,0.0498270298551409
SV2A,Synaptic vesicle glycoprotein 2A,Physical activities,X1080.Time spent using computer,45108,-0.0755083906694544,0.0234234540957197,-0.121418360697065,-0.0295984206418437,0.00126834964225931
SV2A,Synaptic vesicle glycoprotein 2A,Physical activities,X1090.Time spent driving,41599,-0.00326263236076882,0.0279295566963247,-0.0580045634855651,0.0514792987640275,0.907007379215355
SV2A,Synaptic vesicle glycoprotein 2A,Lifestyle factors,X1160.Sleep duration,48616,0.0237951313158003,0.0210779262105846,-0.0175176040569455,0.065107866688546,0.258948752614451
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34658,0.0303634205254972,0.0284724287280599,-0.0254425397815003,0.0861693808324946,0.286283273471184
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34658,0.00927999595748327,0.0273378144489338,-0.0443021203624269,0.0628621122773935,0.734278986462165
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34658,0.028139509837955,0.0298086104965248,-0.0302853667352337,0.0865643864111437,0.345208275133409
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34658,0.0325496693465397,0.0302030468274649,-0.0266483024352916,0.091747641128371,0.281217513526302
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34658,-0.00730969700628779,0.0304255900889298,-0.0669438535805902,0.0523244595680146,0.810146766544434
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34658,-0.0649440839188209,0.0776926106259814,-0.217221600745744,0.0873334329081026,0.403241698772436
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34658,-0.0671462476488488,0.0794324659519583,-0.222833880914687,0.0885413856169895,0.397966431787097
SV2A,Synaptic vesicle glycoprotein 2A,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34658,-0.0296742534835551,0.052959679238152,-0.133475224790333,0.0741267178232229,0.575285627685144
