Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
UNC79,Protein unc-79 homolog,Lifestyle factors,X1050.Time spend outdoors in summer,46753,0.0158315974297497,0.0264958807226659,-0.0361003287866755,0.067763523646175,0.550173536349311
UNC79,Protein unc-79 homolog,Lifestyle factors,X1060.Time spent outdoors in winter,44952,0.0262235606217104,0.0296330477952774,-0.0318572130570333,0.0843043343004541,0.37620083429844
UNC79,Protein unc-79 homolog,Physical activities,X1070.Time spent watching television (TV),47768,0.0268913529558463,0.0268218452295683,-0.0256794636941075,0.0794621696058002,0.316071079809753
UNC79,Protein unc-79 homolog,Physical activities,X1080.Time spent using computer,44981,-0.0259845588055739,0.0265580365757217,-0.0780383104939884,0.0260691928828405,0.327888248723749
UNC79,Protein unc-79 homolog,Physical activities,X1090.Time spent driving,41500,0.0349649375587957,0.0308421326670414,-0.0254856424686054,0.0954155175861968,0.256953220290228
UNC79,Protein unc-79 homolog,Lifestyle factors,X1160.Sleep duration,48428,-0.00741775474177766,0.0235689455928841,-0.0536128881038306,0.0387773786202753,0.752973284094439
UNC79,Protein unc-79 homolog,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34602,-0.010771330507698,0.0258643012444339,-0.0614653609467885,0.0399226999313924,0.677093250828264
UNC79,Protein unc-79 homolog,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34602,0.0425650431117431,0.0248330395075299,-0.0061077143230155,0.0912378005465016,0.0865770538855021
UNC79,Protein unc-79 homolog,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34602,0.0333967500766217,0.0268481093714326,-0.0192255442913861,0.0860190444446295,0.21358497973453
UNC79,Protein unc-79 homolog,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34602,-0.0215366685479597,0.0271886546274562,-0.0748264316177738,0.0317530945218545,0.428325636607936
UNC79,Protein unc-79 homolog,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34602,-0.0337939442018411,0.0272614522248272,-0.0872263905625024,0.0196385021588202,0.215168373099488
UNC79,Protein unc-79 homolog,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34602,0.074732330278485,0.0707677645019702,-0.0639724881453766,0.213437148702347,0.291005245059902
UNC79,Protein unc-79 homolog,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34602,-0.0308803970128294,0.0713504030781897,-0.170727187046081,0.108966393020423,0.665177916985161
UNC79,Protein unc-79 homolog,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34602,-0.039120227948954,0.0482243803890942,-0.133640013511579,0.0553995576136706,0.417279255677057
UNC79,Protein unc-79 homolog,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34602,-0.0148345136115027,0.0344085365762401,-0.0822752453009334,0.052606218077928,0.666391851011718
UNC79,Protein unc-79 homolog,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34602,0.00563295597572329,0.022159839093049,-0.0378003286466528,0.0490662405980994,0.79935333360287
UNC79,Protein unc-79 homolog,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34602,0.0256164436438109,0.0336270925424801,-0.0402926577394501,0.0915255450270719,0.446224589710671
UNC79,Protein unc-79 homolog,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34602,0.0115207791312468,0.018024227873666,-0.0238067075011386,0.0468482657636322,0.522730994378513
UNC79,Protein unc-79 homolog,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34602,-0.00618208264874834,0.0232599365763054,-0.0517715583383069,0.0394073930408102,0.790416900679309
UNC79,Protein unc-79 homolog,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34602,0.017995196413453,0.0334222254063821,-0.047512365383056,0.0835027582099619,0.590309243760996
UNC79,Protein unc-79 homolog,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34602,-0.00139090464689108,0.0314865949582639,-0.0631046307650882,0.0603228214713061,0.964766937694183
UNC79,Protein unc-79 homolog,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34602,0.0566181353673624,0.0487252484798095,-0.0388833516530642,0.152119622387789,0.245291773455455
UNC79,Protein unc-79 homolog,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34602,0.0854461510645788,0.0466922571321425,-0.00607067291442039,0.176962975043578,0.0673071302209131
UNC79,Protein unc-79 homolog,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34602,0.0133793526559602,0.0242722015181893,-0.0341941623196909,0.0609528676316113,0.581504803863116
UNC79,Protein unc-79 homolog,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34602,0.0094427862165001,0.0231560021834085,-0.0359429780629806,0.0548285504959808,0.683443995458346
UNC79,Protein unc-79 homolog,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34602,0.0125329619421151,0.0293477236697119,-0.0449885764505202,0.0700545003347505,0.669359499801671
UNC79,Protein unc-79 homolog,Health and medical history,X120040.Fatigue severity over the past week,34609,-0.0110996834415669,0.0453440304416416,-0.0999739831071844,0.0777746162240506,0.806629712255098
UNC79,Protein unc-79 homolog,Health and medical history,X120041.Waking unrefreshed severity over the past week,34607,-0.0552241533251205,0.0451849478448825,-0.14378665110109,0.0333383444508491,0.22169268630033
