Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
IGSF3,Immunoglobulin superfamily member 3,Lifestyle factors,X1050.Time spend outdoors in summer,48868,0.0379933382059261,0.0313273692364584,-0.0234083054975322,0.0993949819093845,0.225223797091245
IGSF3,Immunoglobulin superfamily member 3,Lifestyle factors,X1060.Time spent outdoors in winter,45121,-0.0016438611314629,0.0359416662207759,-0.0720895269241837,0.0688018046612579,0.963520365835306
IGSF3,Immunoglobulin superfamily member 3,Physical activities,X1070.Time spent watching television (TV),50032,0.105681622527413,0.0306725544826245,0.0455634157414694,0.165799829313357,0.00057094358729758
IGSF3,Immunoglobulin superfamily member 3,Physical activities,X1080.Time spent using computer,45061,-0.0319032443904803,0.0324130284896647,-0.0954327802302232,0.0316262914492625,0.324992903962703
IGSF3,Immunoglobulin superfamily member 3,Physical activities,X1090.Time spent driving,43936,-0.170177065497133,0.0345283698192751,-0.237852670342912,-0.102501460651354,8.34742549861961e-07
IGSF3,Immunoglobulin superfamily member 3,Lifestyle factors,X1160.Sleep duration,51821,-0.0470065893260538,0.0284770462402203,-0.102821599956886,0.00880842130477812,0.0988144574227529
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34452,0.0119167193974327,0.0117178760686783,-0.0110503176971768,0.0348837564920423,0.309191296023401
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34452,0.0110237959600789,0.011508218213207,-0.0115323117378067,0.0335799036579646,0.338131818838896
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34452,-0.00419585168581406,0.0135148283957717,-0.0306849153415266,0.0222932119698984,0.756215140266378
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34452,0.0100966807584224,0.0140813656347153,-0.0175027958856196,0.0376961574024643,0.47337493891697
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34452,0.0478439385093178,0.014438014970581,0.019545429166979,0.0761424478516566,0.000923633355687206
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34452,-0.0250981630982771,0.0277276530171205,-0.0794443630118332,0.0292480368152791,0.36539738362209
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34452,0.0135677027001545,0.0288084280866147,-0.0428968163496103,0.0700322217499193,0.637676881431413
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34452,-0.00282761454212883,0.0202114371521061,-0.0424420313602568,0.0367868022759992,0.88874031324246
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34452,0.0123784117143853,0.0149134591778025,-0.0168519682741076,0.0416087917028782,0.406548368851446
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34452,0.0289821379116789,0.0104752457175225,0.00845065630533474,0.049513619518023,0.00567204639764572
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34452,0.0205508439296773,0.0148418222313391,-0.00853912764374725,0.0496408155031018,0.166186315213266
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34452,-0.000411070823376773,0.00851689767529012,-0.0171041902669454,0.0162820486201919,0.961505699984534
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34452,0.00423668636706391,0.0109190754417921,-0.0171647014988487,0.0256380742329765,0.698018063744568
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34452,0.0404287192017621,0.0166333572057278,0.00782733907853551,0.0730300993249887,0.0150911317683128
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34452,0.0389539010862497,0.0157420832678928,0.00809941788117993,0.0698083842913196,0.013357549438109
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34452,0.03076533194455,0.0194959484559332,-0.00744672702907917,0.0689773909181791,0.114586925881375
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34452,0.0279922920682399,0.01841476141467,-0.00810064030451339,0.0640852244409931,0.128515512518323
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34452,-0.0114630211292028,0.0121864141407208,-0.0353483928450157,0.01242235058661,0.346911141390627
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34452,0.0145328124598849,0.0115813652191824,-0.00816666336971251,0.0372322882894823,0.209562900903149
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34452,0.00422866677599053,0.0142901327120043,-0.0237799933395379,0.032237326891519,0.767300681352707
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120040.Fatigue severity over the past week,34459,0.0654115715644688,0.049813152725941,-0.0322222077783756,0.163045350907313,0.189164696064908
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120041.Waking unrefreshed severity over the past week,34461,0.0207525409357843,0.0498034550934511,-0.0768622310473799,0.118367312918949,0.676914500487386
IGSF3,Immunoglobulin superfamily member 3,Health and medical history,X120042.Cognitive symptoms severity over the past week,34459,0.0842305293149636,0.0542385000410116,-0.0220769307654192,0.190537989395346,0.120461195718708
