Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
ITGA2,Integrin alpha-2,Lifestyle factors,X1050.Time spend outdoors in summer,45174,0.256664628587913,0.0376402012330589,0.182889834171117,0.330439423004708,9.4197133913143e-12
ITGA2,Integrin alpha-2,Lifestyle factors,X1060.Time spent outdoors in winter,41995,0.244519171864606,0.0428185846080868,0.160594746032756,0.328443597696456,1.14350663841502e-08
ITGA2,Integrin alpha-2,Physical activities,X1070.Time spent watching television (TV),46204,-0.0362946955425245,0.0371828166277324,-0.10917301613288,0.0365836250478311,0.329018173618381
ITGA2,Integrin alpha-2,Physical activities,X1080.Time spent using computer,41983,-0.1220203669168,0.0400720201442372,-0.200561526399505,-0.0434792074340951,0.00232993677245513
ITGA2,Integrin alpha-2,Physical activities,X1090.Time spent driving,41020,0.046229326849311,0.0418392506340284,-0.0357756043933846,0.128234258092007,0.269206619852758
ITGA2,Integrin alpha-2,Lifestyle factors,X1160.Sleep duration,47717,-0.114061812898484,0.0349571884024132,-0.182577902167214,-0.0455457236297539,0.0011043341793027
ITGA2,Integrin alpha-2,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32530,0.00533070205433518,0.012060990970755,-0.0183088402483447,0.0289702443570151,0.658515586443178
ITGA2,Integrin alpha-2,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32530,0.00762304063132892,0.011855974374931,-0.0156146691435358,0.0308607504061937,0.520260307867698
ITGA2,Integrin alpha-2,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32530,-0.0149059224902585,0.0138844866817609,-0.0421195163865098,0.0123076714059928,0.283046809411078
ITGA2,Integrin alpha-2,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32530,-0.0241048951040192,0.0144013948137668,-0.0523316289390021,0.00412183873096376,0.0942081620797328
