Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
RNASET2,Ribonuclease T2,Lifestyle factors,X1050.Time spend outdoors in summer,49156,0.0452433931921131,0.0415504018815791,-0.036195394495782,0.126682180880008,0.276217270069645
RNASET2,Ribonuclease T2,Lifestyle factors,X1060.Time spent outdoors in winter,45376,0.0319104068587203,0.0471759018883658,-0.0605543608424767,0.124375174559917,0.4987855549808
RNASET2,Ribonuclease T2,Physical activities,X1070.Time spent watching television (TV),50340,0.191253963706391,0.0414284525023359,0.110054196801813,0.27245373061097,3.92119528764637e-06
RNASET2,Ribonuclease T2,Physical activities,X1080.Time spent using computer,45307,-0.125709247337856,0.0441737480204134,-0.212289793457866,-0.0391287012178454,0.00443432823089566
RNASET2,Ribonuclease T2,Physical activities,X1090.Time spent driving,44192,-0.099186576122119,0.0464424263385506,-0.190213731745678,-0.00815942049855993,0.0327166891492682
RNASET2,Ribonuclease T2,Lifestyle factors,X1160.Sleep duration,52147,0.0208910408539829,0.0387455783650575,-0.0550502927415298,0.0968323744494956,0.589763343028801
RNASET2,Ribonuclease T2,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34580,0.0080991022759432,0.00878661563875139,-0.00912266437600952,0.0253208689278959,0.356677402676567
RNASET2,Ribonuclease T2,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34580,0.019330469970713,0.00862772437130135,0.00242013020296235,0.0362408097384636,0.0250784779172644
RNASET2,Ribonuclease T2,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34580,0.00397173355867315,0.0101260068017594,-0.0158752397727753,0.0238187068901216,0.694895354183344
RNASET2,Ribonuclease T2,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34580,0.0248825073629425,0.010481732306128,0.00433831204293166,0.0454267026829534,0.0176191804748173
RNASET2,Ribonuclease T2,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34580,0.0215001567387468,0.0107986191817784,0.0003348631424611,0.0426654503350325,0.0465051494983372
RNASET2,Ribonuclease T2,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34580,-0.00646669821985307,0.0208743869020772,-0.0473804965479244,0.0344471001082183,0.756725880244817
RNASET2,Ribonuclease T2,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34580,0.0262130015347935,0.021440118210861,-0.015809630158494,0.068235633228081,0.221502175060483
RNASET2,Ribonuclease T2,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34580,-0.0112443852085146,0.0152160791686888,-0.0410679003791447,0.0185791299621155,0.459935041099671
RNASET2,Ribonuclease T2,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34580,0.0126077676237231,0.0111739163205148,-0.00929310836448589,0.034508643611932,0.259209508201833
RNASET2,Ribonuclease T2,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34580,0.0161560236998692,0.00784383441529761,0.000782108245885923,0.0315299391538526,0.0394503678631203
RNASET2,Ribonuclease T2,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34580,0.0185617659035215,0.011162626867603,-0.00331698275698048,0.0404405145640235,0.0963718454086445
RNASET2,Ribonuclease T2,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34580,-0.00323430123417019,0.00636595677109289,-0.0157115765055123,0.00924297403717187,0.611420261485885
RNASET2,Ribonuclease T2,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34580,0.0110084045761099,0.00816912246911059,-0.0050030754633469,0.0270198846155666,0.177827559206792
RNASET2,Ribonuclease T2,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34580,0.0280576018739163,0.0124040768895731,0.00374561117035302,0.0523695925774795,0.0237194342006337
RNASET2,Ribonuclease T2,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34580,0.0133822074984708,0.0117385273885145,-0.0096253061830176,0.0363897211799593,0.254301611317644
RNASET2,Ribonuclease T2,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34580,0.0218706275802227,0.0144408106208048,-0.00643336123655473,0.0501746163970001,0.129928206836046
RNASET2,Ribonuclease T2,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34580,0.0170889127488138,0.013570598103522,-0.00950945953408936,0.0436872850317169,0.207963817293971
RNASET2,Ribonuclease T2,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34580,-0.000153571530046079,0.00910653519181349,-0.0180023805060005,0.0176952374459084,0.986545520915139
RNASET2,Ribonuclease T2,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34580,0.00706098689395063,0.00865148827826089,-0.00989593013144072,0.024017903919342,0.414427544462735
RNASET2,Ribonuclease T2,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34580,0.00883367461112256,0.0106783899355873,-0.0120959696626286,0.0297633188848737,0.408115035895517
RNASET2,Ribonuclease T2,Health and medical history,X120040.Fatigue severity over the past week,34587,0.218095780347797,0.0662661654994447,0.0882140959688856,0.347977464726709,0.00100080104456909
RNASET2,Ribonuclease T2,Health and medical history,X120041.Waking unrefreshed severity over the past week,34589,0.140566027920975,0.0653183555239732,0.0125420510939874,0.268590004747962,0.0314184820408393
RNASET2,Ribonuclease T2,Health and medical history,X120042.Cognitive symptoms severity over the past week,34587,0.131074083185767,0.0721755340936762,-0.0103899636378385,0.272538130009372,0.0693912384296842
RNASET2,Ribonuclease T2,Health and medical history,X120098.Mobility problems today,34592,0.415223200133754,0.080847881109364,0.256761353159401,0.573685047108108,2.85788729908001e-07
RNASET2,Ribonuclease T2,Health and medical history,X120099.Self-care problems today,34592,0.2732078925577,0.123970890239925,0.0302249476874458,0.516190837427953,0.0275590955143102
RNASET2,Ribonuclease T2,Health and medical history,X120100.Problems doing usual activities,34592,0.197831800806471,0.0759438282670063,0.0489818974031386,0.346681704209803,0.0092007640232398
RNASET2,Ribonuclease T2,Health and medical history,X120101.Pain or discomfort today,34592,0.134265952517546,0.066552386752819,0.00382327448202088,0.264708630553071,0.0436736761302791
RNASET2,Ribonuclease T2,Health and medical history,X120102.Anxiety or depression today,34592,0.0778365503215936,0.0786244295957427,-0.076267331686062,0.231940432329249,0.322206608545461
RNASET2,Ribonuclease T2,Health and medical history,X120103.Scale to indicate how health is today,34558,-0.00742691419048993,0.0027558332589718,-0.0128283473780747,-0.0020254810029052,0.00705029332687604
RNASET2,Ribonuclease T2,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,34576,0.117592519431323,0.0784193042762747,-0.0361093169501749,0.271294355812822,0.133764267639029
RNASET2,Ribonuclease T2,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",34561,0.0748334872105666,0.0804373912678868,-0.0828237996744915,0.232490774095625,0.352220152468567
RNASET2,Ribonuclease T2,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",34581,0.090657384972826,0.0654971689764959,-0.0377170662211059,0.219031836166758,0.166343783416176
RNASET2,Ribonuclease T2,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,34581,0.160420551960072,0.0668378046612085,0.0294184548241036,0.291422649096041,0.0164054396882866
RNASET2,Ribonuclease T2,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,34578,0.15167498998948,0.0821360986242861,-0.00931176331412045,0.312661743293081,0.0648283269320971
RNASET2,Ribonuclease T2,Health and medical history,X120109.Feeling bad about self over the last two weeks,34551,-0.00184995471379101,0.0840802804226388,-0.166647304342163,0.162947394914581,0.982446577454089
RNASET2,Ribonuclease T2,Health and medical history,X120110.Trouble concentrating over the last two weeks,34583,0.164507899075653,0.0837594235721646,0.00033942887421054,0.328676369277096,0.0495498101523657
RNASET2,Ribonuclease T2,Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,34567,0.275364903186207,0.123979255985937,0.0323655614537705,0.518364244918644,0.0263679943914591
RNASET2,Ribonuclease T2,Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,34515,-0.0433222956851106,0.166950815873058,-0.370545894796305,0.283901303426084,0.795261155173508
RNASET2,Ribonuclease T2,Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",31529,0.160003187677634,0.086876085846465,-0.0102739405814377,0.330280315936705,0.0655517477995359
RNASET2,Ribonuclease T2,Lifestyle factors,X1269.Exposure to tobacco smoke at home,49052,-0.0285640893140159,0.091587469701599,-0.20807552992915,0.150947351301118,0.755136052469072
RNASET2,Ribonuclease T2,Lifestyle factors,X1279.Exposure to tobacco smoke outside home,47757,0.0557847600281574,0.0556914142476365,-0.0533704118972102,0.164939931953525,0.316510184060968
RNASET2,Ribonuclease T2,Diet and food preferences,X1289.Cooked vegetable intake,51114,-0.165690078985198,0.0397502748400857,-0.243600617671766,-0.0877795402986302,3.07860331584878e-05
RNASET2,Ribonuclease T2,Diet and food preferences,X1299.Salad  or  raw vegetable intake,50579,-0.305763228548328,0.0425799945484874,-0.389220017863363,-0.222306439233292,7.10576370529326e-13
RNASET2,Ribonuclease T2,Diet and food preferences,X1309.Fresh fruit intake,51100,-0.0235168641030886,0.0423799258549699,-0.10658151877883,0.0595477905726523,0.578963692198212
RNASET2,Ribonuclease T2,Diet and food preferences,X1319.Dried fruit intake,49538,-0.178255785084662,0.0449397573661231,-0.266337709522264,-0.0901738606470608,7.31183644214434e-05
RNASET2,Ribonuclease T2,Health and medical history,X134.Number of self-reported cancers,52377,0.310353530310253,0.0856077253043552,0.142562388713717,0.478144671906789,0.000289130611680349
RNASET2,Ribonuclease T2,Health and medical history,X135.Number of self-reported non-cancer illnesses,52377,0.406819644771253,0.0390728162191245,0.330236924981769,0.483402364560737,2.43122371435052e-25
RNASET2,Ribonuclease T2,Health and medical history,"X136.Number of operations, self-reported",52377,0.162190428583773,0.0386285630505066,0.0864784450047806,0.237902412162766,2.69244466044167e-05
RNASET2,Ribonuclease T2,Health and medical history,X137.Number of treatments or medications taken,52377,0.469436507223957,0.0388333211239507,0.393323197821013,0.5455498166269,1.46780971883385e-33
RNASET2,Ribonuclease T2,Diet and food preferences,X1438.Bread intake,51495,0.00480963280619358,0.0018012803415303,0.00127912333679418,0.00834014227559298,0.00758687282857143
RNASET2,Ribonuclease T2,Diet and food preferences,X1458.Cereal intake,50724,0.222612314871815,0.0399916580526566,0.144228665088608,0.300995964655022,2.62434004736131e-08
RNASET2,Ribonuclease T2,Diet and food preferences,X1488.Tea intake,51275,-0.0001085159960401,0.00170262264948305,-0.00344565638902689,0.00322862439694668,0.949182008061372
RNASET2,Ribonuclease T2,Diet and food preferences,X1498.Coffee intake,50018,-0.190306534536328,0.0403371657947836,-0.269367379494104,-0.111245689578552,2.39527398654436e-06
RNASET2,Ribonuclease T2,Diet and food preferences,X1528.Water intake,50340,-0.0972317709223536,0.041195790026346,-0.177975519373992,-0.0164880224707154,0.018270540733053
RNASET2,Ribonuclease T2,Lifestyle factors,X1568.Average weekly red wine intake,43203,-0.444347715519998,0.0479180962415086,-0.538267184153354,-0.350428246886641,1.99391060579885e-20
RNASET2,Ribonuclease T2,Lifestyle factors,X1578.Average weekly champagne plus white wine intake,43194,-0.146819717372017,0.0487481215779441,-0.242366035664787,-0.0512733990792466,0.00260037108765852
RNASET2,Ribonuclease T2,Lifestyle factors,X1588.Average weekly beer plus cider intake,43247,-0.127148899625946,0.0530578741743875,-0.231142333007746,-0.023155466244147,0.0165655653225116
