Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
ZNF830,Zinc finger protein 830,Lifestyle factors,X1050.Time spend outdoors in summer,45553,-0.00283294699780447,0.0150013921977415,-0.0322356757053777,0.0265697817097688,0.850215593287861
ZNF830,Zinc finger protein 830,Lifestyle factors,X1060.Time spent outdoors in winter,42319,0.00548238849771513,0.0171755943395094,-0.0281817764077233,0.0391465534031536,0.749581171581661
ZNF830,Zinc finger protein 830,Physical activities,X1070.Time spent watching television (TV),46604,-0.00646038743242046,0.0148704779021725,-0.0356065241206786,0.0226857492558377,0.663970294233359
ZNF830,Zinc finger protein 830,Physical activities,X1080.Time spent using computer,42306,0.00477438770277107,0.0162021085740293,-0.0269817451023265,0.0365305205078686,0.768244000329763
ZNF830,Zinc finger protein 830,Physical activities,X1090.Time spent driving,41322,-0.0374161346379254,0.0169274913434748,-0.070594017671136,-0.00423825160471485,0.0270919380010559
ZNF830,Zinc finger protein 830,Lifestyle factors,X1160.Sleep duration,48143,0.025489386683571,0.0140739237622682,-0.00209550389047471,0.0530742772576168,0.0701365887419628
ZNF830,Zinc finger protein 830,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32659,0.0169976612485883,0.0302094819242465,-0.0422129233229347,0.0762082458201114,0.573680893495938
ZNF830,Zinc finger protein 830,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32659,-0.0147769807231367,0.0297876939068147,-0.0731608607804935,0.0436068993342201,0.619852692324752
ZNF830,Zinc finger protein 830,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32659,-0.00822564598503851,0.0347938870190729,-0.0764216645424214,0.0599703725723444,0.813119523744677
ZNF830,Zinc finger protein 830,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32659,0.0265282432230614,0.0359592814490715,-0.0439519484171187,0.0970084348632416,0.460698168369372
ZNF830,Zinc finger protein 830,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32659,0.0205549803822367,0.0368248099079197,-0.0516216470372859,0.0927316078017593,0.576733676281426
ZNF830,Zinc finger protein 830,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32659,0.0304654111684689,0.0704658586517598,-0.10764767178898,0.168578494125918,0.665502832649207
ZNF830,Zinc finger protein 830,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32659,-0.0815336526048968,0.0717611377633102,-0.222185482620985,0.0591181774111911,0.255911698175025
