Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Lifestyle factors,X1588.Average weekly beer plus cider intake,CHI3L1,Chitinase-3-like protein 1,34366,0.243948542665326,0.0129285425375579,0.218608599291712,0.269288486038939,5.15573846209897e-79
Lifestyle factors,X1588.Average weekly beer plus cider intake,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,30398,-0.251455371360148,0.0146127768424399,-0.28009641397133,-0.222814328748966,4.76672988936975e-66
Lifestyle factors,X1588.Average weekly beer plus cider intake,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,35080,-0.154596132216331,0.00903729935332375,-0.172309238948845,-0.136883025483816,2.44816320925546e-65
Lifestyle factors,X1588.Average weekly beer plus cider intake,FGF21,Fibroblast growth factor 21,35369,0.142314391820083,0.00872122801243493,0.125220784915711,0.159407998724455,1.21191857319028e-59
Lifestyle factors,X1588.Average weekly beer plus cider intake,ADGRD1,Adhesion G-protein coupled receptor D1,29830,0.488628997024265,0.0306903060486848,0.428475997168843,0.548781996879687,7.73978036855623e-57
Lifestyle factors,X1588.Average weekly beer plus cider intake,MAMDC4,Apical endosomal glycoprotein,30380,0.333550257259492,0.0219527018051974,0.290522961721305,0.376577552797679,6.01562483980527e-52
Lifestyle factors,X1588.Average weekly beer plus cider intake,PRSS8,Prostasin,35028,0.362888045922589,0.0249950292283184,0.313897788635085,0.411878303210093,1.27439797486875e-47
Lifestyle factors,X1588.Average weekly beer plus cider intake,OXT,Oxytocin-neurophysin 1,35447,0.0963418182361618,0.0070470330217317,0.0825296335135677,0.110154002958756,1.93242265307778e-42
Lifestyle factors,X1588.Average weekly beer plus cider intake,GPR37,Prosaposin receptor GPR37,34499,0.196204242039405,0.0161094445249967,0.164629730770411,0.227778753308399,4.69913144364564e-34
Lifestyle factors,X1588.Average weekly beer plus cider intake,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,29637,-0.404013419817108,0.0356646504241063,-0.473916134648356,-0.334110704985859,1.09618031926118e-29
Lifestyle factors,X1588.Average weekly beer plus cider intake,PVR,Poliovirus receptor,35447,0.306348763701497,0.0270579855766336,0.253315111971295,0.359382415431699,1.14927125978836e-29
Lifestyle factors,X1588.Average weekly beer plus cider intake,CD99L2,CD99 antigen-like protein 2,35141,0.473617369359437,0.0422243565794235,0.390857630463767,0.556377108255107,3.78529031849646e-29
Lifestyle factors,X1588.Average weekly beer plus cider intake,BGLAP,Osteocalcin,30533,0.155735764337458,0.0140112490330525,0.128273716232675,0.183197812442241,1.20306460720232e-28
Lifestyle factors,X1588.Average weekly beer plus cider intake,MZB1,Marginal zone B- and B1-cell-specific protein,35249,0.215830664992944,0.0198009805353885,0.177020743143583,0.254640586842305,1.27585806294133e-27
Lifestyle factors,X1588.Average weekly beer plus cider intake,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,34874,-0.316749950488828,0.0292124183354592,-0.374006290426328,-0.259493610551328,2.38102518633097e-27
Lifestyle factors,X1588.Average weekly beer plus cider intake,ERBB3,Receptor tyrosine-protein kinase erbB-3,35027,0.56514838617428,0.0528299023434199,0.461601777581177,0.668694994767383,1.14961830802601e-26
Lifestyle factors,X1588.Average weekly beer plus cider intake,APOM,Apolipoprotein M,35194,0.387189978847776,0.0368778205396485,0.314909450590065,0.459470507105487,9.50389050782752e-26
Lifestyle factors,X1588.Average weekly beer plus cider intake,MEGF9,Multiple epidermal growth factor-like domains protein 9,35456,0.518702790216472,0.0498362659524544,0.421023708949661,0.616381871483282,2.47606795498938e-25
Lifestyle factors,X1588.Average weekly beer plus cider intake,GDF2,Growth/differentiation factor 2,35139,0.297181387796162,0.0285691561168614,0.241185841807114,0.35317693378521,2.63754439965495e-25
Lifestyle factors,X1588.Average weekly beer plus cider intake,IL1RL2,Interleukin-1 receptor-like 2,34491,-0.274574507427744,0.0265563881535084,-0.326625028208621,-0.222523986646868,5.0906111561229e-25
Lifestyle factors,X1588.Average weekly beer plus cider intake,IGSF9,Protein turtle homolog A,30519,0.147350576326445,0.0143152219941953,0.119292741217822,0.175408411435067,8.29652928675975e-25
Lifestyle factors,X1588.Average weekly beer plus cider intake,PLG,Plasminogen,29810,0.536880119907334,0.0540137045365023,0.43101325901579,0.642746980798879,3.03977237894899e-23
Lifestyle factors,X1588.Average weekly beer plus cider intake,NME3,Nucleoside diphosphate kinase 3,35195,0.422447396312522,0.0425659638329445,0.339018107199951,0.505876685425093,3.49298540079069e-23
Lifestyle factors,X1588.Average weekly beer plus cider intake,SLITRK1,SLIT and NTRK-like protein 1,29637,-0.367717715797046,0.037265036224781,-0.440757186797617,-0.294678244796476,6.23866857255297e-23
Lifestyle factors,X1588.Average weekly beer plus cider intake,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,30519,-0.163637588083376,0.0166919861929267,-0.196353881021512,-0.13092129514524,1.17627907053868e-22
