Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CSF1,Macrophage colony-stimulating factor 1,18722,0.306597070887122,0.0470422473662712,0.21439426604923,0.398799875725013,7.33220553963198e-11
Diet and food preferences,X20731.Liking for sweet coffee house drinks,MZB1,Marginal zone B- and B1-cell-specific protein,18696,0.154853764527634,0.024008602686011,0.107796903263052,0.201910625792215,1.14648587954912e-10
Diet and food preferences,X20731.Liking for sweet coffee house drinks,HGF,Hepatocyte growth factor,18830,0.219979264166497,0.0356637945794798,0.150078226790716,0.289880301542277,7.0509155480839e-10
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,18290,0.132956063369194,0.0217690387986985,0.0902887473237453,0.175623379414643,1.0320172267676e-09
Diet and food preferences,X20731.Liking for sweet coffee house drinks,GGH,Gamma-glutamyl hydrolase,18297,0.217037267612873,0.0358419454660737,0.146787054499368,0.287287480726377,1.42808615398708e-09
Diet and food preferences,X20731.Liking for sweet coffee house drinks,SIT1,Signaling threshold-regulating transmembrane adapter 1,18286,0.132367789806677,0.0222993029786898,0.0886611559684446,0.176074423644909,2.97413474175945e-09
Diet and food preferences,X20731.Liking for sweet coffee house drinks,GZMA,Granzyme A,18830,0.202411253335439,0.0343071306407592,0.135169277279551,0.269653229391327,3.69787769505506e-09
Diet and food preferences,X20731.Liking for sweet coffee house drinks,INHBC,Inhibin beta C chain,18632,0.166415557156189,0.0286487903313233,0.110263928106796,0.222567186205583,6.39418750771533e-09
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CDHR5,Cadherin-related family member 5,18624,0.174975842140255,0.0305471687707342,0.115103391349616,0.234848292930894,1.03157591673572e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,TGFA,Protransforming growth factor alpha,18592,0.151638656911774,0.0268244004507149,0.0990628320283723,0.204214481795175,1.59976205255985e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,RELT,Tumor necrosis factor receptor superfamily member 19L,18632,0.256276699474935,0.0457360969730438,0.166633949407769,0.3459194495421,2.13189242537606e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,OSM,Oncostatin-M,18493,0.0941062603653968,0.0169809422749491,0.0608236135064966,0.127388907224297,3.03339280745327e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CLEC4D,C-type lectin domain family 4 member D,18592,0.109294215654423,0.019962034850135,0.0701686273481582,0.148419803960687,4.42923647913123e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,NRP1,Neuropilin-1,18725,-0.236089955656925,0.0437464468011045,-0.32183299138709,-0.15034691992676,6.86730552658607e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,GUCA2A,Guanylin,18532,-0.203193786115472,0.0377149506177763,-0.277115089326314,-0.129272482904631,7.22693111831747e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,LCN2,Neutrophil gelatinase-associated lipocalin,18056,0.176352083613407,0.0328989612220871,0.111870119618116,0.240834047608697,8.40518259660282e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,IL1RN,Interleukin-1 receptor antagonist protein,18610,0.120721647981514,0.0226014054011467,0.0764228933952662,0.165020402567761,9.33504395068379e-08
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CFH,Complement factor H,14877,0.334478904527703,0.0630140084728313,0.210971447920954,0.457986361134453,1.12423140239972e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,MPO,Myeloperoxidase,18632,0.135965654988107,0.0256838039860698,0.0856253991754098,0.186305910800804,1.2114082461594e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,GHR,Growth hormone receptor,15457,0.263108144831631,0.0503656454817512,0.164391479687398,0.361824809975863,1.77413510696454e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,18600,0.194448138392897,0.0375504616717153,0.120849233516335,0.268047043269459,2.26234062820932e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,RETN,Resistin,18571,0.150202775892387,0.0292240618122337,0.0929236147404087,0.207481937044365,2.77977118395377e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,BPIFB2,BPI fold-containing family B member 2,15761,0.116154785307397,0.0226998015264442,0.0716631743155662,0.160646396299228,3.1409352438788e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,C1RL,Complement C1r subcomponent-like protein,15792,0.362591458021715,0.0724133709697901,0.220661250920926,0.504521665122504,5.5810848541595e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,SERPINA7,Thyroxine-binding globulin,15826,0.379120732094306,0.0757855770726216,0.230581001031968,0.527660463156645,5.71857602360175e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CTSS,Cathepsin S,14668,0.3097572133238,0.0619969843942728,0.188243123911026,0.431271302736575,5.91062677324604e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,18796,0.210475607755596,0.0427317861632846,0.126721306875558,0.294229908635634,8.48584177575583e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,18290,0.120618368710818,0.0244934760161425,0.0726111557191791,0.168625581702458,8.53105155587585e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,FETUB,Fetuin-B,18666,0.178356847762667,0.0362747329512865,0.107258371178146,0.249455324347189,8.87029861866423e-07
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PON3,Serum paraoxonase/lactonase 3,18722,-0.220248615968815,0.0451379330735149,-0.308718964792904,-0.131778267144725,1.07253919216463e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CD300E,CMRF35-like molecule 2,18724,0.150363815809232,0.0308668592490468,0.0898647716811008,0.210862859937364,1.11734926685745e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,NPTX1,Neuronal pentraxin-1,18632,-0.147765651931141,0.0303833482010608,-0.20731701440522,-0.0882142894570616,1.16342769756473e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,DSG2,Desmoglein-2,18632,-0.2155930361314,0.0451739504947125,-0.304133979101037,-0.127052093161764,1.83327703858198e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CD99L2,CD99 antigen-like protein 2,18632,0.240653653300661,0.0506697344977975,0.141340973684978,0.339966332916344,2.05485308107544e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,SEMA3F,Semaphorin-3F,18624,0.222537722999506,0.0470237095474371,0.130371252286529,0.314704193712483,2.23448789642525e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PGLYRP1,Peptidoglycan recognition protein 1,18780,0.133293983832652,0.0282087176967642,0.0780048971469942,0.18858307051831,2.31468998648416e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,KRT18,"Keratin, type I cytoskeletal 18",18513,0.0718904568920552,0.0154176678931549,0.0416718278214715,0.102109085962639,3.14021340417306e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,APCS,Serum amyloid P-component,15673,0.189284988160004,0.0407967433533132,0.10932337118751,0.269246605132498,3.51728916883243e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CTSO,Cathepsin O,18830,0.18378701372476,0.0396355315690932,0.106101371849338,0.261472655600183,3.56007585870503e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,GSTA3,Glutathione S-transferase A3,18192,0.0739476007099141,0.0160842891238968,0.0424223940270764,0.105472807392752,4.30460733195278e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,IL12A_IL12B,Interleukin-12,18513,0.0738941995727861,0.0161912256857803,0.0421593972286568,0.105629001916915,5.05490423858471e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CD5,T-cell surface glycoprotein CD5,18760,0.162304228033568,0.0357103969966323,0.0923118499201686,0.232296606146967,5.52751275498079e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,RARRES2,Retinoic acid receptor responder protein 2,18725,0.11469041386592,0.0252846234504717,0.0651325519029956,0.164248275828845,5.76943482959325e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,FLT3LG,Fms-related tyrosine kinase 3 ligand,18830,-0.162338193694565,0.0358484504330115,-0.232601156543267,-0.0920752308458622,5.97805811771061e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,FCAR,Immunoglobulin alpha Fc receptor,18592,0.114158858689637,0.0254045878548566,0.0643658664941183,0.163951850885156,7.04414657091685e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,AGRN,Agrin,18722,0.168811880584791,0.0375778855080089,0.0951592249890932,0.242464536180488,7.0873434540065e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,BST2,Bone marrow stromal antigen 2,18817,0.106184107867884,0.0236781800701154,0.0597748749304574,0.15259334080531,7.35277310670951e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,18663,0.186020668317987,0.0415870084697276,0.104510131717321,0.267531204918653,7.75683114754227e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,IL18R1,Interleukin-18 receptor 1,18830,0.163871425803467,0.0367380315398686,0.0918648839853245,0.235877967621609,8.22274679489602e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,SERPINA3,Alpha-1-antichymotrypsin,15756,0.438526714637373,0.0985133393806289,0.245440569451341,0.631612859823406,8.58808240700856e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,EZR,Ezrin,18817,0.215641151049169,0.0485895246821367,0.120405682672181,0.310876619426157,9.13076691712386e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CXCL13,C-X-C motif chemokine 13,18817,0.0888468900163651,0.0200342929369356,0.0495796758599712,0.128114104172759,9.27060454066847e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,RTN4R,Reticulon-4 receptor,18780,0.157844469900272,0.0357156282867114,0.0878418384583179,0.227847101342227,9.94939546609581e-06
Diet and food preferences,X20731.Liking for sweet coffee house drinks,IGSF8,Immunoglobulin superfamily member 8,18624,0.178664103883693,0.0404947414609447,0.0992944106202411,0.258033797147144,1.02980235401899e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,NOS3,"Nitric oxide synthase, endothelial",18211,0.104031653146011,0.0237266331746048,0.0575274521237856,0.150535854168236,1.16854292357167e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,TNFSF14,Tumor necrosis factor ligand superfamily member 14,18489,0.0893828676559551,0.0204748330528461,0.0492521948723767,0.129513540439534,1.27522048958733e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,18817,0.116258054255152,0.0266613664008701,0.0640017761094461,0.168514332400857,1.30429403298445e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,GZMH,Granzyme H,18290,0.0679328714268943,0.0155872746164463,0.0373818131786596,0.098483929675129,1.31836514845815e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,RNASE6,Ribonuclease K6,15681,0.223032643884423,0.0514017155742153,0.122285281358961,0.323780006409885,1.4402146736493e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,MAMDC4,Apical endosomal glycoprotein,15709,-0.111380478461276,0.0260600383366079,-0.162458153601027,-0.0603028033215242,1.93134440725327e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,NPPC,C-type natriuretic peptide,18592,0.115539346011972,0.0270695528364535,0.0624830224525227,0.168595669571421,1.97998333578855e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PDCD1,Programmed cell death protein 1,18756,0.124090575000939,0.0290862993751475,0.0670814282256498,0.181099721776228,1.99726003053188e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,GSTA1,Glutathione S-transferase A1,18587,0.0611485609621223,0.0143595494553031,0.0330038440297282,0.0892932778945164,2.06916882751045e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,TOR1AIP1,Torsin-1A-interacting protein 1,15362,0.115079387103675,0.0270393766420492,0.0620822088852588,0.168076565322092,2.09359773909616e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,AOC3,Membrane primary amine oxidase,18690,-0.170762030873098,0.0401545887663772,-0.249465024855198,-0.092059036890999,2.12315802504621e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,15457,0.125316162009975,0.0295035592884937,0.0674891858045276,0.183143138215423,2.17442302083e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CLEC6A,C-type lectin domain family 6 member A,18192,0.110916107697409,0.026143636222998,0.0596745807003328,0.162157634694485,2.22072767272648e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,MIA,Melanoma-derived growth regulatory protein,18699,0.139470341721293,0.0328827657451047,0.0750201208608882,0.203920562581699,2.23157299978618e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,LTBP3,Latent-transforming growth factor beta-binding protein 3,18192,0.0950009344484646,0.0223990901599156,0.05109871773503,0.138903151161899,2.23342755143092e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CD8A,T-cell surface glycoprotein CD8 alpha chain,18817,0.101522538558608,0.024006428700261,0.0544699383060964,0.14857513881112,2.35870832831043e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PZP,Pregnancy zone protein,15826,0.109842809629058,0.0261557569118457,0.0585775260818404,0.161108093176275,2.68893062696743e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,KLK13,Kallikrein-13,18187,0.119045108673317,0.0284685835889789,0.0632466848389182,0.174843532507716,2.9078248058855e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PRTN3,Myeloblastin,18179,0.103440452427074,0.0247698993411158,0.054891449718487,0.151989455135661,2.97992805011483e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PARP1,Poly [ADP-ribose] polymerase 1,18592,0.0840563613501654,0.0201644296248213,0.0445340792855157,0.123578643414815,3.07937438852467e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PCDH9,Protocadherin-9,15724,0.177860753490454,0.0429130375037414,0.0937511999831213,0.261970306997787,3.42075276181231e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,SHISA5,Protein shisa-5,15787,0.25332930921355,0.0613888808264904,0.133007102793628,0.373651515633471,3.70006377497034e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,NTF3,Neurotrophin-3,18592,-0.142648644293374,0.0346447661092478,-0.2105523858675,-0.0747449027192484,3.84717429009878e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,TCN1,Transcobalamin-1,15473,0.175194751956291,0.0426598345413467,0.0915814762552519,0.258808027657331,4.03270143581645e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,DDC,Aromatic-L-amino-acid decarboxylase,18600,-0.104599369276592,0.0254931849318894,-0.154566011743095,-0.0546327268100885,4.09508743411324e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CSTB,Cystatin-B,18401,0.115387282290242,0.0281382097497817,0.0602363911806702,0.170538173399814,4.13615364761438e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,SUOX,"Sulfite oxidase, mitochondrial",15782,0.0918431841482772,0.0224206434251042,0.0478987230350729,0.135787645261481,4.21781841553805e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,ITGA5,Integrin alpha-5,18632,0.201665682765341,0.0492669389714944,0.105102482381212,0.29822888314947,4.27021807851413e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CANT1,Soluble calcium-activated nucleotidase 1,18551,0.246125577916871,0.0604325988096776,0.127677684249903,0.364573471583839,4.66587100875695e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,C4BPB,C4b-binding protein beta chain,18699,0.123098667034575,0.0303343845879687,0.0636432732421562,0.182554060826993,4.96839543840598e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,MCAM,Cell surface glycoprotein MUC18,18690,-0.146951013804381,0.036262305622518,-0.218025132824516,-0.0758768947842459,5.08902636342428e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CCL20,C-C motif chemokine 20,18830,0.0562935655661331,0.0138938632573976,0.0290615935816337,0.0835255375506324,5.10541645856337e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,PTGDS,Prostaglandin-H2 D-isomerase,18478,0.174418944138698,0.0430534909988618,0.0900341017809287,0.258803786496467,5.11608085640822e-05
Diet and food preferences,X20731.Liking for sweet coffee house drinks,CREG1,Protein CREG1,18381,0.130650834901357,0.0322609474002178,0.0674193779969301,0.193882291805784,5.14688775892706e-05
