Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29065#2.Symptoms of panic attack_Sweating,TGFB2,Transforming growth factor beta-2 proprotein,13913,0.103183565901588,0.0288866528571672,0.0465657263015404,0.159801405501636,0.000355442104481492
Mental health,X29065#2.Symptoms of panic attack_Sweating,BST2,Bone marrow stromal antigen 2,16208,-0.0952439746695441,0.0287560289487918,-0.151605791409176,-0.0388821579299122,0.000927881233073437
Mental health,X29065#2.Symptoms of panic attack_Sweating,GDF15,Growth/differentiation factor 15,16254,-0.0759225556965351,0.0235116672925522,-0.122005423589937,-0.0298396878031328,0.00124408204042896
Mental health,X29065#2.Symptoms of panic attack_Sweating,CDHR2,Cadherin-related family member 2,15973,-0.122582408094781,0.0397719741268601,-0.200535477383427,-0.0446293388061352,0.0020587501384933
Mental health,X29065#2.Symptoms of panic attack_Sweating,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",13965,-0.127422709620376,0.0415183171327806,-0.208798611200626,-0.0460468080401256,0.00215136836409113
Mental health,X29065#2.Symptoms of panic attack_Sweating,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial",13643,-0.0748160092416232,0.0248867809172166,-0.123594099839368,-0.0260379186438788,0.00264968829775321
Mental health,X29065#2.Symptoms of panic attack_Sweating,CGA,Glycoprotein hormones alpha chain,16074,-0.12687169857236,0.0431645348651614,-0.211474186908076,-0.0422692102366432,0.00329467594786262
Mental health,X29065#2.Symptoms of panic attack_Sweating,RELB,Transcription factor RelB,13568,0.0810280787656821,0.0279025184256553,0.0263391426513976,0.135717014879967,0.00369058236581229
Mental health,X29065#2.Symptoms of panic attack_Sweating,CST3,Cystatin-C,16107,-0.04245006649666,0.0152318840208868,-0.0723045591775981,-0.0125955738157219,0.00532736920302866
Mental health,X29065#2.Symptoms of panic attack_Sweating,ENTR1,Endosome-associated-trafficking regulator 1,13643,-0.0917626217616181,0.0329355259116886,-0.156316252548528,-0.0272089909747084,0.00534153689165654
Mental health,X29065#2.Symptoms of panic attack_Sweating,LEFTY2,Left-right determination factor 2,16173,0.0789933777027022,0.0286127495485139,0.022912388587615,0.135074366817789,0.0057729335551391
Mental health,X29065#2.Symptoms of panic attack_Sweating,CRTAM,Cytotoxic and regulatory T-cell molecule,15918,-0.0760616886221442,0.0277367753414287,-0.130425768291344,-0.0216976089529439,0.00610846674902563
Mental health,X29065#2.Symptoms of panic attack_Sweating,PAPPA,Pappalysin-1,15797,0.0691662573915451,0.0254374632756817,0.019308829371209,0.119023685411881,0.00655372087413657
Mental health,X29065#2.Symptoms of panic attack_Sweating,WARS,"Tryptophan--tRNA ligase, cytoplasmic",16074,-0.0558284086728948,0.0207335043258597,-0.0964660771515799,-0.0151907401942097,0.00709567049864835
Mental health,X29065#2.Symptoms of panic attack_Sweating,CFHR4,Complement factor H-related protein 4,13995,-0.108597852113795,0.0403541533902227,-0.187691992758632,-0.0295037114689588,0.00712973533268824
Mental health,X29065#2.Symptoms of panic attack_Sweating,ASGR1,Asialoglycoprotein receptor 1,15918,-0.0422048502675313,0.0162386444082139,-0.0740325933076306,-0.010377107227432,0.00935717868244645
Mental health,X29065#2.Symptoms of panic attack_Sweating,PAEP,Glycodelin,15918,0.187490837197935,0.0722238132801183,0.0459321631689033,0.329049511226967,0.00944110702856824
Mental health,X29065#2.Symptoms of panic attack_Sweating,CDH22,Cadherin-22,13751,-0.0412086623648588,0.0159005302888294,-0.0723737017309645,-0.0100436229987531,0.0095617026765037
Mental health,X29065#2.Symptoms of panic attack_Sweating,SCARB2,Lysosome membrane protein 2,15607,-0.0424179757796682,0.0166594356430271,-0.0750704696400013,-0.00976548191933516,0.0109003331177625
Mental health,X29065#2.Symptoms of panic attack_Sweating,SLC1A4,Neutral amino acid transporter A,13605,-0.0735051190396806,0.0289938820338578,-0.130333127826042,-0.0166771102533194,0.0112496178879255
Mental health,X29065#2.Symptoms of panic attack_Sweating,PPP3R1,Calcineurin subunit B type 1,15918,-0.0567602404994385,0.022623170677067,-0.10110165502649,-0.0124188259723871,0.0121191740554724
Mental health,X29065#2.Symptoms of panic attack_Sweating,MRPL58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",13946,-0.101638257490969,0.040649850243376,-0.181311963967986,-0.0219645510139522,0.012418977816536
Mental health,X29065#2.Symptoms of panic attack_Sweating,PDGFRB,Platelet-derived growth factor receptor beta,16254,-0.0474443363501949,0.0190083104129643,-0.0847006247596049,-0.0101880479407849,0.0125708556977677
