Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29104.Ever used cannabis,BGLAP,Osteocalcin,14545,-0.169755330211269,0.0251257788092252,-0.21900185667735,-0.120508803745187,1.47024520014774e-11
Mental health,X29104.Ever used cannabis,VWC2,Brorin,16958,-0.300595384523622,0.0483365759191518,-0.39533507332516,-0.205855695722085,5.12719831757993e-10
Mental health,X29104.Ever used cannabis,NPPC,C-type natriuretic peptide,17143,-0.241917138235109,0.041050097676171,-0.322375329680404,-0.161458946789813,3.85852951978773e-09
Mental health,X29104.Ever used cannabis,PTGR1,Prostaglandin reductase 1,14560,0.157415364460637,0.0268222706481302,0.104843713990302,0.209987014930972,4.48431026064175e-09
Mental health,X29104.Ever used cannabis,PCDH9,Protocadherin-9,14491,-0.350067918101397,0.0631666884817709,-0.473874627525668,-0.226261208677126,3.04311089824097e-08
Mental health,X29104.Ever used cannabis,PTPRS,Receptor-type tyrosine-protein phosphatase S,17356,-0.390009089188801,0.0739253263759967,-0.534902728885755,-0.245115449491848,1.33827678785284e-07
Mental health,X29104.Ever used cannabis,ADA2,Adenosine deaminase 2,17032,-0.229669623160679,0.045410918840938,-0.318675024088918,-0.14066422223244,4.2901192189385e-07
Mental health,X29104.Ever used cannabis,APOM,Apolipoprotein M,17185,0.333913045857096,0.0673689397596001,0.20186992392828,0.465956167785912,7.24644343714817e-07
Mental health,X29104.Ever used cannabis,CD72,B-cell differentiation antigen CD72,14250,-0.26786453221894,0.0543856092489184,-0.37446032634682,-0.16126873809106,8.51838411504001e-07
Mental health,X29104.Ever used cannabis,C4BPB,C4b-binding protein beta chain,17210,-0.227167227391842,0.046142653540857,-0.317606828331922,-0.136727626451762,8.5951377469943e-07
Mental health,X29104.Ever used cannabis,NELL2,Protein kinase C-binding protein NELL2,17213,-0.319823457917454,0.0654046745867775,-0.448016620107538,-0.19163029572737,1.01789116786014e-06
Mental health,X29104.Ever used cannabis,CD22,B-cell receptor CD22,17346,-0.218495987893723,0.0455381900263875,-0.307750840345443,-0.129241135442004,1.61525789156658e-06
Mental health,X29104.Ever used cannabis,VEGFB,Vascular endothelial growth factor B,14121,-0.36730317594388,0.0769650161297085,-0.518154607558109,-0.216451744329652,1.83924445395729e-06
Mental health,X29104.Ever used cannabis,MZB1,Marginal zone B- and B1-cell-specific protein,17187,-0.174596713430401,0.0366203564947114,-0.246372612160035,-0.102820814700767,1.87822365663227e-06
Mental health,X29104.Ever used cannabis,BPIFB2,BPI fold-containing family B member 2,14530,-0.174522922656586,0.0367888075256597,-0.246628985406879,-0.102416859906293,2.11624502981997e-06
Mental health,X29104.Ever used cannabis,MSTN,Growth/differentiation factor 8,16846,-0.166667692036716,0.0352642323835742,-0.235785587508521,-0.0975497965649102,2.30550743014818e-06
Mental health,X29104.Ever used cannabis,GUCA2A,Guanylin,17048,0.262692971005126,0.0567388100024617,0.151484903400301,0.373901038609951,3.68608144152557e-06
