Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",IGFBP2,Insulin-like growth factor-binding protein 2,11143,-0.0667170751066187,0.00654779240365537,-0.0795507482177832,-0.0538834019954541,2.83031309363975e-24
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",ERBB2,Receptor tyrosine-protein kinase erbB-2,11066,0.0247740230951573,0.00261065486203859,0.0196571395655616,0.0298909066247529,2.79516278955096e-21
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",IGSF9,Protein turtle homolog A,9742,0.075185620807499,0.00854412323163225,0.0584391392734998,0.0919321023414982,1.60555233303253e-18
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CNTN3,Contactin-3,11010,0.0309836165121366,0.00353589595255077,0.0240532604451371,0.0379139725791361,2.18799518401479e-18
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",ACY1,Aminoacylase-1,11034,0.0564673962923368,0.00644615154903705,0.0438329392562241,0.0691018533284494,2.24062106381367e-18
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CKB,Creatine kinase B-type,9742,-0.0528723203410815,0.00612717075972684,-0.0648815750301461,-0.0408630656520169,7.14896657845493e-18
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",PTPRB,Receptor-type tyrosine-protein phosphatase beta,9742,0.0267814689373709,0.00313038546616593,0.0206459134236857,0.0329170244510561,1.35295165783892e-17
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CBLN4,Cerebellin-4,11112,0.0265007986140718,0.00341135462674776,0.0198145435456462,0.0331870536824974,8.64801385026499e-15
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",GGT1,Glutathione hydrolase 1 proenzyme,10995,0.0408697962613638,0.00526209920389386,0.0305560818217318,0.0511835107009958,8.76416940437004e-15
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CDON,Cell adhesion molecule-related/down-regulated by oncogenes,11019,0.0213634741804016,0.00285330682301239,0.0157709928072973,0.0269559555535058,7.56979880138792e-14
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",BCHE,Cholinesterase,9587,0.0213015865218889,0.00292978688757668,0.0155592042222386,0.0270439688215392,3.85668028147033e-13
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",LCAT,Phosphatidylcholine-sterol acyltransferase,9756,0.0166935142738383,0.00233816797404713,0.0121107050447059,0.0212763235029706,1.00314641520468e-12
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",DNER,Delta and Notch-like epidermal growth factor-related receptor,10978,0.0191899847323973,0.00274058670067867,0.0138184347990671,0.0245615346657275,2.66822484693227e-12
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CD27,CD27 antigen,11066,-0.0297999916718963,0.00431334227177043,-0.0382541425245664,-0.0213458408192263,5.15666859660308e-12
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CRLF1,Cytokine receptor-like factor 1,11054,0.0191243262945541,0.00277840577655185,0.0136786509725125,0.0245700016165957,6.16957487892299e-12
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CPM,Carboxypeptidase M,11052,0.025630833418222,0.00374413832056324,0.0182923223099181,0.032969344526526,8.02025555878528e-12
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",DCXR,L-xylulose reductase,11066,0.0373759245452896,0.00547640784839876,0.0266421651624281,0.0481096839281512,9.25938354156161e-12
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,10974,0.0207712069105008,0.00305321491889612,0.0147869056694644,0.0267555081515372,1.07757718184883e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",RET,Proto-oncogene tyrosine-protein kinase receptor Ret,10974,0.0283430390310045,0.00422837058921795,0.0200554326761373,0.0366306453858717,2.14118639618936e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",HEPH,Hephaestin,9742,0.0178181218050262,0.00270020869303975,0.0125257127666683,0.0231105308433841,4.36113677778095e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CDHR2,Cadherin-related family member 2,10974,0.0508638791039485,0.00772870526584584,0.0357156167828906,0.0660121414250063,4.88082727603369e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",ADGRD1,Adhesion G-protein coupled receptor D1,9538,0.0263906805616123,0.00401761536204006,0.0185161544520137,0.0342652066712108,5.33948840829338e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",LAMP1,Lysosome-associated membrane glycoprotein 1,9488,0.0182793647927017,0.00280105979975604,0.0127892875851799,0.0237694420002236,7.10675915663702e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",CKAP4,Cytoskeleton-associated protein 4,11088,-0.0185116464827121,0.00284673366646728,-0.024091244468988,-0.0129320484964362,8.22506749146495e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",TTR,Transthyretin,9692,0.0170586612230983,0.00263061737665832,0.011902651164848,0.0222146712813487,9.32757481528837e-11
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",ERBB3,Receptor tyrosine-protein kinase erbB-3,10977,0.0133253309187256,0.00207940348672987,0.00924970008473509,0.0174009617527162,1.53242165596194e-10
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",MEGF9,Multiple epidermal growth factor-like domains protein 9,11125,0.0142585698110727,0.00222574617247812,0.00989610731301558,0.0186210323091298,1.55224377870075e-10
Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",MAMDC4,Apical endosomal glycoprotein,9691,0.0362042393596393,0.00573547284520412,0.0249627125830392,0.0474457661362393,2.86910787343358e-10
