Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",PLA2G7,Platelet-activating factor acetylhydrolase,51235,-0.0628303341310231,0.00405927666762436,-0.0707865163995669,-0.0548741518624794,6.45176885141182e-54
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",REN,Renin,51225,0.13862442079411,0.00959181764592374,0.119824458208099,0.15742438338012,3.00165777869493e-47
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",CDHR5,Cadherin-related family member 5,51225,-0.0713007172631609,0.00493629082495005,-0.080975847280063,-0.0616255872462588,3.37815653981777e-47
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",DDC,Aromatic-L-amino-acid decarboxylase,51149,0.0891305841921039,0.00617420845910454,0.077029135612259,0.101232032771949,3.80627810022735e-47
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",GDF15,Growth/differentiation factor 15,51857,0.0713011087316745,0.00553692862870023,0.060448728619422,0.0821534888439269,6.90015569045675e-38
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",FGFBP3,Fibroblast growth factor-binding protein 3,44432,-0.059139195164476,0.00466686544854027,-0.0682862514436149,-0.0499921388853371,9.76962217072374e-37
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",LGALS4,Galectin-4,51191,0.0863284783556088,0.00691393187327126,0.0727771718839971,0.0998797848272204,1.00163437519557e-35
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",ISM1,Isthmin-1,51150,-0.0606099633846551,0.00499899105607951,-0.0704079858545709,-0.0508119409147393,8.72376293590662e-34
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",MEPE,Matrix extracellular phosphoglycoprotein,51191,-0.0383382928035128,0.00321991668405116,-0.0446493295042531,-0.0320272561027726,1.20755497737288e-32
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",FGFBP1,Fibroblast growth factor-binding protein 1,51380,-0.0496130218852053,0.00417016074274809,-0.0577865369409916,-0.0414395068294191,1.3516364551442e-32
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",NPPC,C-type natriuretic peptide,51150,-0.0696981660761888,0.00604977619244192,-0.0815557274133749,-0.0578406047390026,1.13116391966756e-30
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",SFRP4,Secreted frizzled-related protein 4,43567,-0.0599349434297994,0.00524281958399658,-0.0702108698144327,-0.0496590170451661,3.20267352251348e-30
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",MFAP5,Microfibrillar-associated protein 5,51857,-0.0584546138941118,0.0051720958844367,-0.0685919218276078,-0.0483173059606159,1.39041270233461e-29
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",DLK1,Protein delta homolog 1,51857,-0.0789989058057344,0.00707141783874809,-0.0928588847696806,-0.0651389268417881,6.0620097974859e-29
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",CCN3,CCN family member 3,51772,-0.0472268479675234,0.0042731477054421,-0.0556022174701899,-0.0388514784648569,2.30637605840132e-28
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",EPHA1,Ephrin type-A receptor 1,51361,-0.0466170797944184,0.00422671041506982,-0.0549014322079553,-0.0383327273808816,2.97390486663239e-28
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",PTPRS,Receptor-type tyrosine-protein phosphatase S,51857,-0.0342545964306342,0.00313095112498037,-0.0403912606355957,-0.0281179322256727,7.90342612041395e-28
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",TFF2,Trefoil factor 2,51361,0.0798079599491564,0.00731210642106145,0.0654762313638759,0.0941396885344368,1.05412761152258e-27
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",INHBC,Inhibin beta C chain,51235,-0.057270843247004,0.00525335671319739,-0.0675674224048708,-0.0469742640891371,1.2124245539009e-27
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",LIFR,Leukemia inhibitory factor receptor,51150,0.0336201402041895,0.00309378829291222,0.0275563151500815,0.0396839652582974,1.7745740323094e-27
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",GGH,Gamma-glutamyl hydrolase,50366,-0.047254750891371,0.00434891030007201,-0.0557786150795121,-0.0387308867032298,1.79794409963208e-27
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",CSF1,Macrophage colony-stimulating factor 1,51445,-0.0369156576974497,0.00342097661290689,-0.0436207718587472,-0.0302105435361522,4.060480676229e-27
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",OMD,Osteomodulin,51445,-0.0593020623602888,0.00551492823079877,-0.0701113216926544,-0.0484928030279232,6.12745971001502e-27
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,50827,-0.0477441996359449,0.00448137029799711,-0.0565276854200192,-0.0389607138518705,1.78278081864839e-26
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",CNDP1,Beta-Ala-His dipeptidase,51431,0.0612714551526716,0.00585680395674214,0.049792119397457,0.0727507909078862,1.37577874572861e-25
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",SERPINA6,Corticosteroid-binding globulin,44612,0.0222284979720971,0.00215056751105976,0.0180133856504199,0.0264436102937742,5.1631578910418e-25
Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",DSG3,Desmoglein-3,51489,-0.0446498550627989,0.00434011200858096,-0.0531564745996176,-0.0361432355259802,8.460549764294e-25
