Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20640.Liking for chips or french fries,LEP,Leptin,35036,0.153922659703317,0.0245287722984189,0.105846265998416,0.201999053408218,3.62884531490483e-10
Diet and food preferences,X20640.Liking for chips or french fries,BGLAP,Osteocalcin,33432,0.115776859064564,0.0205508332872462,0.0754972258215618,0.156056492307567,1.81728865623129e-08
Diet and food preferences,X20640.Liking for chips or french fries,CDHR5,Cadherin-related family member 5,35036,0.218017011334021,0.0396768764831173,0.140250333427111,0.295783689240931,4.001919055964e-08
Diet and food preferences,X20640.Liking for chips or french fries,NTRK3,NT-3 growth factor receptor,35137,-0.364891673433611,0.0727206636032063,-0.507424174095895,-0.222359172771326,5.31316066568533e-07
Diet and food preferences,X20640.Liking for chips or french fries,EPCAM,Epithelial cell adhesion molecule,35036,-0.074951513582696,0.0152634700451554,-0.104867914871201,-0.0450351122941915,9.21956805630192e-07
Diet and food preferences,X20640.Liking for chips or french fries,CRH,Corticoliberin,34756,0.0875339769121026,0.0181459310918681,0.0519679519720412,0.123100001852164,1.42804210063127e-06
Diet and food preferences,X20640.Liking for chips or french fries,INHBC,Inhibin beta C chain,35037,0.172232827682155,0.0364305772271252,0.10082889631699,0.243636759047321,2.30010088066006e-06
Diet and food preferences,X20640.Liking for chips or french fries,CNDP1,Beta-Ala-His dipeptidase,35063,-0.154857355688353,0.0342772427545043,-0.222040751487181,-0.0876739598895241,6.31643846419273e-06
Diet and food preferences,X20640.Liking for chips or french fries,DDC,Aromatic-L-amino-acid decarboxylase,35021,-0.142733719118725,0.0326410564255218,-0.206710189712748,-0.0787572485247022,1.2382233988935e-05
Diet and food preferences,X20640.Liking for chips or french fries,SLC51B,Organic solute transporter subunit beta,33160,-0.100614064166224,0.0231470898271519,-0.145982360227442,-0.0552457681050064,1.39756112599034e-05
Diet and food preferences,X20640.Liking for chips or french fries,TSPAN8,Tetraspanin-8,33398,-0.0717855259867061,0.0174748892292388,-0.106036308876014,-0.0375347430973981,4.02791628604702e-05
Diet and food preferences,X20640.Liking for chips or french fries,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,35125,0.174795814837349,0.0432915405453185,0.0899443953685245,0.259647234306173,5.43685460118598e-05
Diet and food preferences,X20640.Liking for chips or french fries,S100A14,Protein S100-A14,33439,-0.134010326182603,0.0333616893283609,-0.19939923726619,-0.0686214150990154,5.94513760751092e-05
Diet and food preferences,X20640.Liking for chips or french fries,GUCA2A,Guanylin,34986,-0.198621437443549,0.0495577445665381,-0.295754616793964,-0.101488258093134,6.16888414204379e-05
Diet and food preferences,X20640.Liking for chips or french fries,BPIFB2,BPI fold-containing family B member 2,33424,0.112239328152955,0.0284436890319652,0.056489697650303,0.167988958655606,8.00679947372329e-05
Diet and food preferences,X20640.Liking for chips or french fries,AMOT,Angiomotin,33255,0.169471171693432,0.0443784293882907,0.0824894500923818,0.256452893294482,0.00013503859166642
Diet and food preferences,X20640.Liking for chips or french fries,VCAN,Versican core protein,35137,-0.194533928428312,0.0510790598657146,-0.294648885765112,-0.094418971091511,0.000140602999765145
Diet and food preferences,X20640.Liking for chips or french fries,PLTP,Phospholipid transfer protein,35132,-0.174217085240229,0.0458778195285065,-0.264137611516102,-0.0842965589643562,0.000147023808055444
Diet and food preferences,X20640.Liking for chips or french fries,OXT,Oxytocin-neurophysin 1,35137,0.0443588583245048,0.0117849341081028,0.0212603874726232,0.0674573291763864,0.000168092094154393
Diet and food preferences,X20640.Liking for chips or french fries,IL2RA,Interleukin-2 receptor subunit alpha,34969,0.150289210600415,0.0399797399979792,0.0719289202043757,0.228649500996454,0.00017142614126103
Diet and food preferences,X20640.Liking for chips or french fries,GPA33,Cell surface A33 antigen,34972,-0.0415797044300606,0.0112551678555279,-0.0636398334268954,-0.0195195754332258,0.000221632269783499
Diet and food preferences,X20640.Liking for chips or french fries,GGH,Gamma-glutamyl hydrolase,34846,0.170457243511151,0.046261063037246,0.079785559958149,0.261128927064153,0.000230153946178564
Diet and food preferences,X20640.Liking for chips or french fries,CLEC4D,C-type lectin domain family 4 member D,35008,0.0957655749367921,0.0263645742933479,0.0440910093218302,0.147440140551754,0.000282175547191779
Diet and food preferences,X20640.Liking for chips or french fries,CFH,Complement factor H,32945,0.297114533214731,0.0819658969085167,0.136461375274038,0.457767691155424,0.000290815893959807
Diet and food preferences,X20640.Liking for chips or french fries,MPO,Myeloperoxidase,35037,0.120359544822248,0.0332102238701821,0.0552675060366913,0.185451583607805,0.000291249385914878
Diet and food preferences,X20640.Liking for chips or french fries,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,34972,0.188261725372133,0.0526850393778302,0.0849990481915855,0.29152440255268,0.000354030460231809
Diet and food preferences,X20640.Liking for chips or french fries,PON3,Serum paraoxonase/lactonase 3,35087,-0.217938449195431,0.0612281004602878,-0.337945526097595,-0.0979313722932673,0.000373252354240047
Diet and food preferences,X20640.Liking for chips or french fries,ADGRG2,Adhesion G-protein coupled receptor G2,35036,-0.208979912043202,0.0588225290717449,-0.324272069023822,-0.0936877550625822,0.000382932020503133
Diet and food preferences,X20640.Liking for chips or french fries,CD27,CD27 antigen,35059,0.141954378759162,0.0402905164403705,0.0629849665360353,0.220923790982288,0.000428051940885934
Diet and food preferences,X20640.Liking for chips or french fries,NOMO1,Nodal modulator 1,35037,0.235010375793902,0.0668013042144049,0.104079819533668,0.365940932054135,0.000436554135207441
Diet and food preferences,X20640.Liking for chips or french fries,KIT,Mast/stem cell growth factor receptor Kit,35048,-0.187174198006353,0.0532372668269354,-0.291519240987146,-0.0828291550255596,0.000440183854468341
Diet and food preferences,X20640.Liking for chips or french fries,FGFR2,Fibroblast growth factor receptor 2,35059,0.266545670713226,0.076043271493415,0.117500858586133,0.41559048284032,0.000458176935230865
Diet and food preferences,X20640.Liking for chips or french fries,APCS,Serum amyloid P-component,33381,0.176779110759112,0.0505962366777845,0.0776104868706546,0.27594773464757,0.000478296282018589
Diet and food preferences,X20640.Liking for chips or french fries,EPHA1,Ephrin type-A receptor 1,35072,0.161315756497911,0.0464464649694408,0.0702806851578067,0.252350827838015,0.000516430125379893
Diet and food preferences,X20640.Liking for chips or french fries,IFNLR1,Interferon lambda receptor 1,35008,0.139962860277675,0.0403267745388014,0.0609223821816246,0.219003338373726,0.000521146024783847
Diet and food preferences,X20640.Liking for chips or french fries,PRCP,Lysosomal Pro-X carboxypeptidase,35103,0.17774873662848,0.0516822260248887,0.0764515736196986,0.279045899637262,0.000585537639347609
Diet and food preferences,X20640.Liking for chips or french fries,IL10RB,Interleukin-10 receptor subunit beta,35087,0.199460813262921,0.0580406882775615,0.0857010642389002,0.313220562286941,0.000591388144058614
Diet and food preferences,X20640.Liking for chips or french fries,TFF2,Trefoil factor 2,35068,-0.0972750555477837,0.0284626113675033,-0.15306177382809,-0.0414883372674771,0.000634031168553093
Diet and food preferences,X20640.Liking for chips or french fries,CA14,Carbonic anhydrase 14,35111,-0.153913722289461,0.0457579513356907,-0.243599306907414,-0.0642281376715068,0.000771903445707205
Diet and food preferences,X20640.Liking for chips or french fries,CTSF,Cathepsin F,35059,-0.129415790252186,0.0385159337646078,-0.204907020430817,-0.0539245600735544,0.000782010352437613
