Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Physical activities,X22039.MET minutes per week for vigorous activity,CA14,Carbonic anhydrase 14,46044,0.635506057737407,0.0342648037292218,0.568347042428132,0.702665073046681,3.37791521982304e-76
Physical activities,X22039.MET minutes per week for vigorous activity,LEP,Leptin,45853,-0.325928151637467,0.018348736156091,-0.361891674503405,-0.289964628771529,4.359159472356e-70
Physical activities,X22039.MET minutes per week for vigorous activity,ITGAV,Integrin alpha-V,46044,1.1130627247451,0.0718565054498202,0.972223974063448,1.25390147542674,7.88919743299049e-54
Physical activities,X22039.MET minutes per week for vigorous activity,MEGF10,Multiple epidermal growth factor-like domains protein 10,45856,0.404532452134197,0.0302937187621306,0.345156763360422,0.463908140907973,1.63802513346434e-40
Physical activities,X22039.MET minutes per week for vigorous activity,CLEC4A,C-type lectin domain family 4 member A,45816,0.435384781381522,0.0339636207999627,0.368816084613595,0.501953478149449,1.76091797891724e-37
Physical activities,X22039.MET minutes per week for vigorous activity,ITGA11,Integrin alpha-11,45816,0.424332538839724,0.0341350476210056,0.357427845502553,0.491237232176895,2.35144703710193e-35
Physical activities,X22039.MET minutes per week for vigorous activity,ITGAM,Integrin alpha-M,45857,0.449072435749986,0.0368864495518257,0.376774994628408,0.521369876871564,5.5085189405126e-34
Physical activities,X22039.MET minutes per week for vigorous activity,CA6,Carbonic anhydrase 6,45791,0.22115593330762,0.0183154837302486,0.185257585196333,0.257054281418907,1.84502703987941e-33
Physical activities,X22039.MET minutes per week for vigorous activity,MYOM3,Myomesin-3,42714,0.183394241668293,0.0152769884011568,0.153451344402026,0.21333713893456,4.47658001196418e-33
Physical activities,X22039.MET minutes per week for vigorous activity,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,45929,0.296059521049632,0.0258667253824213,0.245360739300086,0.346758302799178,3.02852764261949e-30
Physical activities,X22039.MET minutes per week for vigorous activity,CFH,Complement factor H,42015,-0.661132942181655,0.0604136416714637,-0.779543679857724,-0.542722204505586,8.78351946085213e-28
