Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Physical measures,X23102.Whole body water mass,NCAN,Neurocan core protein,51935,-0.169087542728773,0.00492884670999022,-0.178748082280354,-0.159427003177193,1.37783426587177e-252
Physical measures,X23102.Whole body water mass,MYOM3,Myomesin-3,47702,0.368475858637128,0.011951044398978,0.345051811615131,0.391899905659125,1.27453110049891e-204
Physical measures,X23102.Whole body water mass,SEZ6L,Seizure 6-like protein,51792,-0.107301642703034,0.00365567708284123,-0.114466769785403,-0.100136515620665,1.76185591982984e-186
Physical measures,X23102.Whole body water mass,B4GAT1,"Beta-1,4-glucuronyltransferase 1",51713,-0.0850057766472561,0.00323159179507,-0.0913396965655933,-0.0786718567289189,1.29001086703792e-150
Physical measures,X23102.Whole body water mass,MOG,Myelin-oligodendrocyte glycoprotein,51926,-0.113104285118337,0.00432123925958168,-0.121573914067117,-0.104634656169557,3.54783446770323e-149
Physical measures,X23102.Whole body water mass,SERPIND1,Heparin cofactor 2,48205,-0.0942438189612784,0.00362197127504875,-0.101342882660374,-0.0871447552621829,3.39247753499006e-147
Physical measures,X23102.Whole body water mass,MYL3,Myosin light chain 3,47598,0.234381256613464,0.00911170025595404,0.216522324111794,0.252240189115134,6.77424713794927e-144
Physical measures,X23102.Whole body water mass,LCAT,Phosphatidylcholine-sterol acyltransferase,48220,-0.074107833925071,0.00293921535908469,-0.0798686960288769,-0.068346971821265,1.88153621666622e-138
Physical measures,X23102.Whole body water mass,SLITRK1,SLIT and NTRK-like protein 1,47529,-0.106653434612449,0.00425220188916052,-0.114987750315203,-0.0983191189096939,5.3525975289217e-137
Physical measures,X23102.Whole body water mass,PTPRN2,Receptor-type tyrosine-protein phosphatase N2,51424,-0.105525900538949,0.00427228568172913,-0.113899580475138,-0.0971522206027601,3.22862751733883e-133
Physical measures,X23102.Whole body water mass,PTPRR,Receptor-type tyrosine-protein phosphatase R,48150,-0.111051242528346,0.00473498722110523,-0.120331817481713,-0.10177066757498,2.86602941245564e-120
Physical measures,X23102.Whole body water mass,NOTCH3,Neurogenic locus notch homolog protein 3,52033,0.107171491034631,0.00463216505976167,0.0980924475174985,0.116250534551764,2.61501995218542e-117
Physical measures,X23102.Whole body water mass,CFB,Complement factor B,47799,-0.101672552171434,0.00440144938126817,-0.11029939295872,-0.0930457113841488,9.48155771420323e-117
Physical measures,X23102.Whole body water mass,CFH,Complement factor H,46843,-0.0718925969090443,0.00313236415331266,-0.0780320306495371,-0.0657531631685514,3.03924332476536e-115
Physical measures,X23102.Whole body water mass,RTBDN,Retbindin,51580,-0.0885864427737516,0.00389827330475847,-0.0962270584510783,-0.080945827096425,2.9298663785256e-113
Physical measures,X23102.Whole body water mass,MYBPC1,"Myosin-binding protein C, slow-type",48211,0.19343817903366,0.0085117787804906,0.176755092623898,0.210121265443421,3.99140253299975e-113
Physical measures,X23102.Whole body water mass,COMP,Cartilage oligomeric matrix protein,51392,0.100668402773227,0.00452967458299642,0.0917902405905537,0.1095465649559,1.89317010868322e-108
Physical measures,X23102.Whole body water mass,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,48256,-0.0779673524740222,0.00360184094485036,-0.0850269607259289,-0.0709077442221155,6.44456932875381e-103
Physical measures,X23102.Whole body water mass,APCS,Serum amyloid P-component,48039,-0.10355312674646,0.00480429887845888,-0.11296955254824,-0.094136700944681,4.66397354999858e-102
Physical measures,X23102.Whole body water mass,LRTM2,Leucine-rich repeat and transmembrane domain-containing protein 2,48168,-0.0767351942221753,0.00357840992192013,-0.0837488776691388,-0.0697215107752119,4.7432463233315e-101
Physical measures,X23102.Whole body water mass,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,48209,0.0730325297079587,0.00341984866408363,0.0663296263263548,0.0797354330895626,3.03868380818786e-100
Physical measures,X23102.Whole body water mass,DCN,Decorin,51201,0.0647757603492581,0.00304635649084442,0.0588049016272031,0.0707466190713132,1.65446306528754e-99
Physical measures,X23102.Whole body water mass,ACP5,Tartrate-resistant acid phosphatase type 5,51823,-0.0891837077748986,0.00424731865994368,-0.0975084523483882,-0.080858963201409,4.02427948425161e-97
Physical measures,X23102.Whole body water mass,MEGF10,Multiple epidermal growth factor-like domains protein 10,51709,0.107357225069474,0.00516225741928894,0.0972392005276682,0.117475249611281,2.55924263105895e-95
Physical measures,X23102.Whole body water mass,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,51513,0.0786469263881156,0.00380374339791126,0.0711915893282096,0.0861022634480217,3.04079783561939e-94
