Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,AGRP,Agouti-related protein,40516,0.279804004900435,0.00464445847220784,0.270700866294908,0.288907143505962,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,CCN1,CCN family member 1,40280,0.382123361320535,0.00685761832163994,0.368682429410121,0.39556429323095,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,CES1,Liver carboxylesterase 1,40352,0.29695744488405,0.00694516384241872,0.28334492375291,0.310569966015191,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,FURIN,Furin,40411,0.124590969986814,0.00308738066433036,0.118539703884727,0.130642236088902,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,GCG,Pro-glucagon,39980,0.505591447248731,0.0112916921742273,0.483459730587245,0.527723163910216,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,HHEX,Hematopoietically-expressed homeobox protein HHEX,37942,0.295933763244939,0.0068333236879486,0.282540448816559,0.309327077673318,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,IGSF9,Protein turtle homolog A,37990,0.296805708803164,0.00726135582072259,0.282573451394547,0.31103796621178,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,LDLR,Low-density lipoprotein receptor,40356,0.398070763460328,0.00393363074647257,0.390360847197242,0.405780679723414,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,LPL,Lipoprotein lipase,40359,-0.194625032104963,0.00414142403131258,-0.202742223206336,-0.18650784100359,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,MFGE8,Lactadherin,40332,0.227726676059003,0.00364157252822748,0.220589193903677,0.234864158214329,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,NPY,Pro-neuropeptide Y,40489,0.337539339062722,0.00584169399779638,0.326089618827041,0.348989059298403,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,PRAP1,Proline-rich acidic protein 1,37998,0.159102930512275,0.0038633442437458,0.151530775794534,0.166675085230017,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,RARRES2,Retinoic acid receptor responder protein 2,40424,0.171208318318014,0.00423011381504872,0.162917295240518,0.179499341395509,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,SMOC1,SPARC-related modular calcium-binding protein 1,40489,0.126200776214702,0.00301658614202491,0.120288267376333,0.132113285053071,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,TMPRSS15,Enteropeptidase,40305,0.337326053502277,0.00843746909887597,0.320788614068481,0.353863492936074,0
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,ADIPOQ,Adiponectin,38013,-0.239852170588134,0.00609147045349872,-0.251791452676991,-0.227912888499276,1.11253692925378e-308
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,PTH,Parathyroid hormone,37572,0.281509604398061,0.00723678154853097,0.26732551256294,0.295693696233181,1.11254828002465e-308
NMR metabolomics,X23483.Phospholipids in Chylomicrons and Extremely Large VLDL,GPR37,Prosaposin receptor GPR37,40042,0.232863558482447,0.00618918142756544,0.220732762884418,0.244994354080475,1.31437513007569e-296
