Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PZP,Pregnancy zone protein,32813,0.216010564849543,0.0513191838876172,0.115424964429813,0.316596165269272,2.59006533962482e-05
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NOTCH1,Neurogenic locus notch homolog protein 1,34372,-0.85019582768032,0.204543136553427,-1.25110037532504,-0.449291280035603,3.25790025230868e-05
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,34372,-0.548954296626431,0.13569001668261,-0.814906729324346,-0.283001863928516,5.25737203914829e-05
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ACAN,Aggrecan core protein,34163,-0.434509013310007,0.112167905260928,-0.654358107621426,-0.214659918998588,0.000107882897359618
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,SEZ6L2,Seizure 6-like protein 2,34209,-0.501571409095589,0.132763508553046,-0.761787885859559,-0.241354932331618,0.000159077025070164
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NELL1,Protein kinase C-binding protein NELL1,34283,-0.279696799526813,0.076456806713164,-0.429552140684615,-0.129841458369012,0.000255288241830554
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,LPO,Lactoperoxidase,33943,-0.202099348547572,0.0554060390622934,-0.310695185109667,-0.093503511985477,0.000266114258666614
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,MEGF10,Multiple epidermal growth factor-like domains protein 10,34237,-0.290658039113452,0.0805574387864496,-0.448550619134893,-0.132765459092011,0.000310004860425091
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,DNER,Delta and Notch-like epidermal growth factor-related receptor,34228,-0.464440833828978,0.129506068906137,-0.718272728885005,-0.21060893877295,0.000337107686301504
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NOTCH3,Neurogenic locus notch homolog protein 3,34372,-0.329182480231409,0.0920042018041008,-0.509510715767446,-0.148854244695371,0.000348007965893327
