Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",32517,0.097444437817298,0.0258068017379799,0.0468631064108574,0.148025769223739,0.000160562797629983
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,CKMT1A_CKMT1B,"Creatine kinase U-type, mitochondrial",34180,0.0898889812563771,0.0265634664038016,0.0378245871049259,0.141953375407828,0.000717376632704661
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,STX6,Syntaxin-6,33982,-0.091774304022598,0.0273552886905222,-0.145390669856022,-0.0381579381891745,0.000797031079275238
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase,32529,-0.0651438370049425,0.0212065725359349,-0.106708719175375,-0.0235789548345101,0.00213430018102598
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,GET3,ATPase GET3,32776,0.0666460073699947,0.0220433756273826,0.0234409911403247,0.109851023599665,0.00250710445013634
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,FGF20,Fibroblast growth factor 20,32529,0.0517226098889327,0.017127457370676,0.0181527934424077,0.0852924263354577,0.00253677744880513
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,CRX,Cone-rod homeobox protein,34052,-0.12288422505746,0.0408957015932814,-0.203039800180292,-0.0427286499346285,0.00266424071126595
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,EIF5A,Eukaryotic translation initiation factor 5A-1,34004,-0.0340182233019048,0.0113975212558115,-0.0563573649632952,-0.0116790816405143,0.00284571861244083
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,PTX3,Pentraxin-related protein PTX3,34226,-0.0553943684542365,0.0187146656571135,-0.092075113142179,-0.018713623766294,0.00308433196739651
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,C2CD2L,Phospholipid transfer protein C2CD2L,33980,-0.0485474253510085,0.0165595152343742,-0.081004075210382,-0.016090775491635,0.00337920733332784
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,CFC1,Cryptic protein,33982,-0.0534642775254479,0.0183506548675357,-0.0894315610658178,-0.0174969939850779,0.00358254666551845
