Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Physical activities,X1070.Time spent watching television (TV),REN,Renin,51092,0.205227480242463,0.0158636260401168,0.174134773203834,0.236320187281092,3.80837927043746e-38
Physical activities,X1070.Time spent watching television (TV),CFH,Complement factor H,46998,0.792531275234525,0.0628075421299937,0.669428492659737,0.915634057809312,2.36467827973121e-36
Physical activities,X1070.Time spent watching television (TV),HGF,Hepatocyte growth factor,51353,0.425338027816478,0.0345101312315878,0.357698170602566,0.49297788503039,8.57865603493171e-35
Physical activities,X1070.Time spent watching television (TV),GFRA1,GDNF family receptor alpha-1,51258,0.533980143071984,0.0436010332883014,0.448522117826914,0.619438168317055,2.24042883070234e-34
Physical activities,X1070.Time spent watching television (TV),ITGAV,Integrin alpha-V,51285,-0.849313790897317,0.0721376258821258,-0.990703537626284,-0.707924044168351,6.61963185790421e-32
Physical activities,X1070.Time spent watching television (TV),IL1RN,Interleukin-1 receptor antagonist protein,51019,0.267379751908334,0.0234971159310551,0.221325404683466,0.313434099133202,6.40939039552164e-30
Physical activities,X1070.Time spent watching television (TV),GDF15,Growth/differentiation factor 15,51377,0.313140551389764,0.0277903238098954,0.258671516722369,0.367609586057159,2.25910125026232e-29
Physical activities,X1070.Time spent watching television (TV),BST2,Bone marrow stromal antigen 2,51284,0.270445948414367,0.0240359439137698,0.223335498343378,0.317556398485356,2.71546284851749e-29
Physical activities,X1070.Time spent watching television (TV),VWC2,Brorin,50816,0.340111234935976,0.0303678439836044,0.280590260728112,0.399632209143841,4.8932088584931e-29
Physical activities,X1070.Time spent watching television (TV),PLAUR,Urokinase plasminogen activator surface receptor,50904,0.474247470131952,0.0431665932782899,0.389640947306503,0.5588539929574,5.23943496954302e-28
Physical activities,X1070.Time spent watching television (TV),NTRK3,NT-3 growth factor receptor,51284,-0.605534820547488,0.0557874428592276,-0.714878208551574,-0.496191432543402,2.22114341438033e-27
Physical activities,X1070.Time spent watching television (TV),FGFR2,Fibroblast growth factor receptor 2,51147,0.589650031164928,0.0549603319782979,0.481927780487464,0.697372281842392,8.66758435537566e-27
Physical activities,X1070.Time spent watching television (TV),LGALS9,Galectin-9,51059,0.409771436648134,0.0390291358030836,0.33327433047409,0.486268542822178,1.00020850242853e-25
Physical activities,X1070.Time spent watching television (TV),IFI30,Gamma-interferon-inducible lysosomal thiol reductase,47565,0.371120233638013,0.0365135300538625,0.299553714732442,0.442686752543583,3.31447773244232e-24
Physical activities,X1070.Time spent watching television (TV),PRSS8,Prostasin,50983,0.295476003258793,0.0291843645973315,0.238274648648023,0.352677357869563,4.84854018898009e-24
Physical activities,X1070.Time spent watching television (TV),CDCP1,CUB domain-containing protein 1,50887,0.222651534286272,0.0221388605583486,0.179259367591908,0.266043700980635,9.61098011120442e-24
Physical activities,X1070.Time spent watching television (TV),PIGR,Polymeric immunoglobulin receptor,50792,0.328614037683409,0.0328791898850314,0.264170825508747,0.393057249858071,1.80442939510156e-23
Physical activities,X1070.Time spent watching television (TV),TNFRSF4,Tumor necrosis factor receptor superfamily member 4,51315,0.321063584391264,0.0322963800086284,0.257762679574353,0.384364489208176,3.07434134880027e-23
Physical activities,X1070.Time spent watching television (TV),BGLAP,Osteocalcin,48100,0.164528334280575,0.0165555750584887,0.132079407165937,0.196977261395213,3.23244152893519e-23
Physical activities,X1070.Time spent watching television (TV),RARRES2,Retinoic acid receptor responder protein 2,51234,0.244024700962721,0.0247281680542792,0.195557491576333,0.292491910349108,6.35569165291855e-23
Physical activities,X1070.Time spent watching television (TV),CGA,Glycoprotein hormones alpha chain,51090,0.19508209112152,0.019810426312465,0.156253655549088,0.233910526693951,7.81997678783988e-23
Physical activities,X1070.Time spent watching television (TV),HAVCR2,Hepatitis A virus cellular receptor 2,51090,0.340183659644841,0.0346039098205612,0.272359996396541,0.408007322893141,9.22149703612402e-23
Physical activities,X1070.Time spent watching television (TV),ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,48114,0.572068634549561,0.0581839970455062,0.458028000340369,0.686109268758753,9.25351947028019e-23
Physical activities,X1070.Time spent watching television (TV),CD83,CD83 antigen,51070,0.35273516403387,0.0360055979833496,0.282164191986505,0.423306136081236,1.29145246345661e-22
Physical activities,X1070.Time spent watching television (TV),INHBC,Inhibin beta C chain,51090,0.292502349099422,0.0298952332318171,0.233907691965061,0.351097006233783,1.45947736339865e-22
Physical activities,X1070.Time spent watching television (TV),LAMP3,Lysosome-associated membrane glycoprotein 3,51315,0.223249592796109,0.0228868674668347,0.178391332561113,0.268107853031105,1.95340239068154e-22
Physical activities,X1070.Time spent watching television (TV),ITGA11,Integrin alpha-11,51070,-0.344008622771778,0.0353677095714846,-0.413329333531888,-0.274687912011668,2.56932611805952e-22
Physical activities,X1070.Time spent watching television (TV),NHLRC3,NHL repeat-containing protein 3,47189,0.439259200513195,0.0452614601808853,0.35054673855866,0.52797166246773,3.24368352524205e-22
Physical activities,X1070.Time spent watching television (TV),RNASE4,Ribonuclease 4,47484,0.517605369174463,0.0538052196020195,0.412147138754505,0.623063599594422,7.3898811153652e-22
Physical activities,X1070.Time spent watching television (TV),COL6A3,Collagen alpha-3(VI) chain,51377,0.334169475790254,0.0347708977418083,0.266018516216309,0.402320435364198,7.93411464247789e-22
Physical activities,X1070.Time spent watching television (TV),CLEC4D,C-type lectin domain family 4 member D,51070,0.183333180926758,0.0193536643044595,0.145399998890018,0.221266362963499,2.98527629048463e-21
Physical activities,X1070.Time spent watching television (TV),COL18A1,Collagen alpha-1(XVIII) chain,51194,0.485782120884136,0.0514156496857422,0.385007447500081,0.586556794268191,3.77360030723971e-21
Physical activities,X1070.Time spent watching television (TV),GAST,Gastrin,48040,0.107158521569381,0.0113588175585403,0.084895239154642,0.12942180398412,4.38138465349832e-21
Physical activities,X1070.Time spent watching television (TV),ICAM1,Intercellular adhesion molecule 1,51011,0.394585131460468,0.0418612166455924,0.312537146835107,0.47663311608583,4.65917167210861e-21
