Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20602.Liking for apple juice,SCGB1A1,Uteroglobin,36626,0.185598492201657,0.0353887028016839,0.116236634710356,0.254960349692957,1.60650099306699e-07
Diet and food preferences,X20602.Liking for apple juice,LCN2,Neutrophil gelatinase-associated lipocalin,36378,0.229051960668054,0.0482329147635233,0.134515447731548,0.323588473604559,2.08219180749847e-06
Diet and food preferences,X20602.Liking for apple juice,DEFA1_DEFA1B,Neutrophil defensin 1,36441,0.155700147764745,0.0332070775588053,0.0906142757494868,0.220786019780004,2.79510504763747e-06
Diet and food preferences,X20602.Liking for apple juice,CSF1,Macrophage colony-stimulating factor 1,36661,0.333102455692231,0.0716650207181945,0.19263901508457,0.473565896299892,3.40421669366953e-06
Diet and food preferences,X20602.Liking for apple juice,SERPINA6,Corticosteroid-binding globulin,35383,-0.635833750787631,0.138112434347765,-0.906534122109252,-0.365133379466011,4.22540795037501e-06
Diet and food preferences,X20602.Liking for apple juice,CDHR5,Cadherin-related family member 5,36614,0.205752541876829,0.0459354998323359,0.115718962205451,0.295786121548207,7.59763966583628e-06
Diet and food preferences,X20602.Liking for apple juice,FGF23,Fibroblast growth factor 23,36682,0.180366317104326,0.0404388994160701,0.101106074248829,0.259626559959823,8.29844105110099e-06
Diet and food preferences,X20602.Liking for apple juice,CAPG,Macrophage-capping protein,36568,0.124085412184314,0.0300293284920101,0.0652279283399743,0.182942896028654,3.63082988589217e-05
Diet and food preferences,X20602.Liking for apple juice,SPON2,Spondin-2,36583,0.233285735974653,0.0568398306101567,0.121879667978746,0.34469180397056,4.09644758255715e-05
Diet and food preferences,X20602.Liking for apple juice,CALB1,Calbindin,36567,0.165504039661181,0.040958960134764,0.085224477797044,0.245783601525319,5.37868935085364e-05
Diet and food preferences,X20602.Liking for apple juice,GGH,Gamma-glutamyl hydrolase,36477,0.217944121632122,0.0548960322384407,0.110347898444778,0.325540344819466,7.24743886604583e-05
Diet and food preferences,X20602.Liking for apple juice,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,36605,0.0586291052393403,0.0148628375527102,0.0294979436360283,0.0877602668426523,8.05904375039329e-05
Diet and food preferences,X20602.Liking for apple juice,CTSZ,Cathepsin Z,36632,0.223535738195714,0.0568377060984405,0.112133834242771,0.334937642148657,8.46420199565661e-05
Diet and food preferences,X20602.Liking for apple juice,CTSV,Cathepsin L2,36665,-0.179873114008877,0.0464799850603563,-0.270973884727175,-0.0887723432905783,0.000109737074889211
Diet and food preferences,X20602.Liking for apple juice,PTGDS,Prostaglandin-H2 D-isomerase,36561,0.240723641569708,0.0637919260310911,0.11569146654877,0.365755816590647,0.000162094224811582
Diet and food preferences,X20602.Liking for apple juice,KIT,Mast/stem cell growth factor receptor Kit,36644,-0.233325356064368,0.0619540239809252,-0.354755243066981,-0.111895469061755,0.000166997952530129
Diet and food preferences,X20602.Liking for apple juice,CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,35228,0.286703604902187,0.0772516187619234,0.135290432128818,0.438116777675557,0.000207892888502825
