Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,KRT17,"Keratin, type I cytoskeletal 17",34588,0.0818348553161568,0.0208122655444809,0.0410428148489741,0.122626895783339,8.52806839126132e-05
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,CFHR5,Complement factor H-related protein 5,34698,0.0726305067071759,0.0207346528013648,0.031990587216501,0.113270426197851,0.000463955495662081
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,AOC3,Membrane primary amine oxidase,35640,-0.0510523215159354,0.0150759654628247,-0.0806012138230718,-0.021503429208799,0.000712554145307477
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",34784,0.0535107489547216,0.0158268462377143,0.0224901303288016,0.0845313675806417,0.000727146083735808
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,GAD2,Glutamate decarboxylase 2,34619,-0.0798993975570774,0.023971867440118,-0.126884257739709,-0.0329145373744461,0.000864753724415421
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,ITGA11,Integrin alpha-11,35589,-0.0570165086759003,0.0173375587457661,-0.0909981238176018,-0.0230348935341987,0.00101226794594857
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,SAG,S-arrestin,34613,0.0877819951221659,0.0272199118725834,0.0344309678519024,0.141133022392429,0.00126756371722138
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,BRK1,Protein BRICK1,35462,0.072983059742601,0.0226377794185067,0.0286130120823278,0.117353107402874,0.00127083483743035
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,MTIF3,"Translation initiation factor IF-3, mitochondrial",34755,0.143178473436821,0.0453270882227817,0.0543373805201693,0.232019566353474,0.00159277648203932
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,GSR,"Glutathione reductase, mitochondrial",34742,0.0343761567092125,0.0111068217243906,0.012606786129407,0.0561455272890179,0.00197760695549584
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,MMP12,Macrophage metalloelastase,35618,0.0827911586718926,0.0272820326214906,0.0293183747337711,0.136263942610014,0.00241786273492731
Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,ROBO2,Roundabout homolog 2,35678,-0.0356008539601515,0.0117566532299328,-0.0586438942908198,-0.0125578136294832,0.0024702762522326
