Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20601.Liking for aniseed,HTR1B,5-hydroxytryptamine receptor 1B,35168,-0.203132594982659,0.0507758176152991,-0.302653197508645,-0.103611992456673,6.39527227246934e-05
Diet and food preferences,X20601.Liking for aniseed,MYL6B,Myosin light chain 6B,35204,-0.0887867239989387,0.0243323608012446,-0.136478151169378,-0.0410952968284994,0.00026558649270286
Diet and food preferences,X20601.Liking for aniseed,MAPRE3,Microtubule-associated protein RP/EB family member 3,35148,-0.0553386672113304,0.0153276847342386,-0.0853809292904381,-0.0252964051322228,0.000308275105470333
Diet and food preferences,X20601.Liking for aniseed,SPRING1,SREBP regulating gene protein,35148,-0.117629143100188,0.0363267181911162,-0.188829510754775,-0.0464287754455998,0.00120994024171333
Diet and food preferences,X20601.Liking for aniseed,TDP1,Tyrosyl-DNA phosphodiesterase 1,35323,-0.0976608144583704,0.0312846099683362,-0.158978649996309,-0.0363429789204315,0.00180654866494678
Diet and food preferences,X20601.Liking for aniseed,DHODH,Dihydroorotate dehydrogenase,35142,-0.145594661850291,0.0468341025311484,-0.237389502811342,-0.0537998208892402,0.00188780794248405
Diet and food preferences,X20601.Liking for aniseed,LIPF,Gastric triacylglycerol lipase,35207,0.116415315179885,0.0378936345895653,0.0421437913843368,0.190686838975433,0.00213467504204543
Diet and food preferences,X20601.Liking for aniseed,ADGRD1,Adhesion G-protein coupled receptor D1,35224,0.181430953109375,0.0622980226736852,0.0593268286689521,0.303535077549798,0.00360088331281009
Diet and food preferences,X20601.Liking for aniseed,SH3BP1,SH3 domain-binding protein 1,35325,-0.131017580192174,0.0450266931304775,-0.21926989872791,-0.0427652616564386,0.00362991040522146
Diet and food preferences,X20601.Liking for aniseed,SBSN,Suprabasin,35355,-0.18982677336359,0.0652677907765505,-0.317751643285629,-0.0619019034415513,0.00364548905360069
Diet and food preferences,X20601.Liking for aniseed,RBP1,Retinol-binding protein 1,35204,-0.093310934200464,0.0323276631097021,-0.15667315389548,-0.0299487145054478,0.00391053125643435
Diet and food preferences,X20601.Liking for aniseed,AP2B1,AP-2 complex subunit beta,35204,-0.132834817770397,0.0462510399700588,-0.223486856111712,-0.0421827794290818,0.00409261226099971
Diet and food preferences,X20601.Liking for aniseed,ARHGAP30,Rho GTPase-activating protein 30,35247,-0.158286656182072,0.0559145661925834,-0.267879205919535,-0.0486941064446083,0.00465754395309906
Diet and food preferences,X20601.Liking for aniseed,PTGR1,Prostaglandin reductase 1,35360,0.0758479459109525,0.026893553221689,0.0231365815964421,0.128559310225463,0.00481318951264151
Diet and food preferences,X20601.Liking for aniseed,CCL20,C-C motif chemokine 20,36327,-0.0593089625471769,0.0210534354543477,-0.100573696037698,-0.0180442290566553,0.0048597631223525
Diet and food preferences,X20601.Liking for aniseed,MAMDC4,Apical endosomal glycoprotein,35323,0.117089749182765,0.0420039268955731,0.0347620524674416,0.199417445898088,0.0053265419872371
Diet and food preferences,X20601.Liking for aniseed,NUBP1,Cytosolic Fe-S cluster assembly factor NUBP1,35323,-0.0607283136024916,0.0218665169575505,-0.103586686839291,-0.0178699403656926,0.00549914895316059
Diet and food preferences,X20601.Liking for aniseed,LBP,Lipopolysaccharide-binding protein,36292,-0.0899709325060233,0.0326287811621336,-0.153923343583805,-0.0260185214282415,0.00584103921060337
Diet and food preferences,X20601.Liking for aniseed,POF1B,Protein POF1B,35166,-0.141915879745551,0.0518900289292042,-0.243620336446791,-0.0402114230443104,0.00625769314271701
Diet and food preferences,X20601.Liking for aniseed,CNTNAP4,Contactin-associated protein-like 4,35204,-0.0573288620270853,0.0209784785033839,-0.0984466798937177,-0.0162110441604529,0.00629926134590037
Diet and food preferences,X20601.Liking for aniseed,STX1B,Syntaxin-1B,35204,-0.14930776722699,0.0547302989680922,-0.256579153204451,-0.0420363812495296,0.00638926449506374
Diet and food preferences,X20601.Liking for aniseed,RGS8,Regulator of G-protein signaling 8,36110,0.0780772663957092,0.0286929037137234,0.0218391751168113,0.134315357674607,0.00652211864366256
Diet and food preferences,X20601.Liking for aniseed,LMOD2,Leiomodin-2,35168,-0.0951984535367746,0.0351161673628407,-0.164026141567942,-0.0263707655056068,0.00672811943404684
Diet and food preferences,X20601.Liking for aniseed,TFAP2A,Transcription factor AP-2-alpha,35168,-0.0998003054847499,0.0371869473562992,-0.172686722303096,-0.0269138886664035,0.00730034973239063
Diet and food preferences,X20601.Liking for aniseed,FMR1,Synaptic functional regulator FMR1,36100,-0.144966747639265,0.0540608279984288,-0.250925970516186,-0.0390075247623447,0.0073456695760196
Diet and food preferences,X20601.Liking for aniseed,NENF,Neudesin,35323,-0.0515749107588815,0.0194270264502895,-0.089651882601449,-0.013497938916314,0.00795603667223542
Diet and food preferences,X20601.Liking for aniseed,PALM3,Paralemmin-3,35142,-0.079039488610431,0.0299844997908729,-0.137809108200542,-0.02026986902032,0.00841050336514228
