Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20719.Liking for sausages (meat),CDHR2,Cadherin-related family member 2,36216,0.139922234806457,0.0279924873109714,0.0850569596769532,0.194787509935961,5.91590902975322e-07
Diet and food preferences,X20719.Liking for sausages (meat),DSG2,Desmoglein-2,36265,-0.359212912835818,0.0729173381955878,-0.50213089569917,-0.216294929972466,8.57060265168266e-07
Diet and food preferences,X20719.Liking for sausages (meat),EZR,Ezrin,36329,0.32506007231946,0.0782386999643183,0.171712220389396,0.478407924249524,3.29490207828203e-05
Diet and food preferences,X20719.Liking for sausages (meat),KIT,Mast/stem cell growth factor receptor Kit,36278,-0.265792600469747,0.0647248665816925,-0.392653338969864,-0.138931861969629,4.06225187837537e-05
Diet and food preferences,X20719.Liking for sausages (meat),CKB,Creatine kinase B-type,35366,-0.154937801270629,0.039172415677537,-0.231715735998602,-0.0781598665426566,7.73029544760486e-05
Diet and food preferences,X20719.Liking for sausages (meat),LEP,Leptin,36244,0.115055568840167,0.0293565949329313,0.0575166427716222,0.172594494908713,8.96700606650421e-05
Diet and food preferences,X20719.Liking for sausages (meat),HAVCR1,Hepatitis A virus cellular receptor 1,36308,0.12276087234477,0.0314868489972268,0.0610466483102053,0.184475096379334,9.75612763505845e-05
Diet and food preferences,X20719.Liking for sausages (meat),ACRBP,Acrosin-binding protein,35323,-0.21777222563095,0.0572698406765409,-0.330021113356971,-0.10552333790493,0.000144599504500619
Diet and food preferences,X20719.Liking for sausages (meat),OSM,Oncostatin-M,36196,0.102862577823542,0.0273964523221637,0.049165531272101,0.156559624374983,0.000175030552240982
Diet and food preferences,X20719.Liking for sausages (meat),SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,36230,0.0647083561237153,0.0173392431755499,0.0307234394996376,0.0986932727477931,0.000191538910635954
Diet and food preferences,X20719.Liking for sausages (meat),GUCA2A,Guanylin,36220,-0.216479626783607,0.0590550989214636,-0.332227620669675,-0.100731632897538,0.000248462789658196
Diet and food preferences,X20719.Liking for sausages (meat),MMP8,Neutrophil collagenase,36320,0.0948912057519654,0.0259516151385027,0.0440260400805,0.145756371423431,0.000257560723277409
Diet and food preferences,X20719.Liking for sausages (meat),CLEC4G,C-type lectin domain family 4 member G,36229,0.210077329129139,0.0581225918927765,0.0961570490192968,0.323997609238981,0.000303169707080377
Diet and food preferences,X20719.Liking for sausages (meat),IGFBP2,Insulin-like growth factor-binding protein 2,36342,-0.116701236184234,0.032392230882301,-0.180190008713545,-0.0532124636549245,0.000317005537693968
Diet and food preferences,X20719.Liking for sausages (meat),MME,Neprilysin,36216,0.0871451318359476,0.0242190538489766,0.0396757862919533,0.134614477379942,0.000322628947815237
Diet and food preferences,X20719.Liking for sausages (meat),PVALB,Parvalbumin alpha,36285,-0.0604734113281413,0.0169003591425468,-0.0935981152475331,-0.0273487074087495,0.000348238138099017
