Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20735.Liking for tea without sugar,NUDT15,Nucleotide triphosphate diphosphatase NUDT15,35142,-0.202591401833578,0.0453534006384902,-0.291484067085019,-0.113698736582137,8.08133927876068e-06
Diet and food preferences,X20735.Liking for tea without sugar,PSMD9,26S proteasome non-ATPase regulatory subunit 9,36216,-0.156595213600945,0.0351666009156495,-0.225521751395618,-0.0876686758062722,8.60097779074362e-06
Diet and food preferences,X20735.Liking for tea without sugar,KLK13,Kallikrein-13,36094,-0.20390922558987,0.0458871924892107,-0.293848122868723,-0.113970328311017,8.98055207590266e-06
Diet and food preferences,X20735.Liking for tea without sugar,DNAJA4,DnaJ homolog subfamily A member 4,35350,-0.142260989405376,0.0321760054261576,-0.205325960040645,-0.0791960187701075,9.97802243256382e-06
Diet and food preferences,X20735.Liking for tea without sugar,CAT,Catalase,35271,-0.182178554563246,0.0421881011680062,-0.264867232852539,-0.0994898762739544,1.59779868046175e-05
Diet and food preferences,X20735.Liking for tea without sugar,ASGR1,Asialoglycoprotein receptor 1,36181,-0.304466489202506,0.0709100691280554,-0.443450224693494,-0.165482753711517,1.78100108012513e-05
Diet and food preferences,X20735.Liking for tea without sugar,GLO1,Lactoylglutathione lyase,36114,-0.149751220536797,0.0348901429830561,-0.218135900783587,-0.0813665402900074,1.7942531126059e-05
Diet and food preferences,X20735.Liking for tea without sugar,STC1,Stanniocalcin-1,36329,-0.197250953083468,0.0461314671656434,-0.287668628728129,-0.106833277438807,1.92899174862629e-05
Diet and food preferences,X20735.Liking for tea without sugar,AREG,Amphiregulin,36216,-0.216481173366411,0.0515799318527397,-0.317577839797781,-0.115384506935041,2.73809107383517e-05
Diet and food preferences,X20735.Liking for tea without sugar,PRDX2,Peroxiredoxin-2,35242,-0.15307564570118,0.03665195095274,-0.22491346956855,-0.0812378218338093,3.00242018424759e-05
Diet and food preferences,X20735.Liking for tea without sugar,SDC1,Syndecan-1,36244,-0.219150966723223,0.0530783096281818,-0.323184453594459,-0.115117479851987,3.68836880192282e-05
Diet and food preferences,X20735.Liking for tea without sugar,APCS,Serum amyloid P-component,35302,-0.286139053277262,0.0701471229417409,-0.423627414243075,-0.14865069231145,4.57811289149202e-05
Diet and food preferences,X20735.Liking for tea without sugar,DDT,D-dopachrome decarboxylase,35366,-0.224961965952247,0.0552924709328955,-0.333335208980722,-0.116588722923772,4.78906922853478e-05
Diet and food preferences,X20735.Liking for tea without sugar,C9orf40,Uncharacterized protein C9orf40,35325,-0.114232932565552,0.0281029223596331,-0.169314660390433,-0.0591512047406715,4.86745692475772e-05
Diet and food preferences,X20735.Liking for tea without sugar,DNAJC9,DnaJ homolog subfamily C member 9,35325,-0.122232912973644,0.0302581176955795,-0.18153882365698,-0.0629270022903083,5.4180515794445e-05
Diet and food preferences,X20735.Liking for tea without sugar,BLVRB,Flavin reductase,36265,-0.116343707160641,0.0292281227914182,-0.17363082783182,-0.0590565864894613,6.94480044559595e-05
Diet and food preferences,X20735.Liking for tea without sugar,DNAJB2,DnaJ homolog subfamily B member 2,35224,-0.170434307084176,0.0430661590618659,-0.254843978845433,-0.0860246353229184,7.66097612163082e-05
Diet and food preferences,X20735.Liking for tea without sugar,PAMR1,Inactive serine protease PAMR1,36265,-0.299982782186062,0.0758334363527381,-0.448616317437428,-0.151349246934695,7.70217899636189e-05
Diet and food preferences,X20735.Liking for tea without sugar,PSMG3,Proteasome assembly chaperone 3,36229,-0.150064065118714,0.0379590760959927,-0.22446385426686,-0.0756642759705683,7.78332974048857e-05
Diet and food preferences,X20735.Liking for tea without sugar,NPPC,C-type natriuretic peptide,36229,-0.175879484966424,0.0445276206886641,-0.263153621516206,-0.0886053484166427,7.89498356863873e-05
Diet and food preferences,X20735.Liking for tea without sugar,TFPI,Tissue factor pathway inhibitor,36241,-0.25172835944046,0.0640960916665526,-0.377356699106903,-0.126100019774017,8.67043956856477e-05
Diet and food preferences,X20735.Liking for tea without sugar,OSM,Oncostatin-M,36196,-0.112680707613692,0.0286925725702548,-0.168918149851391,-0.0564432653759924,8.67764458170647e-05
Diet and food preferences,X20735.Liking for tea without sugar,PROC,Vitamin K-dependent protein C,36278,-0.314924341334294,0.0811775620161274,-0.474032362885903,-0.155816319782684,0.00010564254574489
Diet and food preferences,X20735.Liking for tea without sugar,F7,Coagulation factor VII,36281,-0.261370651379541,0.0675589508732028,-0.393786195091018,-0.128955107668063,0.000110363433580382
Diet and food preferences,X20735.Liking for tea without sugar,PSMG4,Proteasome assembly chaperone 4,35166,-0.155497738968146,0.0403053885816234,-0.234496300588128,-0.0764991773481647,0.000115529683148148
Diet and food preferences,X20735.Liking for tea without sugar,CCL7,C-C motif chemokine 7,36229,-0.12660566170186,0.0333949067986105,-0.192059679027137,-0.0611516443765835,0.000151196933962243
Diet and food preferences,X20735.Liking for tea without sugar,HGF,Hepatocyte growth factor,36327,-0.223534965139995,0.0590295593590986,-0.339232901483828,-0.107837028796162,0.000153835567317496
Diet and food preferences,X20735.Liking for tea without sugar,PLTP,Phospholipid transfer protein,36334,0.215932927474802,0.0570609331863786,0.1040934984295,0.327772356520104,0.000155435149823016
Diet and food preferences,X20735.Liking for tea without sugar,RSPO1,R-spondin-1,36181,-0.225727345188128,0.0599517007188679,-0.343232678597109,-0.108222011779147,0.000167814470875473
Diet and food preferences,X20735.Liking for tea without sugar,SMNDC1,Survival of motor neuron-related-splicing factor 30,35325,-0.143948426117057,0.0382918649795286,-0.219000481476934,-0.0688963707571812,0.000172015468859781
Diet and food preferences,X20735.Liking for tea without sugar,TBC1D17,TBC1 domain family member 17,36087,-0.169808235913215,0.0452815822390059,-0.258560137101667,-0.0810563347247638,0.000178249054642954
