Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",ITGAV,Integrin alpha-V,38383,0.0325320397108872,0.00842497449172677,0.0160190897071027,0.0490449897146716,0.000113521024561483
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a,38330,0.125771486528633,0.0327436856784455,0.0615938625988799,0.189949110458386,0.000123316845636807
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",ITGA11,Integrin alpha-11,38295,0.0662146260141128,0.0177086353445381,0.0315057007388182,0.100923551289407,0.000185801726188778
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CD300E,CMRF35-like molecule 2,38351,-0.0752564116487771,0.0219851693138579,-0.118347343503939,-0.0321654797936156,0.000621929909026059
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CD36,Platelet glycoprotein 4,36809,0.0704473560133764,0.0222790498500703,0.0267804183072387,0.114114293719514,0.00157280362097328
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CHRDL1,Chordin-like protein 1,38328,-0.051821915364272,0.0165501306110031,-0.084260171361838,-0.019383659366706,0.00174637733726916
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",ITGA2,Integrin alpha-2,36887,0.0532743487421457,0.0171113456014941,0.0197361113632173,0.0868125861210741,0.00185628131521657
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CSRP3,Cysteine and glycine-rich protein 3,36792,0.153015722125612,0.0496200553766887,0.0557604135873024,0.250271030663922,0.00205144345882884
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",KLRF1,Killer cell lectin-like receptor subfamily F member 1,36809,-0.0713902345931728,0.0231516836515132,-0.116767534550139,-0.026012934636207,0.0020525314934802
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",APOA4,Apolipoprotein A-IV,37085,0.0520035031960539,0.0169495990751425,0.0187822890087746,0.0852247173833331,0.00216136213586523
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",APOM,Apolipoprotein M,38351,0.0436230756071441,0.0142206303158399,0.015750640188098,0.0714955110261902,0.00216421854846708
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CTRC,Chymotrypsin-C,38304,-0.102598363214491,0.0334677552127076,-0.168195163431398,-0.0370015629975844,0.00217878118301773
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",PTGDS,Prostaglandin-H2 D-isomerase,38258,-0.0492559128329088,0.0164398460726774,-0.0814780111353565,-0.0170338145304611,0.00274169851153668
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",PTPRR,Receptor-type tyrosine-protein phosphatase R,37053,-0.0558719114811167,0.0186986290206073,-0.0925212243615071,-0.0192225986007264,0.00281657218989373
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",IDO1,"Indoleamine 2,3-dioxygenase 1",36867,-0.0940660723758009,0.0320089639857544,-0.15680364178788,-0.0313285029637222,0.00330529476163595
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",GGH,Gamma-glutamyl hydrolase,38183,-0.0502126758464272,0.0171021370698894,-0.0837328645034104,-0.016692487189444,0.00333266499395358
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",RETN,Resistin,38303,-0.0644772848942663,0.021995409538074,-0.107588287588891,-0.0213662821996413,0.00338279866244788
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CDON,Cell adhesion molecule-related/down-regulated by oncogenes,38315,0.0387931910466768,0.0133527372479302,0.0126218260407336,0.06496455605262,0.00367828545029772
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",BDNF,Brain-derived neurotrophic factor,37070,0.120332894807086,0.0415941441327239,0.0388083723069475,0.201857417307225,0.00382596998776706
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",PPBP,Platelet basic protein,37036,0.119852882494944,0.0415921478767738,0.0383322726564677,0.201373492333421,0.00396706770011876
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CD226,CD226 antigen,36809,0.0600726885853835,0.020862547948166,0.0191820946069781,0.100963282563789,0.00399478345579643
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",FUT8,"Alpha-(1,6)-fucosyltransferase",38244,0.0840019362441315,0.0293329342877786,0.0265093850400854,0.141494487448177,0.00419632298091789
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,38288,-0.163275555680633,0.0571748019255914,-0.275338167454792,-0.0512129439064742,0.00430358289974185
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",C8B,Complement component C8 beta chain,37085,-0.0424165418861189,0.0148897091430393,-0.071600371806476,-0.0132327119657617,0.00440097113552247
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",GPR101,Probable G-protein coupled receptor 101,36793,-0.0806561868485998,0.0284143674765177,-0.136348347102575,-0.0249640265946251,0.00454362853684165
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",DPT,Dermatopontin,38430,-0.0359325889637013,0.0127024485101776,-0.0608293880436494,-0.0110357898837532,0.00468246859485022
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",FOLR2,Folate receptor beta,38391,-0.0427460764734608,0.0151126680965675,-0.072366905942733,-0.0131252470041885,0.00468688808963702
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CCL5,C-C motif chemokine 5,38370,0.140697527662784,0.0500138369505378,0.0426704072397301,0.238724648085838,0.00491596838321011
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",PLTP,Phospholipid transfer protein,38402,0.0503759397857452,0.0179713181340071,0.0151521562430914,0.0855997233283991,0.00507151147959597
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",KIAA2013,Uncharacterized protein KIAA2013,37023,0.0726418302071734,0.0260131677457603,0.0216560214254832,0.123627638988864,0.00524290034948071
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",FRZB,Secreted frizzled-related protein 3,38218,-0.0349555997423831,0.0125466347665035,-0.0595470038847299,-0.0103641956000363,0.00534653840433985
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",HSD11B1,Corticosteroid 11-beta-dehydrogenase isozyme 1,38295,0.0561219273348304,0.0201926332580416,0.0165443661490689,0.0956994885205919,0.00545834526438908
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",LGALS3BP,Galectin-3-binding protein,37085,-0.0424984721741259,0.0153813188315276,-0.0726458570839201,-0.0123510872643318,0.00574067354266948
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",SOST,Sclerostin,38288,-0.0541551320590143,0.0196061960802059,-0.0925832763762179,-0.0157269877418107,0.00575384935843792
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",GNPDA2,Glucosamine-6-phosphate isomerase 2,36887,0.0499652445303084,0.0182011039097165,0.014291080867264,0.0856394081933528,0.00606187605387549
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",BMPER,BMP-binding endothelial regulator protein,36887,-0.0323504803153082,0.0117962592365977,-0.0554711484190396,-0.00922981221157667,0.00611265091917195
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",SORCS2,VPS10 domain-containing receptor SorCS2,38104,-0.0522765518745109,0.0190904740711084,-0.0896938810538833,-0.0148592226951385,0.00618694942214269
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",VSNL1,Visinin-like protein 1,37053,-0.0511057424831781,0.0187980518543119,-0.0879499241176294,-0.0142615608487268,0.00656883711015116
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",ITGB5,Integrin beta-5,38349,0.0507895931293544,0.018824465815408,0.0138936401311548,0.087685546127554,0.00698721152800917
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CD200R1,Cell surface glycoprotein CD200 receptor 1,38267,-0.0482163559463946,0.0179692237889353,-0.0834360345727078,-0.0129966773200814,0.00730374015050525
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",SUSD2,Sushi domain-containing protein 2,38325,0.0397642040095971,0.0148293308023869,0.0106987156369187,0.0688296923822755,0.00734342506087258
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",RTBDN,Retbindin,38278,-0.0413620602887452,0.0154318306779919,-0.0716084484176093,-0.011115672159881,0.00736871505667398
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",APOA1,Apolipoprotein A-I,37085,0.0345420122181058,0.0129019345590619,0.0092542204823446,0.0598298039538671,0.00743774970606171
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",TINAGL1,Tubulointerstitial nephritis antigen-like,38273,-0.0300343862561628,0.0112412526125571,-0.0520672413767746,-0.00800153113555093,0.00755801137340311
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",DCUN1D2,DCN1-like protein 2,36788,0.108758067108623,0.0408316445288735,0.028728043832031,0.188788090385215,0.00774788175878177
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",PF4,Platelet factor 4,37029,0.127339199737076,0.0481346815744911,0.032995223851073,0.221683175623078,0.00817386637042471
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",PON3,Serum paraoxonase/lactonase 3,38345,0.0400406146286295,0.0152527549022124,0.0101452150202932,0.0699360142369658,0.00867574079070687
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",CTSL,Cathepsin L1,38307,-0.0332013311480553,0.0127060709626964,-0.0581052302349402,-0.0082974320611704,0.00898911016878144
Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",FXYD5,FXYD domain-containing ion transport regulator 5,38109,0.0845266708507489,0.0324639779471751,0.0208972740742857,0.148156067627212,0.00923745649395174
