Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20612.Liking for beetroot,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,35334,-0.188900302606205,0.0452267133877874,-0.277544660846268,-0.100255944366141,2.97903328628195e-05
Diet and food preferences,X20612.Liking for beetroot,PRRT3,Proline-rich transmembrane protein 3,33181,-0.204735077935309,0.0518199735908359,-0.306302226173348,-0.103167929697271,7.84354217351091e-05
Diet and food preferences,X20612.Liking for beetroot,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,33181,-0.119787851443543,0.0304313149666752,-0.179433228778226,-0.0601424741088596,8.33376476794647e-05
Diet and food preferences,X20612.Liking for beetroot,KIRREL2,Kin of IRRE-like protein 2,35150,-0.155457262837007,0.039530132335494,-0.232936322214575,-0.0779782034594386,8.45253926548118e-05
Diet and food preferences,X20612.Liking for beetroot,MMP15,Matrix metalloproteinase-15,33460,-0.13950417634916,0.0362965215782304,-0.210645358642492,-0.0683629940558287,0.000122095667453522
Diet and food preferences,X20612.Liking for beetroot,EPHB6,Ephrin type-B receptor 6,35306,-0.196895079026146,0.0514285989089123,-0.297695132887614,-0.0960950251646776,0.000129607130064644
Diet and food preferences,X20612.Liking for beetroot,CKAP4,Cytoskeleton-associated protein 4,35473,-0.229693810361,0.061254760085741,-0.349753140129053,-0.109634480592948,0.000177827521526317
Diet and food preferences,X20612.Liking for beetroot,FSTL3,Follistatin-related protein 3,35384,-0.200159465639979,0.0539045972695969,-0.305812476288389,-0.0945064549915696,0.000205607212438057
Diet and food preferences,X20612.Liking for beetroot,CD300LG,CMRF35-like molecule 9,35393,-0.15237052616133,0.0413258187867319,-0.233369130983324,-0.0713719213393351,0.000227907114096764
Diet and food preferences,X20612.Liking for beetroot,TGFBR2,TGF-beta receptor type-2,35433,-0.18559217256371,0.0530634737107969,-0.289596581036872,-0.0815877640905478,0.000471315520909928
Diet and food preferences,X20612.Liking for beetroot,KITLG,Kit ligand,35406,-0.141591077326177,0.0411390930175278,-0.222223699640531,-0.060958455011822,0.000579981750062145
Diet and food preferences,X20612.Liking for beetroot,DDT,D-dopachrome decarboxylase,33447,-0.146200909892027,0.0425571116160309,-0.229612848659447,-0.062788971124606,0.000594179015918195
Diet and food preferences,X20612.Liking for beetroot,PTN,Pleiotrophin,35202,-0.1066156831994,0.0310892810750332,-0.167550674106465,-0.0456806922923352,0.000607207910932452
Diet and food preferences,X20612.Liking for beetroot,FAM3D,Protein FAM3D,33425,-0.0712071222675513,0.0208200047426331,-0.112014331563112,-0.0303999129719903,0.000628529733063303
Diet and food preferences,X20612.Liking for beetroot,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,35393,-0.197409929005651,0.0583645530523624,-0.311804452988281,-0.0830154050230203,0.000721049743322029
Diet and food preferences,X20612.Liking for beetroot,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,35202,-0.120388961760593,0.035663980186355,-0.190290362925849,-0.0504875605953375,0.00073889968069056
Diet and food preferences,X20612.Liking for beetroot,MMP3,Stromelysin-1,35393,-0.107525726589845,0.0324396002988396,-0.17110734317557,-0.0439441100041189,0.000920430779817799
Diet and food preferences,X20612.Liking for beetroot,RASA1,Ras GTPase-activating protein 1,35150,-0.15069770049468,0.0455145697286454,-0.239906257162825,-0.0614891438265348,0.000932626966611405
Diet and food preferences,X20612.Liking for beetroot,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,35393,-0.205885427945894,0.0622646650262792,-0.327924171397402,-0.083846684494387,0.000947185613417247
Diet and food preferences,X20612.Liking for beetroot,SEZ6L,Seizure 6-like protein,35433,-0.187897784444483,0.056831352390476,-0.299287235129816,-0.0765083337591504,0.000948469537389549
Diet and food preferences,X20612.Liking for beetroot,TFF1,Trefoil factor 1,35343,0.0706396986106582,0.0215007216867766,0.028498284104576,0.11278111311674,0.00102122456436666
Diet and food preferences,X20612.Liking for beetroot,IFNGR1,Interferon gamma receptor 1,35455,-0.247011050875285,0.0758252719154617,-0.395628583829589,-0.0983935179209796,0.0011266824114623
Diet and food preferences,X20612.Liking for beetroot,BGLAP,Osteocalcin,33447,-0.068297424112952,0.0213251597412425,-0.110094737205787,-0.0265001110201167,0.0013660577156397
Diet and food preferences,X20612.Liking for beetroot,PRDX2,Peroxiredoxin-2,33314,-0.0902614749072987,0.028207630629079,-0.145548430940294,-0.0349745188743039,0.00137931837642331
Diet and food preferences,X20612.Liking for beetroot,PTS,6-pyruvoyl tetrahydrobiopterin synthase,35108,-0.0920628003905628,0.028981714404835,-0.148866960624039,-0.0352586401570863,0.00149424454421033
Diet and food preferences,X20612.Liking for beetroot,ART3,Ecto-ADP-ribosyltransferase 3,35424,-0.146838163261559,0.0464580643978872,-0.237895969481418,-0.0557803570417003,0.00157818312434164
Diet and food preferences,X20612.Liking for beetroot,SLITRK1,SLIT and NTRK-like protein 1,33177,-0.177987350400078,0.0567888009120984,-0.289293400187791,-0.0666813006123654,0.00172860048167674
Diet and food preferences,X20612.Liking for beetroot,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,33177,-0.180670237124356,0.0576718882017317,-0.29370713799975,-0.0676333362489616,0.00173728219213048
Diet and food preferences,X20612.Liking for beetroot,CRH,Corticoliberin,35098,0.0550592366821092,0.0176468752710182,0.0204713611509135,0.0896471122133049,0.00181274809513212
Diet and food preferences,X20612.Liking for beetroot,DNPEP,Aspartyl aminopeptidase,33440,-0.0961095836311535,0.0311830910679575,-0.15722844212435,-0.0349907251379568,0.00206125948933868
Diet and food preferences,X20612.Liking for beetroot,LTBR,Tumor necrosis factor receptor superfamily member 3,35333,-0.179215999635868,0.0587001663457783,-0.294268325673594,-0.0641636735981427,0.00227028493778257
Diet and food preferences,X20612.Liking for beetroot,MFAP4,Microfibril-associated glycoprotein 4,33259,-0.176206921705612,0.0582562781608801,-0.290389226900937,-0.0620246165102868,0.00249564743402734
Diet and food preferences,X20612.Liking for beetroot,NXPH1,Neurexophilin-1,35150,-0.121381159604827,0.0401756973498919,-0.200125526410616,-0.0426367927990394,0.00252290647299801
Diet and food preferences,X20612.Liking for beetroot,NPR1,Atrial natriuretic peptide receptor 1,33170,-0.126610881961481,0.0421639423376677,-0.20925220894331,-0.0439695549796525,0.0026819848684277
Diet and food preferences,X20612.Liking for beetroot,OGN,Mimecan,35393,-0.118055116214622,0.0394117006820773,-0.195302049551493,-0.0408081828777504,0.00274637986120427
Diet and food preferences,X20612.Liking for beetroot,SCARB2,Lysosome membrane protein 2,35114,-0.172262121129591,0.0576186078033249,-0.285194592424107,-0.0593296498350737,0.00279859429111588
Diet and food preferences,X20612.Liking for beetroot,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,33259,-0.111005297613967,0.0371776192498362,-0.183873431343646,-0.0381371638842883,0.00283557987241933
