Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20684.Liking for lemons,PTGR1,Prostaglandin reductase 1,33460,0.206947335687118,0.0227735633860733,0.162311151450415,0.251583519923822,1.21813727280819e-19
Diet and food preferences,X20684.Liking for lemons,MANSC1,MANSC domain-containing protein 1,35433,-0.369587829193603,0.05511144425717,-0.477606259937656,-0.261569398449549,2.09078118808269e-11
Diet and food preferences,X20684.Liking for lemons,GFRA1,GDNF family receptor alpha-1,35475,-0.374162559322187,0.0574458661306302,-0.486756456938222,-0.261568661706152,7.65509012598267e-11
Diet and food preferences,X20684.Liking for lemons,FGFR2,Fibroblast growth factor receptor 2,35433,-0.449072829171643,0.0717228408674862,-0.589649597271916,-0.30849606107137,3.95501594344064e-10
Diet and food preferences,X20684.Liking for lemons,VWC2,Brorin,35289,-0.242465276002356,0.0397335448169373,-0.320343023843553,-0.164587528161158,1.07954367068403e-09
Diet and food preferences,X20684.Liking for lemons,DSC2,Desmocollin-2,35232,-0.28220699006528,0.0469098909857485,-0.374150376397347,-0.190263603733213,1.84355481647461e-09
Diet and food preferences,X20684.Liking for lemons,DLL1,Delta-like protein 1,35433,-0.317919044914291,0.0533240526960487,-0.422434188198547,-0.213403901630036,2.56412796649693e-09
Diet and food preferences,X20684.Liking for lemons,CLEC14A,C-type lectin domain family 14 member A,35393,-0.295523132411614,0.0500275979113548,-0.393577224317869,-0.197469040505359,3.57796220567515e-09
Diet and food preferences,X20684.Liking for lemons,PLAUR,Urokinase plasminogen activator surface receptor,35316,-0.344489313758721,0.0585881984185581,-0.459322182659095,-0.229656444858347,4.22127357247601e-09
Diet and food preferences,X20684.Liking for lemons,CSF1,Macrophage colony-stimulating factor 1,35455,-0.341930349167934,0.0594277986211599,-0.458408834465407,-0.22545186387046,8.9516891406954e-09
Diet and food preferences,X20684.Liking for lemons,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,35396,-0.270260122293869,0.0470695881480342,-0.362516515064016,-0.178003729523722,9.60894982311443e-09
Diet and food preferences,X20684.Liking for lemons,BGLAP,Osteocalcin,33447,-0.120318757715291,0.0212437514509285,-0.161956510559111,-0.078681004871471,1.52396522309173e-08
Diet and food preferences,X20684.Liking for lemons,PI3,Elafin,35242,-0.162000082903793,0.0286540717305492,-0.21816206349567,-0.105838102311917,1.60859831147544e-08
Diet and food preferences,X20684.Liking for lemons,ALCAM,CD166 antigen,35548,-0.435074053096536,0.0789981055675271,-0.58991034000889,-0.280237766184183,3.71881101584919e-08
