Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,GAST,Gastrin,32980,-0.141242681286246,0.0238123459696933,-0.187914879386845,-0.0945704831856473,3.11125240768427e-09
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,CA14,Carbonic anhydrase 14,34836,0.424810102766611,0.0718254332404681,0.284032253615293,0.565587951917928,3.42854372433395e-09
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,IL18R1,Interleukin-18 receptor 1,34882,-0.433683847772464,0.076731336027128,-0.584077266385635,-0.283290429159293,1.62550916075743e-08
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,PLTP,Phospholipid transfer protein,34852,0.378558165066308,0.0676726244988155,0.245919821048629,0.511196509083986,2.27252123719189e-08
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,MXRA8,Matrix remodeling-associated protein 8,32811,0.535862964368996,0.0977124112972863,0.344346638226315,0.727379290511677,4.26936668758852e-08
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,LEP,Leptin,34758,-0.203033794213597,0.0379515992514343,-0.277418928746408,-0.128648659680785,8.98307390471052e-08
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,RARRES2,Retinoic acid receptor responder protein 2,34813,-0.273730664686428,0.0512132031788237,-0.374108542916923,-0.173352786455934,9.22716015569161e-08
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,CCL7,C-C motif chemokine 7,34758,-0.205902351268622,0.0393331331485162,-0.282995292239714,-0.128809410297531,1.68207770421381e-07
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,HGF,Hepatocyte growth factor,34882,-0.372665151350911,0.0714643909577164,-0.512735357628035,-0.232594945073786,1.8745469226546e-07
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,IL1RN,Interleukin-1 receptor antagonist protein,34751,-0.221389110801211,0.0427145244738738,-0.305109578770004,-0.137668642832418,2.22263611705733e-07
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,PRSS8,Prostasin,34734,-0.318140771809786,0.0627110006853392,-0.44105433315305,-0.195227210466521,3.97793407470459e-07
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,DSG2,Desmoglein-2,34769,0.467373791496615,0.0941283274807441,0.282882269634357,0.651865313358874,6.96391842341735e-07
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,APOA1,Apolipoprotein A-I,33017,0.59517654019629,0.119989652480298,0.359996821334906,0.830356259057674,7.16749326743096e-07
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,APOF,Apolipoprotein F,33007,0.569974575765764,0.119960454076189,0.334852085776434,0.805097065755094,2.05137553608726e-06
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,FABP4,"Fatty acid-binding protein, adipocyte",34898,-0.240000993235706,0.0510070277290573,-0.339974767584659,-0.140027218886754,2.56630453295394e-06
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,34791,-0.268447510531755,0.0578297358229112,-0.381793792744661,-0.155101228318849,3.49015193830038e-06
Health and medical history,X21052.Degree bothered by chest pain in the last 3 months,ASGR1,Asialoglycoprotein receptor 1,34698,-0.393001256745143,0.0850105027492367,-0.559621842133647,-0.226380671356639,3.82651109880574e-06
