Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,C2,Complement C2,32742,-0.184535716589456,0.0280271543302835,-0.239468939076811,-0.1296024941021,4.83343666742394e-11
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ATP6V1D,V-type proton ATPase subunit D,32668,0.133321315152045,0.0322282016629337,0.0701540398926948,0.196488590411395,3.55471495665836e-05
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CSH1,Chorionic somatomammotropin hormone 1,31586,0.148230669407628,0.0389599104762445,0.0718692448741886,0.224592093941067,0.000143073321337681
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B",31342,0.227305948836886,0.0668876751640182,0.0962061055154099,0.358405792158361,0.000681539628375842
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein,31388,0.135005094322771,0.0409678410680765,0.0547081258293413,0.215302062816201,0.000987391004778304
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ALMS1,Alstrom syndrome protein 1,31456,0.17641670128214,0.05432517158298,0.0699393649794991,0.282894037584781,0.00116961628726208
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,PRKAG3,5'-AMP-activated protein kinase subunit gamma-3,31356,0.118910220518996,0.0371116372467706,0.0461714115153255,0.191649029522666,0.0013604218370643
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,RASGRF1,Ras-specific guanine nucleotide-releasing factor 1,31326,0.161966753772452,0.050930606052048,0.0621427659104379,0.261790741634466,0.00147802842323062
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,RAD51,DNA repair protein RAD51 homolog 1,31456,0.200744050438221,0.0635973464817501,0.0760932513339903,0.325394849542451,0.00160307583051643
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,RPL14,60S ribosomal protein L14,31388,0.156782391268788,0.0506851739617598,0.0574394503037383,0.256125332233837,0.00198696006063231
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ZHX2,Zinc fingers and homeoboxes protein 2,31548,0.12769361566665,0.0416193235396372,0.046119741528961,0.209267489804339,0.00216150431227026
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CEACAM20,Carcinoembryonic antigen-related cell adhesion molecule 20,31456,0.162450554976352,0.0535145878746067,0.0575619627421225,0.267339147210581,0.00240845857700194
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GABARAP,Gamma-aminobutyric acid receptor-associated protein,31548,0.176792943960133,0.0585655370940851,0.0620044912557264,0.29158139666454,0.00254677650369151
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ATXN3,Ataxin-3,31548,0.226793272159465,0.0757582401458124,0.0783071214736723,0.375279422845257,0.00276543383309141
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CRIM1,Cysteine-rich motor neuron 1 protein,32756,-0.0709165248035786,0.0241757395298934,-0.11830097428217,-0.0235320753249876,0.00336153704765483
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,NT5E,5'-nucleotidase,32720,-0.192181694066213,0.0661918593201652,-0.321917738333736,-0.0624456497986887,0.00370041618436489
