Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29065#2.Symptoms of panic attack_Sweating,TGFB2,Transforming growth factor beta-2 proprotein,31548,0.115696901370318,0.0343372384231918,0.0483959140608619,0.182997888679774,0.000756944597511846
Mental health,X29065#2.Symptoms of panic attack_Sweating,CDHR2,Cadherin-related family member 2,32668,-0.148701930444144,0.0465781209352722,-0.239995047477278,-0.0574088134110109,0.00141529298962053
Mental health,X29065#2.Symptoms of panic attack_Sweating,GDF15,Growth/differentiation factor 15,32834,-0.0808664789019339,0.0257988083088936,-0.131432143187365,-0.0303008146165025,0.00172699782559523
Mental health,X29065#2.Symptoms of panic attack_Sweating,PAPPA,Pappalysin-1,32596,0.0894652894880346,0.0294952987363197,0.0316545039648481,0.147276075011221,0.00242681670765734
Mental health,X29065#2.Symptoms of panic attack_Sweating,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,32668,0.072456059923924,0.0244834392674047,0.0244685189598107,0.120443600888037,0.00309068657103216
Mental health,X29065#2.Symptoms of panic attack_Sweating,BST2,Bone marrow stromal antigen 2,32806,-0.0964757370459873,0.033559838509004,-0.162253020523635,-0.0306984535683395,0.00405316741680538
Mental health,X29065#2.Symptoms of panic attack_Sweating,IL31,Interleukin-31,31355,-0.104724037100595,0.0373699198759625,-0.177969080057481,-0.0314789941437082,0.00508601661282956
Mental health,X29065#2.Symptoms of panic attack_Sweating,PAEP,Glycodelin,32647,0.255278193810374,0.0913787580473489,0.0761758280375704,0.434380559583178,0.0052233341828376
Mental health,X29065#2.Symptoms of panic attack_Sweating,SFRP4,Secreted frizzled-related protein 4,31417,0.0736063126171809,0.026898213678573,0.0208858138071778,0.126326811427184,0.00622462646938553
Mental health,X29065#2.Symptoms of panic attack_Sweating,CGA,Glycoprotein hormones alpha chain,32718,-0.149052199263713,0.0546055058951711,-0.256078990818248,-0.0420254077091776,0.0063532916644789
Mental health,X29065#2.Symptoms of panic attack_Sweating,PSMD1,26S proteasome non-ATPase regulatory subunit 1,31555,-0.0866490568594801,0.0319032921441962,-0.149179509462105,-0.0241186042568556,0.00662252955934664
Mental health,X29065#2.Symptoms of panic attack_Sweating,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial",31388,-0.077857535494373,0.0292414713120204,-0.135170819265933,-0.0205442517228131,0.00777107671618276
Mental health,X29065#2.Symptoms of panic attack_Sweating,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,32647,0.0997096438228167,0.0381878631427517,0.0248614320630235,0.17455785558261,0.0090423408272919
Mental health,X29065#2.Symptoms of panic attack_Sweating,PPP3R1,Calcineurin subunit B type 1,32647,-0.0689368038313393,0.0264291618806985,-0.120737961117508,-0.0171356465451703,0.00911308507852776
Mental health,X29065#2.Symptoms of panic attack_Sweating,CHL1,Neural cell adhesion molecule L1-like protein,32738,-0.0508639289966599,0.0195120548777502,-0.0891075565570504,-0.0126203014362694,0.00915468120679455
Mental health,X29065#2.Symptoms of panic attack_Sweating,ANPEP,Aminopeptidase N,32738,-0.0456803142133266,0.0176722300556797,-0.0803178851224589,-0.0110427433041944,0.00975753909064719
Mental health,X29065#2.Symptoms of panic attack_Sweating,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",31571,-0.126536510954519,0.0490068734533759,-0.222589982923135,-0.0304830389859019,0.00984078880151871
Mental health,X29065#2.Symptoms of panic attack_Sweating,FGF23,Fibroblast growth factor 23,32774,0.0983779039825951,0.0381693101404373,0.023566056107338,0.173189751857852,0.00997034129383739
Mental health,X29065#2.Symptoms of panic attack_Sweating,NRP1,Neuropilin-1,32765,-0.0446583329176639,0.0174057592434269,-0.0787736210347807,-0.0105430448005472,0.0103123590602308
Mental health,X29065#2.Symptoms of panic attack_Sweating,CCDC28A,Coiled-coil domain-containing protein 28A,31356,-0.0488096730308883,0.019045021076837,-0.0861379143414887,-0.0114814317202878,0.0104008170082569
Mental health,X29065#2.Symptoms of panic attack_Sweating,TNFSF13,Tumor necrosis factor ligand superfamily member 13,32756,0.0427079414680343,0.0166880986312297,0.00999926815082414,0.0754166147852445,0.0105081640162429
Mental health,X29065#2.Symptoms of panic attack_Sweating,LEFTY2,Left-right determination factor 2,32786,0.0878536756607164,0.0344370777282314,0.0203570033133829,0.15535034800805,0.0107537694111033
Mental health,X29065#2.Symptoms of panic attack_Sweating,WARS,"Tryptophan--tRNA ligase, cytoplasmic",32718,-0.0603503847243441,0.0236927546150806,-0.106788183769902,-0.013912585678786,0.0108756124972145
Mental health,X29065#2.Symptoms of panic attack_Sweating,MME,Neprilysin,32668,-0.126395160194167,0.0496423598805674,-0.22369418556008,-0.0290961348282553,0.010909807674784
Mental health,X29065#2.Symptoms of panic attack_Sweating,LMOD2,Leiomodin-2,31342,-0.105290649687024,0.0416441783304607,-0.186913239214727,-0.0236680601593214,0.0114807198576099
Mental health,X29065#2.Symptoms of panic attack_Sweating,ICAM3,Intercellular adhesion molecule 3,32834,-0.0409245431416087,0.0162015871202143,-0.0726796538972287,-0.00916943238598864,0.0115553599157418
Mental health,X29065#2.Symptoms of panic attack_Sweating,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,31456,-0.116492621956287,0.0463071947395855,-0.207254723645875,-0.0257305202667,0.0119018227263325
Mental health,X29065#2.Symptoms of panic attack_Sweating,PRG2,Bone marrow proteoglycan,31571,0.0817306279973326,0.0329178604809311,0.0172116214547076,0.146249634539958,0.0130541264881287
Mental health,X29065#2.Symptoms of panic attack_Sweating,NPTX2,Neuronal pentraxin-2,31571,-0.053899298927657,0.0217913877485769,-0.0966104189148677,-0.0111881789404463,0.0134039829317604
Mental health,X29065#2.Symptoms of panic attack_Sweating,SNCG,Gamma-synuclein,32647,-0.0999252824241427,0.0408352283101238,-0.179962329911985,-0.0198882349363,0.0144230841310585
Mental health,X29065#2.Symptoms of panic attack_Sweating,TYRO3,Tyrosine-protein kinase receptor TYRO3,32729,-0.0433240589750565,0.017717892892839,-0.0780511290450209,-0.00859698890509204,0.014495892535363
Mental health,X29065#2.Symptoms of panic attack_Sweating,PSME1,Proteasome activator complex subunit 1,32635,-0.0576231436029513,0.0238029925891199,-0.104277009077626,-0.0109692781282762,0.0155050165594533
