Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29171.Frequency of feeling 'in tune' with people,MAMDC4,Apical endosomal glycoprotein,32843,0.194692794791752,0.0434758959784395,0.10948003867401,0.279905550909493,7.62124598416662e-06
Mental health,X29171.Frequency of feeling 'in tune' with people,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,32631,-0.173447821121583,0.0397037153737991,-0.251267103254229,-0.0956285389889366,1.2651024100998e-05
Mental health,X29171.Frequency of feeling 'in tune' with people,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,34813,-0.321483009030413,0.0772010540758583,-0.472797075019095,-0.17016894304173,3.14797483058634e-05
Mental health,X29171.Frequency of feeling 'in tune' with people,OSCAR,Osteoclast-associated immunoglobulin-like receptor,34704,-0.246550936997814,0.060503385300388,-0.365137572186574,-0.127964301809053,4.63434339325096e-05
Mental health,X29171.Frequency of feeling 'in tune' with people,ICAM1,Intercellular adhesion molecule 1,34644,-0.28190040976043,0.0705648906292497,-0.420207595393759,-0.1435932241271,6.51488341404387e-05
Mental health,X29171.Frequency of feeling 'in tune' with people,LGALS4,Galectin-4,34681,-0.142692702689886,0.0382916717739222,-0.217744379366773,-0.0676410260129984,0.000195170131729093
Mental health,X29171.Frequency of feeling 'in tune' with people,CHGA,Chromogranin-A,32878,-0.115340411074561,0.0314361147945811,-0.17695519607194,-0.053725626077182,0.0002448650363881
Mental health,X29171.Frequency of feeling 'in tune' with people,CNDP1,Beta-Ala-His dipeptidase,34731,0.15362667327458,0.0429696417948304,0.0694061753567124,0.237847171192448,0.000351428045520801
Mental health,X29171.Frequency of feeling 'in tune' with people,CSF1,Macrophage colony-stimulating factor 1,34739,-0.275653819900749,0.0776603753154767,-0.427868155519083,-0.123439484282415,0.000387623736864651
Mental health,X29171.Frequency of feeling 'in tune' with people,ALCAM,CD166 antigen,34835,-0.370144214415753,0.104469571847359,-0.574904575236577,-0.165383853594929,0.000397123152707133
Mental health,X29171.Frequency of feeling 'in tune' with people,SEL1L,Protein sel-1 homolog 1,32631,-0.247456551936795,0.0709529063957957,-0.386524248472554,-0.108388855401035,0.000489734766845882
Mental health,X29171.Frequency of feeling 'in tune' with people,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",34728,-0.197959205419016,0.057704389700694,-0.311059809232376,-0.0848586016056558,0.000604544506582826
Mental health,X29171.Frequency of feeling 'in tune' with people,SPON1,Spondin-1,34704,-0.220721491974375,0.0644041190442816,-0.346953565301166,-0.0944894186475825,0.000612254849612395
Mental health,X29171.Frequency of feeling 'in tune' with people,CDCP1,CUB domain-containing protein 1,34626,-0.143659420866668,0.0420563435687922,-0.2260898542615,-0.0612289874718349,0.000638111537323278
Mental health,X29171.Frequency of feeling 'in tune' with people,VAMP5,Vesicle-associated membrane protein 5,34525,0.134063777700058,0.039373855801659,0.0568910203288059,0.211236535071309,0.000664338297710229
Mental health,X29171.Frequency of feeling 'in tune' with people,HAVCR2,Hepatitis A virus cellular receptor 2,34687,-0.204102225550058,0.0609122708106012,-0.323490276338836,-0.0847141747612797,0.000808665710453398
Mental health,X29171.Frequency of feeling 'in tune' with people,GGT1,Glutathione hydrolase 1 proenzyme,34666,0.144389492331468,0.0433254455398917,0.0594716190732805,0.229307365589656,0.00086305218001784
Mental health,X29171.Frequency of feeling 'in tune' with people,DSC2,Desmocollin-2,34544,-0.20941364095294,0.0629347641882384,-0.332765778761887,-0.0860615031439925,0.000879338953181928
Mental health,X29171.Frequency of feeling 'in tune' with people,MSLN,Mesothelin,34619,-0.129481622386217,0.0390510380578712,-0.206021656979644,-0.0529415877927891,0.000917156729732998
Mental health,X29171.Frequency of feeling 'in tune' with people,ADM,Pro-adrenomedullin,34790,-0.246311531294953,0.0754274222455357,-0.394149278896203,-0.0984737836937031,0.00109590627423783
Mental health,X29171.Frequency of feeling 'in tune' with people,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,34626,-0.230606064478469,0.0709470859903173,-0.369662353019491,-0.0915497759374471,0.0011559888794052
Mental health,X29171.Frequency of feeling 'in tune' with people,CFHR2,Complement factor H-related protein 2,32830,-0.133831032796595,0.0415680053437365,-0.215304323270319,-0.0523577423228715,0.00128840972693634
Mental health,X29171.Frequency of feeling 'in tune' with people,SPINK6,Serine protease inhibitor Kazal-type 6,34790,-0.11445513538654,0.035620873059389,-0.184272046582942,-0.0446382241901376,0.00131669450737205
Mental health,X29171.Frequency of feeling 'in tune' with people,EGFR,Epidermal growth factor receptor,34835,0.390084348028426,0.12160294601001,0.151742573848806,0.628426122208046,0.00134113893632217
Mental health,X29171.Frequency of feeling 'in tune' with people,IL18BP,Interleukin-18-binding protein,34731,-0.216355190266233,0.0675544596066716,-0.34876193109531,-0.083948449437157,0.00136548388428682
Mental health,X29171.Frequency of feeling 'in tune' with people,HMOX2,Heme oxygenase 2,34460,0.140036649874756,0.0439428807381194,0.0539086036280416,0.22616469612147,0.00144279532639395
Mental health,X29171.Frequency of feeling 'in tune' with people,CTSL,Cathepsin L1,34705,-0.268894390053516,0.0850469871102921,-0.435586484789689,-0.102202295317344,0.00157274659106922
Mental health,X29171.Frequency of feeling 'in tune' with people,NBL1,Neuroblastoma suppressor of tumorigenicity 1,34728,-0.251189257790339,0.080267059503943,-0.408512694418067,-0.0938658211626107,0.00175615965065553
Mental health,X29171.Frequency of feeling 'in tune' with people,BLNK,B-cell linker protein,32641,0.195936490962788,0.0626294341553108,0.0731828000183787,0.318690181907197,0.00176273138676095
Mental health,X29171.Frequency of feeling 'in tune' with people,GDF15,Growth/differentiation factor 15,34835,-0.160726365082527,0.0515835032243417,-0.261830031402237,-0.0596226987628176,0.00183889775902957
Mental health,X29171.Frequency of feeling 'in tune' with people,FOLR1,Folate receptor alpha,34674,-0.234004830319342,0.0754062654666007,-0.381801110633879,-0.0862085500048046,0.00191898652023445
Mental health,X29171.Frequency of feeling 'in tune' with people,GPC5,Glypican-5,34626,0.110289248828662,0.0355662361003004,0.0405794260720738,0.179999071585251,0.0019339687831685
Mental health,X29171.Frequency of feeling 'in tune' with people,FABP1,"Fatty acid-binding protein, liver",34681,-0.0662605906934588,0.0213795282283611,-0.108164466021047,-0.024356715365871,0.00194506241474624
Mental health,X29171.Frequency of feeling 'in tune' with people,REG3A,Regenerating islet-derived protein 3-alpha,34835,-0.0998521834168655,0.0324550196647936,-0.163464021959861,-0.03624034487387,0.00209868382466595
Mental health,X29171.Frequency of feeling 'in tune' with people,MERTK,Tyrosine-protein kinase Mer,34830,-0.237018355444019,0.0771760746340941,-0.388283461726844,-0.0857532491611949,0.00213766618805901
Mental health,X29171.Frequency of feeling 'in tune' with people,PRL,Prolactin,34807,-0.0806774251510007,0.0263057795571042,-0.132236753082925,-0.0291180972190765,0.00216812627452151
Mental health,X29171.Frequency of feeling 'in tune' with people,REG4,Regenerating islet-derived protein 4,34704,-0.131533987885363,0.0429628371706926,-0.21574114873992,-0.047326827030805,0.00220714043339262
Mental health,X29171.Frequency of feeling 'in tune' with people,LEG1,Protein LEG1 homolog,32395,0.110471568500468,0.036418676206194,0.0390909631363283,0.181852173864609,0.00242560540792808
Mental health,X29171.Frequency of feeling 'in tune' with people,GAST,Gastrin,32872,-0.062881187713775,0.020826868879928,-0.103701850718434,-0.0220605247091162,0.00254124189947219
Mental health,X29171.Frequency of feeling 'in tune' with people,CRH,Corticoliberin,34403,0.0696827247551613,0.0231409052848067,0.0243265503969401,0.115038899113382,0.00260803094567354
Mental health,X29171.Frequency of feeling 'in tune' with people,NCR1,Natural cytotoxicity triggering receptor 1,34677,-0.170690944196007,0.0569764649379131,-0.282364815474316,-0.0590170729176971,0.00274332830028572
Mental health,X29171.Frequency of feeling 'in tune' with people,GUSB,Beta-glucuronidase,34725,-0.101747994620453,0.0342844994283805,-0.168945613500078,-0.0345503757408269,0.00300637351648001
Mental health,X29171.Frequency of feeling 'in tune' with people,PON1,Serum paraoxonase/arylesterase 1,32900,0.269806614439835,0.0912944521381494,0.0908694882490622,0.448743740630608,0.00313125531314735
Mental health,X29171.Frequency of feeling 'in tune' with people,FLT1,Vascular endothelial growth factor receptor 1,34622,-0.249129394471059,0.0843333676881577,-0.414422795139848,-0.0838359938022696,0.00314258754117791
Mental health,X29171.Frequency of feeling 'in tune' with people,IFNAR1,Interferon alpha/beta receptor 1,32846,0.270558794033044,0.0916639679171307,0.0908974169154681,0.450220171150621,0.00316910877959906
Mental health,X29171.Frequency of feeling 'in tune' with people,SMOC1,SPARC-related modular calcium-binding protein 1,34790,-0.17919418368576,0.060910194601913,-0.29857816510551,-0.059810202266011,0.00326847038741464
Mental health,X29171.Frequency of feeling 'in tune' with people,FGF16,Fibroblast growth factor 16,32641,0.153293702974425,0.0521671427766857,0.0510461031321212,0.255541302816729,0.00330651615984582
Mental health,X29171.Frequency of feeling 'in tune' with people,WFDC2,WAP four-disulfide core domain protein 2,34102,-0.18822736089912,0.0642930593595554,-0.314241757243848,-0.062212964554391,0.00342289677733058
Mental health,X29171.Frequency of feeling 'in tune' with people,SERPINA7,Thyroxine-binding globulin,32897,-0.357717078718233,0.123507009862657,-0.599790818049041,-0.115643339387426,0.0037846073937412
Mental health,X29171.Frequency of feeling 'in tune' with people,CD200R1,Cell surface glycoprotein CD200 receptor 1,34655,-0.165372723219984,0.0572711455639343,-0.277624168525295,-0.0531212779146726,0.00389038399271025
Mental health,X29171.Frequency of feeling 'in tune' with people,TGFBR3,Transforming growth factor beta receptor type 3,34835,-0.183578781362721,0.0636119748549768,-0.308258252078475,-0.0588993106469662,0.00391037852389151
Mental health,X29171.Frequency of feeling 'in tune' with people,COLEC12,Collectin-12,34681,-0.238486148256861,0.0834822310891301,-0.402111321191556,-0.0748609753221658,0.00428846238721885
Mental health,X29171.Frequency of feeling 'in tune' with people,IL15RA,Interleukin-15 receptor subunit alpha,34492,-0.167850162343338,0.058929521538011,-0.28335202455784,-0.0523483001288363,0.00440349877290312
