Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
PCDH17,Protocadherin-17,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,Inverse variance weighted,47,0.99 [0.96-1.01],0.318527955508014
PCDH17,Protocadherin-17,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,Inverse variance weighted,47,1.00 [0.98-1.03],0.832152084261188
PCDH17,Protocadherin-17,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,47,1.01 [0.99-1.04],0.300615499156757
PCDH17,Protocadherin-17,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,47,0.94 [0.72-1.24],0.677422155395803
PCDH17,Protocadherin-17,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,47,1.02 [0.97-1.07],0.465855570305537
PCDH17,Protocadherin-17,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Inverse variance weighted,47,1.04 [0.72-1.48],0.840910137452046
PCDH17,Protocadherin-17,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",Inverse variance weighted,47,0.90 [0.78-1.04],0.143611585186517
PCDH17,Protocadherin-17,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",Inverse variance weighted,47,0.89 [0.78-1.02],0.0952269600631671
PCDH17,Protocadherin-17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,Inverse variance weighted,47,1.26 [0.97-1.64],0.0866703157102658
PCDH17,Protocadherin-17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,47,1.01 [0.96-1.05],0.71604071614105
PCDH17,Protocadherin-17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,47,0.99 [0.94-1.05],0.743556292530731
PCDH17,Protocadherin-17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,Inverse variance weighted,47,0.97 [0.83-1.13],0.69751158456611
PCDH17,Protocadherin-17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,Inverse variance weighted,47,0.96 [0.90-1.03],0.288169830933356
PCDH17,Protocadherin-17,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",Inverse variance weighted,47,0.97 [0.88-1.08],0.611320845880612
