Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",Inverse variance weighted,8,0.93 [0.74-1.17],0.549035101246921
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,Inverse variance weighted,8,0.99 [0.85-1.16],0.916660148376494
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,Inverse variance weighted,8,1.00 [0.92-1.09],0.997895252095531
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,8,0.97 [0.90-1.04],0.333341472763618
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,8,0.81 [0.39-1.68],0.570865762538995
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,8,0.95 [0.81-1.11],0.505312488247635
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Inverse variance weighted,8,1.18 [0.31-4.47],0.809443489755107
CHGA,Chromogranin-A,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,8,0.99 [0.89-1.11],0.870038939966439
CHGA,Chromogranin-A,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,Inverse variance weighted,8,1.00 [0.76-1.33],0.990384990733477
CHGA,Chromogranin-A,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,Inverse variance weighted,8,0.89 [0.75-1.05],0.154105039014538
CHGA,Chromogranin-A,Chapter II Neoplasms,Benign neoplasm: Stomach,Inverse variance weighted,8,0.83 [0.64-1.08],0.172514611736384
CHGA,Chromogranin-A,Chapter X Diseases of the respiratory system,Early onset COPD,Inverse variance weighted,8,0.94 [0.78-1.14],0.53405258998582
CHGA,Chromogranin-A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,8,0.98 [0.85-1.12],0.747484504973057
CHGA,Chromogranin-A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,8,0.99 [0.88-1.10],0.80382781311505
CHGA,Chromogranin-A,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",Inverse variance weighted,8,0.96 [0.79-1.17],0.675363855383835
CHGA,Chromogranin-A,Chapter XI Diseases of the digestive system,"Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced",Inverse variance weighted,8,0.98 [0.31-3.04],0.966631421331268
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,Inverse variance weighted,8,0.97 [0.88-1.06],0.487908784342907
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,8,1.09 [0.88-1.35],0.448896996089797
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,8,1.11 [1.02-1.20],0.0150583526884245
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",Inverse variance weighted,8,1.00 [0.90-1.12],0.988718686088634
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,8,1.06 [0.98-1.14],0.180034725779791
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,8,1.04 [0.97-1.12],0.261889224939273
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,Inverse variance weighted,8,0.97 [0.89-1.05],0.472235036969839
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",Inverse variance weighted,8,0.92 [0.82-1.04],0.173890501373481
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,Inverse variance weighted,8,1.02 [0.96-1.08],0.548645660815914
CHGA,Chromogranin-A,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,Inverse variance weighted,8,0.99 [0.79-1.24],0.930339343780517
