Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,K11_PERITON,SEMA3F,Semaphorin-3F,Inverse variance weighted,15,1.67 [1.23-2.27],0.00103769984946065,cis
Chapter XI Diseases of the digestive system,K11_PERITON,EPHB4,Ephrin type-B receptor 4,Wald ratio,1,1.44 [1.04-2],0.0294618115239938,cis
Chapter XI Diseases of the digestive system,K11_PERITON,GDF15,Growth/differentiation factor 15,Inverse variance weighted,12,1.38 [1.02-1.85],0.034726431264624,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,15,0.88 [0.77-1],0.0482282288366301,cis
Chapter XI Diseases of the digestive system,K11_PERITON,ITGA11,Integrin alpha-11,Inverse variance weighted,8,1.19 [1-1.41],0.0487657847117369,cis
Chapter XI Diseases of the digestive system,K11_PERITON,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,2,1.24 [0.99-1.55],0.0641198954785696,cis
Chapter XI Diseases of the digestive system,K11_PERITON,ADM,Pro-adrenomedullin,Inverse variance weighted,2,0.64 [0.4-1.04],0.069321739437685,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Wald ratio,1,0.3 [0.08-1.14],0.0781086746809791,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,22,1.12 [0.99-1.28],0.0818567317204527,cis
Chapter XI Diseases of the digestive system,K11_PERITON,RNASE1,Ribonuclease pancreatic,Inverse variance weighted,4,1.22 [0.97-1.52],0.0840753137793632,cis
Chapter XI Diseases of the digestive system,K11_PERITON,RNASE6,Ribonuclease K6,Inverse variance weighted,15,1.09 [0.98-1.21],0.122240485525057,cis
Chapter XI Diseases of the digestive system,K11_PERITON,SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,23,1.08 [0.98-1.2],0.129852440302624,cis
Chapter XI Diseases of the digestive system,K11_PERITON,ACVRL1,Serine/threonine-protein kinase receptor R3,Inverse variance weighted,10,1.1 [0.97-1.24],0.130010444804345,cis
Chapter XI Diseases of the digestive system,K11_PERITON,HAVCR1,Hepatitis A virus cellular receptor 1,Inverse variance weighted,27,0.93 [0.84-1.02],0.132410533408451,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",Inverse variance weighted,2,0.53 [0.23-1.22],0.132610041054925,cis
Chapter XI Diseases of the digestive system,K11_PERITON,EFNA1,Ephrin-A1,Inverse variance weighted,11,1.11 [0.97-1.29],0.139922150954473,cis
Chapter XI Diseases of the digestive system,K11_PERITON,NECTIN4,Nectin-4,Inverse variance weighted,7,0.89 [0.77-1.04],0.145879823071587,cis
Chapter XI Diseases of the digestive system,K11_PERITON,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,16,1.11 [0.96-1.27],0.145971304614213,cis
Chapter XI Diseases of the digestive system,K11_PERITON,LGALS4,Galectin-4,Inverse variance weighted,4,1.25 [0.91-1.71],0.172391198474993,cis
Chapter XI Diseases of the digestive system,K11_PERITON,OCLN,Occludin,Inverse variance weighted,2,1.3 [0.88-1.93],0.181664181770815,cis
Chapter XI Diseases of the digestive system,K11_PERITON,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,5,0.87 [0.71-1.07],0.182408581055853,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,25,0.93 [0.84-1.03],0.190567989806687,cis
Chapter XI Diseases of the digestive system,K11_PERITON,BTN2A1,Butyrophilin subfamily 2 member A1,Wald ratio,1,0.7 [0.4-1.21],0.198026209181336,cis
Chapter XI Diseases of the digestive system,K11_PERITON,FSTL3,Follistatin-related protein 3,Inverse variance weighted,4,0.74 [0.47-1.17],0.203067637421556,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,25,0.94 [0.85-1.04],0.21245707573216,cis
Chapter XI Diseases of the digestive system,K11_PERITON,LAYN,Layilin,Inverse variance weighted,20,0.91 [0.79-1.06],0.222312073196023,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,5,0.87 [0.69-1.09],0.223150113633761,cis
Chapter XI Diseases of the digestive system,K11_PERITON,RSPO3,R-spondin-3,Inverse variance weighted,6,1.19 [0.9-1.59],0.226252429679593,cis
Chapter XI Diseases of the digestive system,K11_PERITON,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,Inverse variance weighted,30,0.95 [0.88-1.03],0.226543467027895,cis
Chapter XI Diseases of the digestive system,K11_PERITON,IGSF8,Immunoglobulin superfamily member 8,Inverse variance weighted,2,0.81 [0.57-1.14],0.227543230531044,cis
Chapter XI Diseases of the digestive system,K11_PERITON,SPON2,Spondin-2,Inverse variance weighted,4,1.14 [0.92-1.42],0.236625826366659,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CHGA,Chromogranin-A,Inverse variance weighted,3,1.17 [0.9-1.51],0.236828445822021,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,22,0.93 [0.82-1.05],0.247040834161309,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,3,0.63 [0.28-1.4],0.255838263939181,cis
Chapter XI Diseases of the digestive system,K11_PERITON,KRT18,"Keratin, type I cytoskeletal 18",Wald ratio,1,1.87 [0.63-5.55],0.259143684759623,cis
Chapter XI Diseases of the digestive system,K11_PERITON,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,10,0.88 [0.7-1.1],0.266656267203985,cis
Chapter XI Diseases of the digestive system,K11_PERITON,COL18A1,Collagen alpha-1(XVIII) chain,Inverse variance weighted,12,0.9 [0.74-1.09],0.26832676122548,cis
Chapter XI Diseases of the digestive system,K11_PERITON,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,25,0.96 [0.89-1.03],0.272561801921537,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CD27,CD27 antigen,Inverse variance weighted,9,1.08 [0.94-1.26],0.282698709575956,cis
Chapter XI Diseases of the digestive system,K11_PERITON,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,2,1.62 [0.65-4.02],0.296453545204491,cis
Chapter XI Diseases of the digestive system,K11_PERITON,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,14,1.08 [0.93-1.26],0.30210167259809,cis
Chapter XI Diseases of the digestive system,K11_PERITON,SIGLEC10,Sialic acid-binding Ig-like lectin 10,Inverse variance weighted,14,0.95 [0.86-1.05],0.304749344722912,cis
Chapter XI Diseases of the digestive system,K11_PERITON,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,2,1.49 [0.69-3.22],0.31099544746164,cis
Chapter XI Diseases of the digestive system,K11_PERITON,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,2,1.19 [0.85-1.68],0.313910494173945,cis
Chapter XI Diseases of the digestive system,K11_PERITON,LGALS9,Galectin-9,Inverse variance weighted,26,0.95 [0.85-1.05],0.317751356023149,cis
Chapter XI Diseases of the digestive system,K11_PERITON,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,2,0.86 [0.64-1.16],0.319872987645198,cis
Chapter XI Diseases of the digestive system,K11_PERITON,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,1.17 [0.85-1.62],0.334445051423772,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CD300E,CMRF35-like molecule 2,Inverse variance weighted,21,1.07 [0.94-1.21],0.338346114495179,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TFF1,Trefoil factor 1,Inverse variance weighted,8,1.09 [0.91-1.31],0.352413534245629,cis
Chapter XI Diseases of the digestive system,K11_PERITON,AGRN,Agrin,Inverse variance weighted,17,0.93 [0.79-1.09],0.361705921421463,cis
Chapter XI Diseases of the digestive system,K11_PERITON,FGF23,Fibroblast growth factor 23,Inverse variance weighted,2,1.46 [0.64-3.34],0.36375252965948,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CD302,CD302 antigen,Inverse variance weighted,9,0.92 [0.78-1.1],0.366616842012554,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,7,0.87 [0.64-1.18],0.373382296358767,cis
Chapter XI Diseases of the digestive system,K11_PERITON,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,6,0.97 [0.91-1.04],0.388113203566325,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CKAP4,Cytoskeleton-associated protein 4,Inverse variance weighted,10,1.08 [0.9-1.31],0.405160556742047,cis
Chapter XI Diseases of the digestive system,K11_PERITON,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,7,1.11 [0.86-1.43],0.409754750358254,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,Inverse variance weighted,8,0.92 [0.74-1.13],0.416593673503374,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,4,1.18 [0.78-1.79],0.423577587918911,cis
Chapter XI Diseases of the digestive system,K11_PERITON,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,8,1.08 [0.9-1.29],0.424954582843973,cis
Chapter XI Diseases of the digestive system,K11_PERITON,PTK7,Inactive tyrosine-protein kinase 7,Wald ratio,1,0.69 [0.27-1.77],0.437606992579241,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CXCL13,C-X-C motif chemokine 13,Wald ratio,1,0.71 [0.28-1.78],0.461139862098623,cis
Chapter XI Diseases of the digestive system,K11_PERITON,HGF,Hepatocyte growth factor,Inverse variance weighted,2,1.23 [0.7-2.17],0.462821009886684,cis
Chapter XI Diseases of the digestive system,K11_PERITON,IGFBP4,Insulin-like growth factor-binding protein 4,Wald ratio,1,1.55 [0.47-5.13],0.475725024507893,cis
Chapter XI Diseases of the digestive system,K11_PERITON,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,3,0.89 [0.63-1.24],0.48695758701947,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TFF3,Trefoil factor 3,Inverse variance weighted,5,1.1 [0.83-1.46],0.509929705330448,cis
Chapter XI Diseases of the digestive system,K11_PERITON,RNASET2,Ribonuclease T2,Inverse variance weighted,14,0.96 [0.86-1.08],0.514125902981997,cis
Chapter XI Diseases of the digestive system,K11_PERITON,RNASE4,Ribonuclease 4,Inverse variance weighted,11,1.06 [0.88-1.29],0.518340251632205,cis
Chapter XI Diseases of the digestive system,K11_PERITON,AMBP,Protein AMBP,Inverse variance weighted,3,1.13 [0.78-1.64],0.527523540310073,cis
Chapter XI Diseases of the digestive system,K11_PERITON,DLL1,Delta-like protein 1,Inverse variance weighted,7,0.92 [0.71-1.2],0.543742352078159,cis
Chapter XI Diseases of the digestive system,K11_PERITON,LTBR,Tumor necrosis factor receptor superfamily member 3,Inverse variance weighted,6,0.95 [0.81-1.12],0.549649335452576,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,1.14 [0.73-1.78],0.573666524414528,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CD74,HLA class II histocompatibility antigen gamma chain,Wald ratio,1,1.38 [0.43-4.46],0.587963886497285,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,5,0.93 [0.71-1.22],0.603506577870526,cis
Chapter XI Diseases of the digestive system,K11_PERITON,PLA2G15,Phospholipase A2 group XV,Inverse variance weighted,12,0.97 [0.85-1.1],0.611647594637108,cis
Chapter XI Diseases of the digestive system,K11_PERITON,MZB1,Marginal zone B- and B1-cell-specific protein,Wald ratio,1,0.7 [0.18-2.79],0.618140266407953,cis
Chapter XI Diseases of the digestive system,K11_PERITON,MMP7,Matrilysin,Inverse variance weighted,13,1.04 [0.89-1.21],0.632287057524516,cis
Chapter XI Diseases of the digestive system,K11_PERITON,INHBB,Inhibin beta B chain,Inverse variance weighted,10,0.96 [0.81-1.14],0.64153833520441,cis
Chapter XI Diseases of the digestive system,K11_PERITON,AREG,Amphiregulin,Inverse variance weighted,3,1.08 [0.78-1.5],0.645591243587126,cis
Chapter XI Diseases of the digestive system,K11_PERITON,EFNA4,Ephrin-A4,Inverse variance weighted,3,1.16 [0.61-2.2],0.657142426363265,cis
Chapter XI Diseases of the digestive system,K11_PERITON,SIRPB1,Signal-regulatory protein beta-1,Inverse variance weighted,27,0.98 [0.88-1.08],0.669811305895608,cis
Chapter XI Diseases of the digestive system,K11_PERITON,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,5,1.04 [0.85-1.28],0.677911680418039,cis
Chapter XI Diseases of the digestive system,K11_PERITON,CD79B,B-cell antigen receptor complex-associated protein beta chain,Inverse variance weighted,2,1.06 [0.79-1.44],0.687036074987786,cis
Chapter XI Diseases of the digestive system,K11_PERITON,RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,14,1.03 [0.89-1.18],0.715950775321611,cis
Chapter XI Diseases of the digestive system,K11_PERITON,IGFBPL1,Insulin-like growth factor-binding protein-like 1,Inverse variance weighted,20,1.02 [0.93-1.1],0.717001056880006,cis
Chapter XI Diseases of the digestive system,K11_PERITON,LMNB2,Lamin-B2,Wald ratio,1,0.8 [0.23-2.77],0.72112737248406,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Wald ratio,1,1.15 [0.52-2.53],0.72362824582756,cis
Chapter XI Diseases of the digestive system,K11_PERITON,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,6,1.04 [0.84-1.28],0.730635181763609,cis
Chapter XI Diseases of the digestive system,K11_PERITON,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,Inverse variance weighted,19,1.03 [0.85-1.26],0.731655183361,cis
Chapter XI Diseases of the digestive system,K11_PERITON,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,2,0.92 [0.58-1.48],0.737477372390482,cis
Chapter XI Diseases of the digestive system,K11_PERITON,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Wald ratio,1,0.93 [0.6-1.44],0.750194072536706,cis
Chapter XI Diseases of the digestive system,K11_PERITON,IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,10,1.02 [0.89-1.18],0.750353188171787,cis
Chapter XI Diseases of the digestive system,K11_PERITON,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Inverse variance weighted,11,1.05 [0.76-1.45],0.757447445218669,cis
