Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,1.23 [1.16-1.3],2.3079006926771e-13,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.14 [1.1-1.18],2.43928149040978e-11,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.12 [1.08-1.16],1.95317059642023e-10,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_ALCOLIV,Inverse variance weighted,4,1.15 [1.1-1.2],7.24595410488927e-09,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.2 [1.12-1.29],1.7885107956863e-07,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,NAFLD,Inverse variance weighted,6,1.09 [1.04-1.14],0.000215048537680764,trans
KRT8,"Keratin, type II cytoskeletal 8","Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,1.05 [1.02-1.07],0.00110744077580901,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter II Neoplasms,C3_BILIARY_GALLBLADDER_EXALLC,Inverse variance weighted,3,1.1 [0.99-1.23],0.0736201358886383,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_COELIAC,Inverse variance weighted,52,1.01 [1-1.03],0.0770936133143966,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Wald ratio,1,1.25 [0.96-1.64],0.0950659002464713,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter V Mental and behavioural disorders,ALCOHOLMENTAL,Wald ratio,1,1.12 [0.98-1.28],0.100194708639577,trans
KRT8,"Keratin, type II cytoskeletal 8","Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_BCKGRND_RETINA,Inverse variance weighted,3,1.03 [0.99-1.07],0.154436072415487,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter X Diseases of the respiratory system,J10_INTERSTITIUM,Inverse variance weighted,4,1.02 [0.99-1.04],0.164948410401204,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Wald ratio,1,0.8 [0.58-1.1],0.175187824784073,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter V Mental and behavioural disorders,AUD,Inverse variance weighted,6,1.03 [0.98-1.08],0.225112362679842,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_OTHDIG,Inverse variance weighted,12,1.03 [0.96-1.1],0.431923976539867,trans
KRT8,"Keratin, type II cytoskeletal 8","Chapter IV Endocrine, nutritional and metabolic diseases",E4_MINERAL_MET,Wald ratio,1,0.98 [0.93-1.04],0.457506943914048,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIANAS,Inverse variance weighted,4,1.06 [0.91-1.22],0.467101191992088,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,Wald ratio,1,0.89 [0.64-1.25],0.506365805216851,trans
KRT8,"Keratin, type II cytoskeletal 8","Chapter IV Endocrine, nutritional and metabolic diseases",E4_GLUCOPANCREAS,Wald ratio,1,1.02 [0.94-1.12],0.583223515713302,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_BLOOD_IMMUN,Wald ratio,1,1.09 [0.78-1.52],0.597480123717689,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_GASTRODUOULC,Inverse variance weighted,4,0.98 [0.9-1.06],0.598527634810623,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,Inverse variance weighted,7,1.02 [0.95-1.09],0.627741571287143,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_OTHERANAEMIA,Wald ratio,1,1.06 [0.84-1.33],0.628979630833121,trans
KRT8,"Keratin, type II cytoskeletal 8","Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Wald ratio,1,0.96 [0.82-1.13],0.638739284075041,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter X Diseases of the respiratory system,J10_RESPIRATORY,Inverse variance weighted,15,0.98 [0.89-1.08],0.668991466515051,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_OESSTODUO,Wald ratio,1,1.1 [0.7-1.71],0.686750212628028,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter VI Diseases of the nervous system,G6_POLYOTHUNS,Inverse variance weighted,2,1.03 [0.9-1.18],0.693265600342736,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter IX Diseases of the circulatory system,I9_K_CARDIAC,Inverse variance weighted,2,1.03 [0.9-1.18],0.699426324999603,trans
KRT8,"Keratin, type II cytoskeletal 8","Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM1NOCOMP,Inverse variance weighted,3,1.01 [0.97-1.05],0.785809581616506,trans
KRT8,"Keratin, type II cytoskeletal 8","Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2PERIPH,Wald ratio,1,1.01 [0.95-1.07],0.805242645642634,trans
KRT8,"Keratin, type II cytoskeletal 8",Chapter XI Diseases of the digestive system,K11_INTESTOTH,Inverse variance weighted,10,1.02 [0.89-1.16],0.810618623255537,trans
