Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XII Diseases of the skin and subcutaneous tissue,L12_OTHERSKINSUBCUTIS,Inverse variance weighted,9,0.92 [0.87-0.98],0.00629467689805779,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_IHD,Inverse variance weighted,9,0.93 [0.88-0.99],0.0143945683715903,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_STR,Inverse variance weighted,9,1.08 [1.01-1.14],0.0153911145733669,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter X Diseases of the respiratory system,J10_PLEURA,Inverse variance weighted,9,1.09 [1.02-1.18],0.0159825417434312,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_ANGINA,Inverse variance weighted,9,0.92 [0.86-0.99],0.0226722136466219,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_CORATHER,Inverse variance weighted,9,0.94 [0.89-0.99],0.0263417482845416,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERCHOL,Inverse variance weighted,9,0.94 [0.88-0.99],0.0308536610584874,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_CHD,Inverse variance weighted,9,0.95 [0.9-1],0.0472468681297052,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_HYPOTE,Inverse variance weighted,9,1.13 [0.99-1.29],0.0656911324167908,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XI Diseases of the digestive system,K11_ALCOLIV,Inverse variance weighted,9,1.17 [0.99-1.38],0.0730433817844934,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_LIPOPROT,Inverse variance weighted,9,0.95 [0.89-1.01],0.0756175696966939,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_SOFTTISSUE,Inverse variance weighted,9,1.04 [1-1.08],0.0834068474427862,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",DM_NEPHROPATHY_EXMORE,Inverse variance weighted,9,1.17 [0.96-1.42],0.119070922226599,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_MACULOPATHY_EXMORE,Inverse variance weighted,9,1.13 [0.97-1.33],0.119999385138615,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM1NOCOMP,Inverse variance weighted,6,0.87 [0.72-1.04],0.127736909808988,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_METABOLIA,Inverse variance weighted,9,0.97 [0.93-1.01],0.129262066842016,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,9,0.91 [0.81-1.03],0.146493358524432,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,9,0.93 [0.84-1.03],0.155576617131681,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",H7_CHOROIDRETINA,Inverse variance weighted,9,1.04 [0.98-1.09],0.182221100768249,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_BCKGRND_RETINA,Inverse variance weighted,6,0.81 [0.59-1.11],0.184891121370361,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,9,1.16 [0.93-1.45],0.194913192597548,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_PURPURA_AND3_OTHER_HAEMORRHAGIC,Inverse variance weighted,9,0.91 [0.79-1.05],0.211435054123649,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,9,0.82 [0.59-1.15],0.249773454340366,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,9,1.02 [0.98-1.07],0.265445116702628,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NEU,Inverse variance weighted,9,0.89 [0.73-1.09],0.266691265208876,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_SEPSIS,Inverse variance weighted,9,1.06 [0.95-1.17],0.296819916076085,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERPARA,Inverse variance weighted,9,0.92 [0.79-1.08],0.311207084247145,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_SOFTTISSUENAS,Inverse variance weighted,9,0.89 [0.71-1.12],0.314127970904363,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIV Diseases of the genitourinary system,N14_ACUTERENFAIL,Inverse variance weighted,9,1.08 [0.92-1.27],0.33715055664705,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,9,1.05 [0.95-1.15],0.340590459163679,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_STR_SAH,Inverse variance weighted,6,1.05 [0.95-1.17],0.343379609959307,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_PAD,Inverse variance weighted,6,0.94 [0.82-1.07],0.347491846929632,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_CARDMYO,Inverse variance weighted,9,1.06 [0.94-1.19],0.357312651196761,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIV Diseases of the genitourinary system,N14_GLOMEINOTH,Inverse variance weighted,9,1.09 [0.91-1.29],0.35733249564628,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_AF,Inverse variance weighted,9,0.97 [0.91-1.03],0.357554649077431,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XII Diseases of the skin and subcutaneous tissue,L12_ULCERLOWLIMB,Inverse variance weighted,9,0.93 [0.81-1.08],0.358395561436119,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_CONDUCTIO,Inverse variance weighted,9,1.04 [0.95-1.14],0.359379091724018,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_EXPLICIT,Inverse variance weighted,6,0.95 [0.86-1.06],0.362934762943875,cis
PDGFRA,Platelet-derived growth factor receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_VOLUME,Inverse variance weighted,9,0.92 [0.76-1.11],0.373592745971294,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_BACT_IMPL,Inverse variance weighted,6,0.96 [0.88-1.05],0.386272233454593,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIV Diseases of the genitourinary system,N14_FEMGENPROL,Inverse variance weighted,9,0.97 [0.9-1.04],0.390072748678833,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_OTHOTH,Inverse variance weighted,9,1.13 [0.85-1.48],0.399188337982391,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter IX Diseases of the circulatory system,I9_HYPTENS,Inverse variance weighted,9,1.02 [0.98-1.06],0.408857216165102,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter XIV Diseases of the genitourinary system,N14_RENFAILNAS,Inverse variance weighted,9,1.07 [0.9-1.28],0.418059434460318,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,Inverse variance weighted,9,0.95 [0.83-1.08],0.418501186340352,cis
PDGFRA,Platelet-derived growth factor receptor alpha,Chapter II Neoplasms,C3_BREAST_EXALLC,Inverse variance weighted,9,0.96 [0.88-1.05],0.422919678024096,cis
