Pro_code,ImportanceScore
ACAN,0.049030303030303
ACAA1,0.0518181818181818
ACVRL1,0.0431111111111111
ACP5,0.0467373737373737
ACTA2,0.0573636363636363
ACOX1,0.0573737373737373
ACP6,0.0433939393939393
ABHD14B,0.0363939393939393
AARSD1,0.0279494949494949
ABO,0.0376464646464646
ACY1,0.0477575757575757
ACTN4,0.0392828282828282
ABL1,0.0292828282828282
ACE2,0.032030303030303
ACE,0.0377575757575757
ACHE,0.0245454545454545
A1BG,0.0278787878787878
ACADSB,0.0348888888888888
ACRV1,0.0312828282828282
ACTN2,0.0268484848484848
ACRBP,0.0257474747474747
ACP1,0.0178787878787878
ABCA2,0.0291717171717171
ACSL1,0.0264545454545454
ACY3,0.0235555555555555
ACADM,0.0273030303030302
ACYP1,0.0273333333333333
ABRAXAS2,0.0147474747474747
ACOT13,0.0156767676767676
AAMDC,0.0097575757575757
