Pro_code,ImportanceScore
COL9A1,0.117010101010101
CRTAC1,0.0772525252525252
EDA2R,0.0316060606060606
GDF15,0.0344545454545454
ELN,0.0536565656565656
NCAN,0.0747979797979798
MATN3,0.0416464646464646
NTproBNP,0.0373333333333333
MMP3,0.0393030303030303
KLK4,0.0307878787878787
BRK1,0.0337979797979798
TIMD4,0.0298181818181818
CHGA,0.0282020202020202
AMBP,0.028040404040404
IGFBP2,0.0336565656565656
IGFBP4,0.0185656565656565
ACAN,0.0172525252525252
HSPB6,0.0178080808080808
PGA4,0.018080808080808
THBS4,0.0158686868686868
CCN3,0.0115353535353535
DCN,0.0152525252525252
MYOM3,0.0167171717171717
LTBP2,0.0133636363636363
MMP13,0.0119393939393939
PRELP,0.0129090909090909
PLAUR,0.0131919191919191
VSIG2,0.0135959595959596
TNFRSF12A,0.0134646464646464
NCS1,0.014040404040404
ANGPT2,0.0113434343434343
RBFOX3,0.0099494949494949
CKAP4,0.0099898989898989
COL6A3,0.0094747474747474
TNC,0.010090909090909
CD276,0.0078686868686868
SCRG1,0.0063131313131313
SPP1,0.0072525252525252
RSPO3,0.0068787878787878
COMP,0.0058888888888888
