Pro_code,ImportanceScore
IGFBP4,0.016050505050505
EDA2R,0.039030303030303
GDF15,0.029969696969697
HAVCR1,0.0443737373737374
FSTL3,0.0066767676767676
CST3,0.002080808080808
TFF3,0.0138282828282828
REN,0.0291919191919192
SCARB2,0.017040404040404
COL6A3,0.005090909090909
RNASE1,0.0078585858585858
PLA2G7,0.029010101010101
NTproBNP,0.0235555555555555
SHISA5,0.0053232323232323
HSPB6,0.0108080808080808
MMP7,0.0183838383838384
AMBP,0.0076767676767676
RNASE6,0.0059191919191919
COLEC12,0.0015252525252525
TNFRSF10B,0.003010101010101
TAFA5,0.007
APOM,0.0175656565656565
HRC,0.012979797979798
YAP1,0.0065959595959596
FABP3,0.0081818181818181
ATRAID,0.0023030303030303
LMOD1,0.0082424242424242
SPINK4,0.0092121212121212
VSIG2,0.0053939393939394
SCG2,0.0058989898989899
NELL1,0.0087777777777777
WFDC2,0.003060606060606
TNFRSF19,0.001090909090909
XG,0.0123434343434343
IGFBP6,0.008060606060606
FAM3C,0.0025454545454545
LAYN,0.0015252525252525
UMOD,0.005040404040404
VSIG4,0.0037474747474747
SPINK1,0.0042828282828282
NPPB,0.0097272727272727
APOC1,0.0079191919191919
GUCA2A,0.0045151515151515
WNT9A,0.0084141414141414
NPDC1,0.0024242424242424
PLAU,0.0091515151515151
EFNA4,0.0013232323232323
APOA4,0.0035151515151515
IL13RA1,0.0079292929292929
CD38,0.0059090909090909
SLURP1,0.0017575757575757
TPK1,0.0058888888888888
CD302,0.0025151515151515
NPC2,0.0034747474747474
LGALS9,0.0051919191919192
SCRG1,0.0029393939393939
CDNF,0.0044242424242424
CLMP,0.0013636363636363
GAST,0.0047272727272727
DIPK2B,0.0049898989898989
NECTIN4,0.0012929292929292
SPOCK1,0.0046868686868686
PLA2G15,0.0037777777777777
ACTA2,0.0029191919191919
EFHD1,0.0027171717171717
CHGA,0.0017373737373737
ADM,0.0023434343434343
CFD,0.0013434343434343
TFF2,0.0039696969696969
LAMP3,0.0038181818181818
INSL4,0.0012727272727272
REG3A,0.0033232323232323
NBL1,0.0004242424242424
CD1C,0.0035151515151515
FLT3LG,0.0036464646464646
VWA1,0.0031212121212121
ART3,0.0034646464646464
GPC1,0.0034545454545454
PRELP,0.0027171717171717
B2M,0.0014040404040404
PALM,0.0014545454545454
SLAMF7,0.003010101010101
CILP,0.0031212121212121
IL2RA,0.0027373737373737
CLEC11A,0.0029191919191919
PON1,0.0028585858585858
LGMN,0.0026666666666666
CTSV,0.0028080808080808
S100A4,0.0026868686868686
ITGA5,0.002090909090909
