Pro_code,ImportanceScore
ACP6,0.0488888888888889
ACTA2,0.0436464646464646
ACAN,0.0446969696969697
ACVRL1,0.0348080808080808
ACP5,0.0437171717171717
ABCA2,0.0444545454545454
A1BG,0.0445555555555555
ACAA1,0.0333737373737373
ACTN4,0.0332424242424242
ABHD14B,0.0382020202020202
ACE2,0.0301414141414141
ACRV1,0.0351010101010101
AAMDC,0.036030303030303
ACHE,0.0372626262626262
ACY1,0.0307777777777777
ACADSB,0.0368989898989899
ACTN2,0.0418888888888889
ABO,0.029090909090909
ACE,0.0409696969696969
ACADM,0.0198787878787878
ACYP1,0.0293030303030303
ACY3,0.034070707070707
AARSD1,0.0304545454545454
ACOT13,0.0212828282828282
ACOX1,0.0267575757575757
ACRBP,0.0257171717171717
ABL1,0.0245656565656565
ACP1,0.0179696969696969
ACSL1,0.0206464646464646
ABRAXAS2,0.0216060606060606
