Pro_code,ImportanceScore
PROS1,0.0304646464646464
F10,0.0276161616161616
BGLAP,0.0328686868686868
F7,0.0256767676767676
GOLM2,0.0097171717171717
LGALS9,0.0125555555555555
TNFRSF12A,0.0076969696969696
LTBP3,0.0127272727272727
NOS1,0.0216969696969697
VEGFA,0.0189393939393939
TIMD4,0.0189797979797979
GIPC2,0.0195252525252525
ACTA2,0.0123838383838383
EPO,0.0146060606060606
AGRN,0.0148585858585858
IL6,0.0125252525252525
DLL1,0.0054646464646464
COL6A3,0.0054343434343434
ULBP2,0.0124040404040404
PDCD1,0.0081313131313131
TFRC,0.0062323232323232
SPON2,0.0086161616161616
PTN,0.010070707070707
TNC,0.0077777777777777
SPARCL1,0.0074848484848484
CD14,0.0079595959595959
VSIG4,0.0039595959595959
CCL20,0.0084242424242424
ADAM12,0.0107272727272727
OCLN,0.0095454545454545
DTX3,0.0112929292929292
CD83,0.0058181818181818
SHISA5,0.0077777777777777
LRP11,0.0064646464646464
CD276,0.0087575757575757
YAP1,0.0066363636363636
CKAP4,0.0104040404040404
IGFBP7,0.008050505050505
NME3,0.0064343434343434
PTGDS,0.0093232323232323
IGFBP2,0.0054646464646464
LAYN,0.0078585858585858
CKB,0.0057777777777777
ADM,0.0045555555555555
WFDC2,0.0061717171717171
VCAM1,0.012080808080808
TNFRSF14,0.0056262626262626
PILRB,0.0067575757575757
ELN,0.0115555555555555
OSCAR,0.0064949494949494
EPHA2,0.0071111111111111
RNASE4,0.0076161616161616
SPON1,0.0088686868686868
HSPG2,0.0054747474747474
SORCS2,0.0079696969696969
TNFRSF10B,0.0066262626262626
BTN3A2,0.0059393939393939
FLRT2,0.0064949494949494
LTBP2,0.0058282828282828
LCN2,0.0053737373737373
ACVRL1,0.0096767676767676
CLEC14A,0.0078787878787878
CLEC5A,0.0084949494949494
NOS3,0.005050505050505
HYOU1,0.0046464646464646
IFNGR1,0.0058585858585858
BAMBI,0.006010101010101
CXCL13,0.0063232323232323
NEFL,0.0043030303030303
PILRA,0.0069393939393939
CD46,0.0072424242424242
KLK11,0.0056363636363636
RSPO1,0.0057575757575757
IL2RA,0.0079595959595959
EPHB4,0.0044343434343434
CD93,0.0075454545454545
RNF149,0.0024545454545454
NECTIN2,0.0041010101010101
VCAN,0.0058686868686868
JAM2,0.0049696969696969
CCL14,0.0041919191919191
EDA2R,0.0056868686868686
RNASE1,0.0034040404040404
NBL1,0.0072929292929292
PGF,0.0038484848484848
NRP2,0.0062828282828282
CD302,0.007010101010101
CRIM1,0.0054747474747474
TNFRSF4,0.0039393939393939
FGF23,0.0044343434343434
MANSC1,0.005010101010101
PALM,0.0045050505050505
RELT,0.0081515151515151
HLA-E,0.0042222222222222
CD79B,0.0056868686868686
LILRB4,0.0052727272727272
FBLN2,0.0061010101010101
SIRPB1,0.005010101010101
DSC2,0.0034848484848484
CD300A,0.0024646464646464
RSPO3,0.0065252525252525
PIK3IP1,0.0034343434343434
NT5C1A,0.003050505050505
PLAUR,0.0033535353535353
LMOD1,0.0045353535353535
CD55,0.0037979797979797
CD80,0.0046363636363636
CD300C,0.0051717171717171
SCARB2,0.0043030303030303
CHRDL1,0.0038484848484848
SMOC1,0.0029696969696969
NECTIN4,0.0033232323232323
LAIR1,0.0031414141414141
CHCHD10,0.0045858585858585
CLMP,0.0042727272727272
CCN3,0.0028989898989899
CSF1,0.003070707070707
CD59,0.0028383838383838
FSTL1,0.0031515151515151
TGFBR2,0.0037777777777777
TNFRSF9,0.0025050505050505
IGFBP4,0.0034444444444444
LTBR,0.0023131313131313
LMNB2,0.003090909090909
TIMP1,0.0048686868686868
RNASE6,0.0035252525252525
IL18BP,0.0043737373737373
EFEMP1,0.0032828282828282
HSPB6,0.0032828282828282
NPDC1,0.0021717171717171
NPC2,0.0032121212121212
FSTL3,0.0031919191919191
CST3,0.0024242424242424
TNFRSF1A,0.0024747474747474
CD300E,0.0022626262626262
EFNA1,0.002010101010101
THY1,0.0024949494949494
CD300LG,0.002020202020202
TNFRSF19,0.0022020202020202
CD27,0.0022020202020202
ESAM,0.0024848484848484
B4GALT1,0.0019393939393939
EFNA4,0.0022828282828282
GM2A,0.0019393939393939
HAVCR2,0.0026262626262626
BTN2A1,0.003050505050505
TNFRSF1B,0.0018686868686868
COLEC12,0.0014646464646464
