Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",ACE2,Angiotensin-converting enzyme 2,26427,1385,1.38 [1.27-1.50],3.501288520952457e-14
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,23364,1220,1.45 [1.22-1.72],2.25929666076166e-05
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",AGR2,Anterior gradient protein 2 homolog,26048,1354,1.13 [1.08-1.19],1.7928011488473273e-07
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",AGR3,Anterior gradient protein 3,26242,1375,1.17 [1.08-1.26],7.175560976749803e-05
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",AGXT,Serine--pyruvate aminotransferase,26925,1416,1.12 [1.06-1.19],7.099369757642936e-05
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",AHNAK,Neuroblast differentiation-associated protein AHNAK,22894,1187,1.42 [1.20-1.67],2.8978834179371326e-05
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",26847,1414,1.16 [1.09-1.24],1.5621285552963472e-06
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",AMBP,Protein AMBP,27117,1416,2.28 [1.81-2.87],1.9414178795838266e-12
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",ANPEP,Aminopeptidase N,26967,1420,1.41 [1.20-1.65],1.998378994023992e-05
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",ANXA10,Annexin A10,26276,1370,1.16 [1.10-1.22],9.485099168194329e-08
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",AREG,Amphiregulin,26809,1405,1.24 [1.13-1.36],2.8925999012926224e-06
Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",ASGR1,Asialoglycoprotein receptor 1,26741,1408,1.65 [1.41-1.92],1.6294327182268992e-10
