Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),BSG,Basigin,27473,101,6.36 [2.96-13.66],2.146142768498119e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),CD27,CD27 antigen,27325,100,2.18 [1.50-3.18],4.79188606980593e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),CD302,CD302 antigen,27115,98,2.90 [1.73-4.85],5.0242220983655993e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),CHI3L1,Chitinase-3-like protein 1,26619,100,1.56 [1.30-1.89],2.472396988122344e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),EDA2R,Tumor necrosis factor receptor superfamily member 27,27461,102,2.59 [1.73-3.87],3.812856868919732e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),EPHA2,Ephrin type-A receptor 2,26277,96,2.13 [1.54-2.94],4.2980053274279335e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),GDF15,Growth/differentiation factor 15,27566,101,2.39 [1.78-3.19],4.4829526643012804e-09
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),GFAP,Glial fibrillary acidic protein,26551,97,3.03 [2.36-3.90],6.11026326051003e-18
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),GFRA1,GDNF family receptor alpha-1,27413,102,3.48 [2.00-6.03],9.515343605607937e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),GPR37,Prosaposin receptor GPR37,26729,97,2.11 [1.62-2.75],2.4895666866468465e-08
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),HLA-E,"HLA class I histocompatibility antigen, alpha chain E",27189,101,3.21 [1.97-5.22],2.8238746446006418e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),HPGDS,Hematopoietic prostaglandin D synthase,26591,97,0.34 [0.21-0.55],1.3726933388344263e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),IL18BP,Interleukin-18-binding protein,27328,102,2.77 [1.76-4.36],9.71246837545109e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),IL4R,Interleukin-4 receptor subunit alpha,27189,101,2.46 [1.75-3.46],2.562150955583486e-07
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),LGALS4,Galectin-4,27236,99,1.79 [1.34-2.40],8.854087568941289e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),LRRN1,Leucine-rich repeat neuronal protein 1,26692,99,0.36 [0.23-0.56],1.066056810789591e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),NECTIN2,Nectin-2,27194,100,4.12 [2.48-6.85],4.839312480861764e-08
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),NECTIN4,Nectin-4,27325,100,2.61 [1.66-4.08],2.868410136488104e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),NEFL,Neurofilament light polypeptide,26477,97,2.38 [1.73-3.28],1.0469931781634885e-07
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),PALM,Paralemmin-1,23505,89,3.31 [1.91-5.72],1.829255077692655e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),PLAUR,Urokinase plasminogen activator surface receptor,27065,96,3.32 [1.82-6.07],9.278895528165236e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),PVR,Poliovirus receptor,27468,99,2.78 [1.91-4.06],1.0228956526296432e-07
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),SORCS2,VPS10 domain-containing receptor SorCS2,26591,97,2.32 [1.54-3.48],5.085746910523548e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),SPON2,Spondin-2,27108,100,2.72 [1.71-4.30],2.0581985371756807e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),TFPI2,Tissue factor pathway inhibitor 2,27236,100,1.64 [1.30-2.06],2.850439456701392e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),TGFBR2,TGF-beta receptor type-2,27325,100,2.54 [1.66-3.90],1.9999242266438664e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,27053,100,2.07 [1.50-2.85],9.586372260439558e-06
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,27053,100,1.47 [1.21-1.77],6.619607283584121e-05
Chapter VI Diseases of the nervous system,Vascular dementia (undefined),WFDC2,WAP four-disulfide core domain protein 2,25829,95,2.18 [1.49-3.19],5.512923670006276e-05
