Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ACP5,Tartrate-resistant acid phosphatase type 5,27579,131,1.93 [1.39-2.67],8.020848023252069e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ACVRL1,Serine/threonine-protein kinase receptor R3,27231,123,4.77 [2.74-8.29],3.29447098911872e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,23275,105,1.94 [1.50-2.52],5.657137490295346e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,27648,129,2.40 [1.43-4.03],0.0009589107748566
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,23826,107,3.54 [2.35-5.32],1.3064373199139883e-09
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ADGRF5,Adhesion G protein-coupled receptor F5,23955,109,2.96 [1.66-5.29],0.0002495079853499
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ADM,Pro-adrenomedullin,27689,129,7.03 [3.86-12.79],1.7349160021072706e-10
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,AGR2,Anterior gradient protein 2 homolog,26552,117,1.36 [1.17-1.57],4.342534989762477e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,AGRN,Agrin,27591,129,3.35 [2.38-4.71],3.557011583235432e-12
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,AGXT,Serine--pyruvate aminotransferase,27456,130,1.35 [1.13-1.62],0.0007722366003038
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,AHNAK2,Protein AHNAK2,23333,102,2.48 [1.52-4.03],0.0002604826131384
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,AIF1L,Allograft inflammatory factor 1-like,23333,102,1.53 [1.24-1.88],6.537256823189732e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,AMBP,Protein AMBP,27651,128,11.81 [6.62-21.09],6.959737864369392e-17
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ANG,Angiogenin,27361,129,2.66 [1.88-3.75],2.9223225683717016e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ANGPT2,Angiopoietin-2,27689,129,2.00 [1.37-2.92],0.0003317718734412
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ANGPTL4,Angiopoietin-related protein 4,27543,129,1.88 [1.34-2.66],0.0002908971824784
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ANXA2,Annexin A2,22973,101,1.46 [1.21-1.75],5.957435080540564e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ART3,Ecto-ADP-ribosyltransferase 3,27545,129,2.11 [1.37-3.25],0.0007423024783305
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ASGR1,Asialoglycoprotein receptor 1,27273,123,3.86 [2.49-6.00],1.7421165310174491e-09
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ASGR2,Asialoglycoprotein receptor 2,23963,109,5.82 [3.44-9.85],5.446164586534892e-11
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ATOX1,Copper transport protein ATOX1,27553,128,1.54 [1.22-1.95],0.0002644117121455
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,ATRAID,All-trans retinoic acid-induced differentiation factor,23826,107,1.88 [1.56-2.28],7.358632640441868e-11
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,B2M,Beta-2-microglobulin,23998,110,0.31 [0.16-0.61],0.0007249237302495
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,B4GALT1,"Beta-1,4-galactosyltransferase 1",27591,129,3.00 [1.83-4.92],1.4086741794070068e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,26812,125,1.61 [1.32-1.97],3.574805293232912e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BAMBI,BMP and activin membrane-bound inhibitor homolog,26812,125,2.30 [1.52-3.47],7.924943050555354e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",23955,109,2.30 [1.54-3.44],5.08584657095975e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BMPER,BMP-binding endothelial regulator protein,23440,106,2.40 [1.46-3.92],0.0005040394447829
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BSG,Basigin,27697,128,9.83 [5.23-18.45],1.1524109978581926e-12
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BST2,Bone marrow stromal antigen 2,27695,129,1.57 [1.28-1.93],1.8980407948273945e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BTN2A1,Butyrophilin subfamily 2 member A1,27591,129,4.69 [2.99-7.35],1.4791747741311308e-11
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,BTN3A2,Butyrophilin subfamily 3 member A2,27412,129,2.13 [1.62-2.80],5.8315447999693335e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CA12,Carbonic anhydrase 12,27335,123,2.13 [1.44-3.15],0.000154749981164
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CA4,Carbonic anhydrase 4,27789,132,2.93 [1.59-5.43],0.0006048762702099
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CA5A,"Carbonic anhydrase 5A, mitochondrial",26955,127,1.40 [1.21-1.62],4.673086582083901e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CA9,Carbonic anhydrase 9,27689,129,1.83 [1.37-2.43],3.77159385754962e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CALCA,Calcitonin,27221,123,1.60 [1.33-1.93],6.879499027044301e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CALCB,Calcitonin gene-related peptide 2,23899,108,1.69 [1.29-2.22],0.0001421627970056
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CANT1,Soluble calcium-activated nucleotidase 1,27381,129,4.59 [2.18-9.65],5.861150239129032e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCDC80,Coiled-coil domain-containing protein 80,27456,130,1.98 [1.36-2.88],0.0003436600818271
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,23333,102,1.65 [1.28-2.14],0.0001384687689153
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCL14,C-C motif chemokine 14,27361,129,2.07 [1.61-2.67],1.5679062322070674e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCL15,C-C motif chemokine 15,27789,132,2.53 [1.92-3.35],6.732424039194759e-11
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCL16,C-C motif chemokine 16,27789,132,1.83 [1.34-2.49],0.0001292830090043
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCL18,C-C motif chemokine 18,27053,127,1.34 [1.13-1.59],0.0008667685002101
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCL2,C-C motif chemokine 2,27231,123,1.59 [1.21-2.09],0.0009126133984928
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CCN3,CCN family member 3,27750,132,2.69 [1.89-3.82],4.153426459847767e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD14,Monocyte differentiation antigen CD14,26856,127,1.93 [1.44-2.60],1.0831216027400846e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD160,CD160 antigen,27743,128,2.01 [1.49-2.72],5.790023558973825e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD1C,T-cell surface glycoprotein CD1c,27553,128,0.34 [0.20-0.57],5.92676988109121e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD27,CD27 antigen,27553,128,2.94 [2.17-3.98],3.788153313277679e-12
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD274,Programmed cell death 1 ligand 1,27273,123,2.40 [1.70-3.39],5.739483405848175e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD300A,CMRF35-like molecule 8,23440,106,4.53 [2.55-8.05],2.5167417126969626e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD300C,CMRF35-like molecule 6,27695,129,2.39 [1.60-3.58],2.259098438205034e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD300E,CMRF35-like molecule 2,27588,128,2.71 [1.96-3.77],2.4170577628686544e-09
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD300LF,CMRF35-like molecule 1,27689,129,2.25 [1.65-3.07],3.226574664374109e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD302,CD302 antigen,27335,123,2.77 [1.77-4.34],8.44351559614546e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,27335,123,3.49 [2.26-5.37],1.5573034166373905e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD4,T-cell surface glycoprotein CD4,27366,129,1.72 [1.28-2.31],0.0003152016697931
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD46,Membrane cofactor protein,27266,129,2.71 [1.98-3.72],6.299140629769601e-10
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD5,T-cell surface glycoprotein CD5,27651,128,2.07 [1.56-2.76],5.452693439078991e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD55,Complement decay-accelerating factor,26478,124,2.69 [2.04-3.54],1.4341198472576308e-12
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD59,CD59 glycoprotein,26444,123,4.88 [3.50-6.79],6.571057060037504e-21
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD7,T-cell antigen CD7,23225,105,2.09 [1.52-2.88],5.665384929546787e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD72,B-cell differentiation antigen CD72,23440,106,2.38 [1.65-3.42],3.037274054983029e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD74,HLA class II histocompatibility antigen gamma chain,27695,129,2.94 [2.02-4.28],1.9960834170295828e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD79B,B-cell antigen receptor complex-associated protein beta chain,27743,128,1.92 [1.43-2.56],1.2312607523292847e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD80,T-lymphocyte activation antigen CD80,23955,109,2.39 [1.52-3.76],0.0001630130518575
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD83,CD83 antigen,27412,129,2.44 [1.63-3.65],1.4323368008500862e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD93,Complement component C1q receptor,26395,126,2.38 [1.56-3.65],6.424333929244894e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CD99,CD99 antigen,27461,125,3.63 [1.69-7.80],0.000933388278572
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CDH1,Cadherin-1,26523,124,1.83 [1.40-2.39],8.224806333131596e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CDH3,Cadherin-3,27695,129,2.64 [1.86-3.75],4.880927028925489e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CDSN,Corneodesmosin,27651,127,2.32 [1.64-3.29],2.346733909124205e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CEACAM19,Carcinoembryonic antigen-related cell adhesion molecule 19,23826,107,2.46 [1.68-3.62],4.484657559372178e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,23949,110,2.03 [1.39-2.97],0.000239177350028
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,26955,127,1.57 [1.20-2.06],0.000964001862618
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,23440,106,2.54 [1.61-4.02],6.712725381880809e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CFD,Complement factor D,23998,110,4.72 [2.49-8.93],1.9617466112433246e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CGREF1,Cell growth regulator with EF hand domain protein 1,27456,130,2.16 [1.53-3.04],1.1547378984741868e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",23899,108,3.16 [2.36-4.22],9.153501367361066e-15
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CHCHD6,MICOS complex subunit MIC25,23822,109,2.10 [1.48-2.97],2.755081502484691e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CHGA,Chromogranin-A,23949,110,1.56 [1.36-1.79],2.945478696363373e-10
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CHGB,Secretogranin-1,27591,129,1.94 [1.36-2.76],0.0002709710027618
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CHI3L1,Chitinase-3-like protein 1,26825,123,1.46 [1.22-1.74],3.293283529193121e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CHRDL1,Chordin-like protein 1,27543,129,3.40 [2.13-5.45],3.406099525020963e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CKAP4,Cytoskeleton-associated protein 4,27608,128,4.37 [3.11-6.14],1.7997177196728464e-17
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CLEC14A,C-type lectin domain family 14 member A,27461,125,3.24 [2.08-5.03],1.772738708514705e-07
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CLEC1A,C-type lectin domain family 1 member A,26955,127,3.23 [2.12-4.93],4.8954052759054884e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CLEC4D,C-type lectin domain family 4 member D,27412,129,1.62 [1.28-2.05],7.055945786555965e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CLEC6A,C-type lectin domain family 6 member A,26812,125,1.87 [1.40-2.51],2.7613611767911904e-05
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CLMP,CXADR-like membrane protein,27689,129,7.65 [4.40-13.32],6.27912613631303e-13
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,COCH,Cochlin,23955,109,2.22 [1.59-3.09],2.366948281214698e-06
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,COL15A1,Collagen alpha-1(XV) chain,23949,110,5.09 [2.88-8.98],1.966117548493149e-08
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,COL18A1,Collagen alpha-1(XVIII) chain,27564,132,13.82 [7.66-24.96],2.999036536112021e-18
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,COL6A3,Collagen alpha-3(VI) chain,27789,132,4.00 [2.87-5.56],1.9004293959190267e-16
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,COLEC12,Collectin-12,27458,128,5.99 [3.58-10.01],8.657224289198635e-12
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CPA1,Carboxypeptidase A1,27789,132,1.57 [1.24-1.99],0.0001973627960079
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CPA4,Carboxypeptidase A4,22961,102,2.21 [1.41-3.45],0.0005398514102129
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CPB1,Carboxypeptidase B,27789,132,1.57 [1.24-1.99],0.0001834376033058
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CPXM2,Inactive carboxypeptidase-like protein X2,23955,109,2.28 [1.41-3.70],0.0007981498251618
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CRELD1,Protein disulfide isomerase CRELD1,23440,106,2.34 [1.45-3.76],0.0004740990299522
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CRELD2,Protein disulfide isomerase CRELD2,27543,129,1.65 [1.26-2.17],0.000300685067782
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CRHBP,Corticotropin-releasing factor-binding protein,27458,128,2.58 [1.48-4.50],0.0008359731477484
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CRIM1,Cysteine-rich motor neuron 1 protein,27591,129,3.21 [1.63-6.30],0.0007190939504264
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CRIP2,Cysteine-rich protein 2,27273,123,1.86 [1.34-2.60],0.0002243222782032
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CRYGD,Gamma-crystallin D,23899,108,1.44 [1.19-1.74],0.0002171913069435
Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,CSF1,Macrophage colony-stimulating factor 1,27591,129,3.03 [1.83-5.02],1.6288756454855414e-05
