Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,ACSL1,Long-chain-fatty-acid--CoA ligase 1,22491,80,1.66 [1.17-2.35],0.0047188538641551
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,AMIGO1,Amphoterin-induced protein 1,22585,79,1.46 [1.14-1.88],0.0029557963121664
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,AP1G2,AP-1 complex subunit gamma-like 2,23094,83,1.40 [1.10-1.78],0.0055919737912713
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,ARAF,Serine/threonine-protein kinase A-Raf,22791,82,1.55 [1.25-1.93],8.070981687728153e-05
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,ARL13B,ADP-ribosylation factor-like protein 13B,22491,80,1.51 [1.18-1.92],0.0008744256435691
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",23226,82,2.29 [1.47-3.58],0.0002710503244363
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,22470,79,1.32 [1.08-1.63],0.007540046825821
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,C7orf50,Uncharacterized protein C7orf50,23171,81,1.80 [1.15-2.80],0.0099212361899765
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,CALCA,Calcitonin,26396,98,1.61 [1.28-2.02],4.236292420059969e-05
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,CAMSAP1,Calmodulin-regulated spectrin-associated protein 1,23192,82,1.29 [1.07-1.56],0.0066431061486234
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,CCL16,C-C motif chemokine 16,26954,101,1.62 [1.13-2.32],0.0090454353427602
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,CGA,Glycoprotein hormones alpha chain,26637,99,1.32 [1.10-1.59],0.0034981100604735
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal detachment with retinal break,CLIC5,Chloride intracellular channel protein 5,22585,79,1.81 [1.23-2.65],0.0024531470102734
