Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",23289,252,1.20 [1.06-1.37],0.0047717055258433
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,AP1G2,AP-1 complex subunit gamma-like 2,23160,248,1.23 [1.06-1.42],0.004781680484289
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CASC3,Protein CASC3,22631,246,1.43 [1.09-1.87],0.008649077006689
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CD2,T-cell surface antigen CD2,22545,242,0.51 [0.34-0.77],0.0014203305045134
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CD248,Endosialin,23281,249,0.59 [0.44-0.80],0.0005478640801522
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CDHR1,Cadherin-related family member 1,26069,290,0.61 [0.46-0.81],0.000509839847334
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CLEC3B,Tetranectin,22767,247,0.42 [0.24-0.75],0.0029841157951111
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,COMT,Catechol O-methyltransferase,25954,279,1.21 [1.07-1.37],0.0029226693697748
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CPPED1,Serine/threonine-protein phosphatase CPPED1,26952,293,1.32 [1.14-1.53],0.0002475957865268
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CSPG4,Chondroitin sulfate proteoglycan 4,23281,249,0.59 [0.41-0.85],0.0044693153636274
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,CUZD1,CUB and zona pellucida-like domain-containing protein 1,22631,246,1.41 [1.11-1.79],0.0044719993902955
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,DBN1,Drebrin,22625,245,1.35 [1.09-1.67],0.0058273112079261
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,26531,285,1.17 [1.05-1.31],0.0054052944245447
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,EHBP1,EH domain-binding protein 1,23289,252,1.24 [1.06-1.44],0.0076262710497112
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,ERP29,Endoplasmic reticulum resident protein 29,22795,246,1.15 [1.03-1.27],0.0093232044320363
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,FBLN2,Fibulin-2,23281,249,0.59 [0.40-0.87],0.0077030914498422
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,FLI1,Friend leukemia integration 1 transcription factor,26084,283,1.14 [1.04-1.26],0.0057498909809512
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,FRZB,Secreted frizzled-related protein 3,26435,284,0.62 [0.43-0.89],0.0092386670704181
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,GIT1,ARF GTPase-activating protein GIT1,22625,245,1.18 [1.04-1.34],0.0094886844316196
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,GLB1,Beta-galactosidase,26531,285,1.40 [1.10-1.80],0.0072031805401744
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,GUSB,Beta-glucuronidase,26842,295,1.35 [1.15-1.59],0.0003297404508333
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,HSPB1,Heat shock protein beta-1,26287,286,1.26 [1.07-1.49],0.0061462790876034
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,IL5RA,Interleukin-5 receptor subunit alpha,26670,292,1.29 [1.08-1.55],0.0058562348731929
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,IRAK1,Interleukin-1 receptor-associated kinase 1,26174,288,1.24 [1.08-1.44],0.0033281828809814
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,ITPA,Inosine triphosphate pyrophosphatase,22545,242,1.28 [1.08-1.52],0.005343817720838
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,26084,283,1.12 [1.03-1.22],0.007922261348071
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,KIRREL2,Kin of IRRE-like protein 2,26069,290,0.67 [0.51-0.87],0.0027338583776093
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,KLK4,Kallikrein-4,26944,292,0.78 [0.65-0.93],0.0057216063761654
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,LYPD1,Ly6/PLAUR domain-containing protein 1,26069,290,1.19 [1.05-1.35],0.0065951462508837
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,MANSC1,MANSC domain-containing protein 1,26819,292,0.61 [0.42-0.88],0.0084064183467589
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,MAPT,Microtubule-associated protein tau,26069,290,0.74 [0.63-0.87],0.000361301611186
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,MAVS,Mitochondrial antiviral-signaling protein,26084,283,1.16 [1.04-1.29],0.0090699418717356
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",23251,248,1.41 [1.14-1.74],0.00140913174136
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,MYO9B,Unconventional myosin-IXb,26174,288,1.23 [1.07-1.41],0.0043811008720605
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,NAAA,N-acylethanolamine-hydrolyzing acid amidase,26406,285,1.27 [1.07-1.50],0.0056986907403142
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,NPC2,NPC intracellular cholesterol transporter 2,22886,244,0.53 [0.35-0.79],0.0021506222314656
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,PCARE,Photoreceptor cilium actin regulator,22532,242,0.74 [0.61-0.90],0.0024320511164745
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,PDLIM7,PDZ and LIM domain protein 7,26849,293,1.11 [1.03-1.21],0.0081838360810849
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,PPP1R9B,Neurabin-2,26998,294,1.16 [1.04-1.29],0.0082537964308283
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,PRKAB1,5'-AMP-activated protein kinase subunit beta-1,26174,288,1.33 [1.12-1.57],0.0008578622381343
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,RAD23B,UV excision repair protein RAD23 homolog B,26084,283,1.31 [1.07-1.61],0.0081933029850823
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,RP2,Protein XRP2,26601,289,1.36 [1.08-1.71],0.0085382443657989
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,RUVBL1,RuvB-like 1,26084,283,0.85 [0.76-0.95],0.0052802104407985
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SELP,P-selectin,26809,293,1.27 [1.07-1.51],0.0066222086732898
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SIRT2,NAD-dependent protein deacetylase sirtuin-2,26601,289,1.17 [1.05-1.32],0.006789737393482
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SLAMF7,SLAM family member 7,26670,292,1.26 [1.06-1.50],0.0087481602261353
