Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Uterine polyps,ADGRG2,Adhesion G-protein coupled receptor G2,20843,144,0.47 [0.27-0.81],0.006618719618255
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CA4,Carbonic anhydrase 4,21103,147,0.42 [0.23-0.77],0.0050184746106946
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CD300LG,CMRF35-like molecule 9,20843,143,0.59 [0.40-0.88],0.009363166868226
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CD82,CD82 antigen,17805,119,1.54 [1.17-2.02],0.0017612133046509
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CD86,T-lymphocyte activation antigen CD86,18061,119,0.58 [0.40-0.85],0.005664458546762
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CDH3,Cadherin-3,21019,144,1.92 [1.33-2.77],0.0004929060339594
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CHRDL2,Chordin-like protein 2,20843,144,1.60 [1.26-2.01],8.207201598974346e-05
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CKMT1A_CKMT1B,"Creatine kinase U-type, mitochondrial",20776,143,0.79 [0.68-0.93],0.005377994011167
Chapter XIV Diseases of the genitourinary system,Uterine polyps,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",17560,118,1.26 [1.08-1.45],0.0024505395999733
Chapter XIV Diseases of the genitourinary system,Uterine polyps,DEFA1_DEFA1B,Neutrophil defensin 1,20402,146,1.46 [1.15-1.84],0.001573432362558
Chapter XIV Diseases of the genitourinary system,Uterine polyps,DKK4,Dickkopf-related protein 4,20670,140,1.46 [1.10-1.95],0.0087800641046611
Chapter XIV Diseases of the genitourinary system,Uterine polyps,EPO,Erythropoietin,20806,142,1.24 [1.07-1.45],0.0053929807444695
Chapter XIV Diseases of the genitourinary system,Uterine polyps,FGF16,Fibroblast growth factor 16,17632,121,0.54 [0.35-0.83],0.0055870681733411
Chapter XIV Diseases of the genitourinary system,Uterine polyps,FLT3LG,Fms-related tyrosine kinase 3 ligand,21057,144,0.48 [0.31-0.75],0.0013385615652016
Chapter XIV Diseases of the genitourinary system,Uterine polyps,FNDC1,Fibronectin type III domain-containing protein 1,18117,119,0.58 [0.40-0.84],0.0038064143813454
Chapter XIV Diseases of the genitourinary system,Uterine polyps,FRZB,Secreted frizzled-related protein 3,20627,140,2.26 [1.26-4.06],0.0062725294497818
Chapter XIV Diseases of the genitourinary system,Uterine polyps,FSHB,Follitropin subunit beta,17663,119,0.60 [0.46-0.79],0.0002292503509932
Chapter XIV Diseases of the genitourinary system,Uterine polyps,GFRAL,GDNF family receptor alpha-like,17555,117,0.65 [0.49-0.88],0.0048369304407659
Chapter XIV Diseases of the genitourinary system,Uterine polyps,GSN,Gelsolin,18092,122,0.43 [0.27-0.66],0.0001587171451859
Chapter XIV Diseases of the genitourinary system,Uterine polyps,IL32,Interleukin-32,20806,142,0.57 [0.39-0.82],0.0022516043832188
Chapter XIV Diseases of the genitourinary system,Uterine polyps,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,18182,121,2.49 [1.25-4.99],0.0097903414515582
Chapter XIV Diseases of the genitourinary system,Uterine polyps,KHDC3L,KH domain-containing protein 3,17501,117,1.32 [1.11-1.57],0.0015690662942311
Chapter XIV Diseases of the genitourinary system,Uterine polyps,KLK4,Kallikrein-4,21016,143,1.65 [1.35-2.02],7.531281080812913e-07
Chapter XIV Diseases of the genitourinary system,Uterine polyps,LEFTY2,Left-right determination factor 2,20985,142,1.43 [1.10-1.85],0.00677718003661
Chapter XIV Diseases of the genitourinary system,Uterine polyps,LYSMD3,LysM and putative peptidoglycan-binding domain-containing protein 3,17638,118,1.22 [1.06-1.40],0.0056764717253216
Chapter XIV Diseases of the genitourinary system,Uterine polyps,MAMDC2,MAM domain-containing protein 2,18144,123,1.82 [1.16-2.86],0.0089901014957965
Chapter XIV Diseases of the genitourinary system,Uterine polyps,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,17560,118,1.43 [1.22-1.69],1.2622997089556988e-05
Chapter XIV Diseases of the genitourinary system,Uterine polyps,MAPT,Microtubule-associated protein tau,20312,136,0.72 [0.57-0.92],0.00791532016778
Chapter XIV Diseases of the genitourinary system,Uterine polyps,MATN3,Matrilin-3,20669,140,1.89 [1.24-2.88],0.0031509986781295
Chapter XIV Diseases of the genitourinary system,Uterine polyps,PAEP,Glycodelin,20698,140,1.23 [1.12-1.35],2.2235525971581264e-05
Chapter XIV Diseases of the genitourinary system,Uterine polyps,PI16,Peptidase inhibitor 16,18154,123,0.38 [0.19-0.75],0.0051364435978586
Chapter XIV Diseases of the genitourinary system,Uterine polyps,PON2,Serum paraoxonase/arylesterase 2,20432,143,1.81 [1.19-2.75],0.0056612689247417
Chapter XIV Diseases of the genitourinary system,Uterine polyps,PSPN,Persephin,20806,142,1.20 [1.05-1.38],0.0095975220134126
Chapter XIV Diseases of the genitourinary system,Uterine polyps,PZP,Pregnancy zone protein,18182,121,0.66 [0.50-0.88],0.0037828098468745
Chapter XIV Diseases of the genitourinary system,Uterine polyps,RNF149,E3 ubiquitin-protein ligase RNF149,17663,119,0.43 [0.24-0.78],0.0054861440869737
Chapter XIV Diseases of the genitourinary system,Uterine polyps,SCARA5,Scavenger receptor class A member 5,21019,144,0.45 [0.27-0.75],0.0019321158440609
Chapter XIV Diseases of the genitourinary system,Uterine polyps,SCG3,Secretogranin-3,20885,143,0.55 [0.35-0.85],0.0071839053942023
Chapter XIV Diseases of the genitourinary system,Uterine polyps,SLAMF7,SLAM family member 7,20806,142,0.63 [0.49-0.82],0.0005381811146353
Chapter XIV Diseases of the genitourinary system,Uterine polyps,SLURP1,Secreted Ly-6/uPAR-related protein 1,18005,123,0.42 [0.24-0.74],0.0027267166455741
Chapter XIV Diseases of the genitourinary system,Uterine polyps,SPINK1,Serine protease inhibitor Kazal-type 1,20843,143,0.59 [0.41-0.86],0.0061744531960505
Chapter XIV Diseases of the genitourinary system,Uterine polyps,STX1B,Syntaxin-1B,17638,118,0.37 [0.21-0.68],0.0012785545764371
Chapter XIV Diseases of the genitourinary system,Uterine polyps,TSPAN1,Tetraspanin-1,20432,143,1.75 [1.35-2.28],2.5395993380791457e-05
