Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ACHE,Acetylcholinesterase,20235,114,0.55 [0.31-0.99],0.046018683982392
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,23720,128,0.69 [0.49-0.97],0.0333216639295213
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ACY1,Aminoacylase-1,23720,128,0.56 [0.43-0.73],2.2536653205135752e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ADGRG2,Adhesion G-protein coupled receptor G2,23720,128,0.43 [0.24-0.77],0.0046166915072192
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ADGRV1,Adhesion G-protein coupled receptor V1,20001,116,0.65 [0.47-0.90],0.0100003768457245
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,AGR2,Anterior gradient protein 2 homolog,22945,126,1.19 [1.03-1.39],0.0208733141109337
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,AGXT,Serine--pyruvate aminotransferase,23720,128,0.76 [0.61-0.95],0.0179759313217498
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,AKR1C4,Aldo-keto reductase family 1 member C4,23265,127,0.65 [0.45-0.94],0.0211130059490708
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,AMBP,Protein AMBP,23876,129,2.34 [1.09-5.01],0.0290162284208656
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,20666,117,0.50 [0.26-0.96],0.0386519264036261
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ANPEP,Aminopeptidase N,23751,129,0.51 [0.28-0.90],0.021634523434247
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ANXA10,Annexin A10,23152,127,1.38 [1.17-1.62],8.670917094472238e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,APOE,Apolipoprotein E,20708,117,1.27 [1.09-1.49],0.0023830650065464
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,APOL1,Apolipoprotein L1,20687,118,1.33 [1.06-1.67],0.0129516107350077
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ARAF,Serine/threonine-protein kinase A-Raf,20277,116,0.71 [0.53-0.96],0.0238731160288454
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ASGR2,Asialoglycoprotein receptor 2,20687,118,2.28 [1.21-4.29],0.0106807782575931
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ASS1,Argininosuccinate synthase,20016,114,0.71 [0.56-0.90],0.0050936455240572
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ATP5PO,"ATP synthase subunit O, mitochondrial",23152,127,1.41 [1.09-1.81],0.007950017911111
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ATRAID,All-trans retinoic acid-induced differentiation factor,20559,119,1.55 [1.15-2.08],0.0038029192430404
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ATXN3,Ataxin-3,20621,116,0.71 [0.53-0.94],0.0178794475875372
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,B4GAT1,"Beta-1,4-glucuronyltransferase 1",23713,130,0.51 [0.27-0.97],0.0410106535372799
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BABAM1,BRISC and BRCA1-A complex member 1,20078,115,0.46 [0.22-0.93],0.0315529721194813
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BACH1,Transcription regulator protein BACH1,23671,130,0.72 [0.58-0.91],0.0055417795236054
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BCL2L11,"Bcl-2-like protein 11, Isoform BimL ",23671,130,0.66 [0.49-0.88],0.0055291833649669
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BCR,Breakpoint cluster region protein,23671,130,0.80 [0.67-0.95],0.0097100081064592
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BIN2,Bridging integrator 2,23713,130,0.78 [0.66-0.93],0.0061538130764491
