Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADM,Pro-adrenomedullin,26365,2521,1.59 [1.39-1.82],1.6824181243138322e-11
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,AMBP,Protein AMBP,26328,2519,2.05 [1.72-2.43],6.88439163652477e-16
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ANXA10,Annexin A10,25505,2449,1.15 [1.11-1.20],1.3096836985866768e-11
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,AREG,Amphiregulin,26034,2481,1.27 [1.19-1.36],9.36235426113624e-12
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ASGR1,Asialoglycoprotein receptor 1,25969,2473,1.59 [1.42-1.79],7.256845760008583e-15
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CBLN4,Cerebellin-4,26365,2521,0.69 [0.62-0.77],6.058458630455932e-11
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD27,CD27 antigen,26237,2524,1.37 [1.26-1.49],2.82130794332341e-13
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD302,CD302 antigen,26034,2481,1.54 [1.37-1.72],7.189213592723335e-14
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CHGA,Chromogranin-A,22771,2161,1.39 [1.34-1.44],6.883102630947483e-69
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CKAP4,Cytoskeleton-associated protein 4,26287,2512,1.49 [1.31-1.69],6.106306589478631e-10
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,COL18A1,Collagen alpha-1(XVIII) chain,26247,2520,1.73 [1.48-2.01],1.4118215036677998e-12
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,COL6A3,Collagen alpha-3(VI) chain,26457,2534,1.37 [1.24-1.51],7.611948381842723e-10
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CST3,Cystatin-C,26204,2515,1.51 [1.34-1.71],3.1928346166830356e-11
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,EFNA4,Ephrin-A4,25928,2469,1.46 [1.30-1.64],1.3100319547153428e-10
