Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,ANXA10,Annexin A10,20830,573,1.37 [1.27-1.48],1.188212496523195e-15
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,ASGR1,Asialoglycoprotein receptor 1,21211,585,2.09 [1.66-2.64],6.52505607165377e-10
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,CD302,CD302 antigen,21258,575,2.29 [1.83-2.86],4.33212345851408e-13
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,CHGA,Chromogranin-A,18632,528,1.84 [1.72-1.96],9.803664704887192e-72
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,CSF1,Macrophage colony-stimulating factor 1,21445,594,2.22 [1.72-2.86],6.567695101592681e-10
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,CTSL,Cathepsin L1,21330,596,2.53 [1.89-3.39],4.711954733224237e-10
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,GAST,Gastrin,18616,525,1.44 [1.37-1.51],2.206871000070142e-47
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,GDF15,Growth/differentiation factor 15,21604,597,1.72 [1.54-1.92],1.6305841257630878e-22
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,NPC2,NPC intracellular cholesterol transporter 2,18322,518,1.91 [1.56-2.33],2.6050228485294117e-10
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,PGA4,Pepsin A-4,18653,529,2.04 [1.81-2.29],4.050305636256232e-33
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,SCT,Secretin,18126,499,0.49 [0.40-0.60],2.883194259489086e-12
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,TFF2,Trefoil factor 2,21409,592,1.51 [1.35-1.69],1.5100687928980209e-12
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,21533,594,1.75 [1.47-2.08],1.9005257595559079e-10
Chapter XI Diseases of the digestive system,Other diseases of oesophagus,VSIG2,V-set and immunoglobulin domain-containing protein 2,18542,520,2.20 [1.96-2.47],3.667036127301706e-40
