Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,A1BG,Alpha-1B-glycoprotein,22498,67,2.33 [0.60-9.04],0.2221784928236943
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,AAMDC,Mth938 domain-containing protein,21887,64,0.82 [0.52-1.29],0.390370055991286
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,AARSD1,Alanyl-tRNA editing protein Aarsd1,25585,70,1.39 [0.97-2.00],0.0708483210277176
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ABCA2,ATP-binding cassette sub-family A member 2,21741,66,2.35 [1.62-3.40],6.272615746267306e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ABHD14B,Protein ABHD14B,25458,70,0.95 [0.66-1.38],0.7979803307728166
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ABL1,Tyrosine-protein kinase ABL1,25585,70,1.05 [0.77-1.43],0.7464947036604115
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ABO,Histo-blood group ABO system transferase,22458,67,1.08 [0.92-1.26],0.3688552803448326
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ABRAXAS2,BRISC complex subunit Abraxas 2,21741,66,1.21 [0.85-1.71],0.283387748767557
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",25108,68,1.39 [1.10-1.75],0.0051233913430168
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",22025,68,1.17 [0.90-1.52],0.2422610727767039
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",22457,68,1.13 [0.88-1.45],0.3383973886267308
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACAN,Aggrecan core protein,25474,70,3.43 [1.63-7.21],0.0011472885893085
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACE,Angiotensin-converting enzyme,22458,67,1.63 [0.67-3.99],0.2852900600588788
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACE2,Angiotensin-converting enzyme 2,25231,69,1.72 [1.22-2.43],0.0017979056837016
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACHE,Acetylcholinesterase,21984,66,2.43 [1.53-3.87],0.0001741335785571
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACOT13,Acyl-coenzyme A thioesterase 13,22349,67,1.02 [0.83-1.25],0.8624414846882684
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,25701,71,1.19 [0.81-1.75],0.3773222971679423
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACP1,Low molecular weight phosphotyrosine protein phosphatase,21825,64,0.73 [0.41-1.30],0.2799797000097807
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACP5,Tartrate-resistant acid phosphatase type 5,25815,70,1.96 [1.20-3.22],0.0073053562581569
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACP6,Lysophosphatidic acid phosphatase type 6,25874,71,1.15 [0.83-1.61],0.4018196093583663
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACRBP,Acrosin-binding protein,22328,67,0.99 [0.54-1.82],0.9793096719036006
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACRV1,Acrosomal protein SP-10,21825,64,1.20 [0.62-2.31],0.5848223757989743
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACSL1,Long-chain-fatty-acid--CoA ligase 1,21741,66,1.02 [0.56-1.86],0.9471722460529508
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACTA2,"Actin, aortic smooth muscle",25231,69,1.65 [1.20-2.26],0.0018091921807897
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACTN2,Alpha-actinin-2,21741,66,1.24 [0.85-1.82],0.270191578456934
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACTN4,Alpha-actinin-4,25199,70,1.40 [0.84-2.32],0.1999013415304143
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACVRL1,Serine/threonine-protein kinase receptor R3,25503,70,10.51 [5.62-19.67],1.7925235543038997e-13
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,ACY1,Aminoacylase-1,25701,71,1.63 [1.20-2.22],0.0018316583888083
