Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",A1BG,Alpha-1B-glycoprotein,22621,124,1.93 [0.72-5.19],0.1895522831346889
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",AAMDC,Mth938 domain-containing protein,22009,127,1.32 [0.97-1.80],0.0739846332098264
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",AARSD1,Alanyl-tRNA editing protein Aarsd1,25777,141,1.04 [0.80-1.35],0.7633664558647232
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ABCA2,ATP-binding cassette sub-family A member 2,21856,113,0.95 [0.58-1.57],0.844070877696089
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ABHD14B,Protein ABHD14B,25632,140,1.29 [1.01-1.66],0.0410815719340172
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ABL1,Tyrosine-protein kinase ABL1,25777,141,1.18 [0.96-1.45],0.1210782069719799
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ABO,Histo-blood group ABO system transferase,22590,128,0.92 [0.81-1.03],0.1405067090187845
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ABRAXAS2,BRISC complex subunit Abraxas 2,21856,113,1.38 [1.07-1.79],0.0126763978179599
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",25275,135,1.12 [0.94-1.34],0.2193477030435733
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",22159,126,1.01 [0.81-1.28],0.903864709681376
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",22580,127,1.19 [0.99-1.42],0.0617562972968993
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACAN,Aggrecan core protein,25668,142,1.20 [0.71-2.03],0.4966496347505622
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACE,Angiotensin-converting enzyme,22590,128,1.24 [0.64-2.38],0.5215357154617453
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACE2,Angiotensin-converting enzyme 2,25414,136,1.34 [1.02-1.77],0.0374574244670455
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACHE,Acetylcholinesterase,22091,126,0.46 [0.26-0.80],0.0062090488396871
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACOT13,Acyl-coenzyme A thioesterase 13,22460,126,1.20 [1.04-1.40],0.0156287822773396
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,25898,143,1.19 [0.91-1.56],0.2092905427708213
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACP1,Low molecular weight phosphotyrosine protein phosphatase,21938,122,0.90 [0.61-1.34],0.6189969564469122
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACP5,Tartrate-resistant acid phosphatase type 5,26021,143,1.26 [0.80-1.99],0.3205040684846682
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACP6,Lysophosphatidic acid phosphatase type 6,26065,142,1.13 [0.89-1.42],0.319021406128532
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACRBP,Acrosin-binding protein,22456,127,1.71 [1.29-2.25],0.000159789260173
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACRV1,Acrosomal protein SP-10,21938,122,1.28 [0.80-2.04],0.2986514327469072
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACSL1,Long-chain-fatty-acid--CoA ligase 1,21856,113,1.19 [0.79-1.79],0.4105497646616659
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACTA2,"Actin, aortic smooth muscle",25414,136,1.29 [0.97-1.73],0.0821378610689597
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACTN2,Alpha-actinin-2,21856,113,1.13 [0.82-1.55],0.4503454079569181
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACTN4,Alpha-actinin-4,25383,138,1.23 [0.81-1.86],0.3310554991962203
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACVRL1,Serine/threonine-protein kinase receptor R3,25672,139,1.50 [0.81-2.79],0.1979976552509784
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACY1,Aminoacylase-1,25898,143,1.05 [0.83-1.34],0.6762916524492301
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,21856,113,0.85 [0.61-1.19],0.3471739053302681
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ACYP1,Acylphosphatase-1,22005,125,1.45 [1.14-1.86],0.0027970567880177
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADA,Adenosine deaminase,26167,142,1.18 [0.78-1.77],0.4354484016650344
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADA2,Adenosine deaminase 2,25726,142,1.69 [1.21-2.37],0.0021425305410868
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,21938,122,1.12 [0.72-1.74],0.600494522399207
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,25414,136,1.29 [0.78-2.11],0.3201206562252834
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,25713,140,0.67 [0.44-1.03],0.0688009530532497
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,26167,142,1.10 [0.72-1.69],0.6572269213360489
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,26070,143,2.13 [1.29-3.53],0.0032843195392009
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,22460,126,0.85 [0.47-1.52],0.575303593511167
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,21938,122,1.03 [0.60-1.77],0.9146365264412336
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,26217,143,1.16 [0.60-2.22],0.6598687774089187
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,25777,141,1.23 [0.87-1.75],0.2442155032803437
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,25414,136,1.26 [0.83-1.91],0.2778842963822893
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,21938,122,1.30 [0.82-2.06],0.2635798573797796
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,25985,142,0.76 [0.55-1.05],0.0903053958614429
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTSL2,ADAMTS-like protein 2,22574,127,1.46 [0.86-2.46],0.1605853190859977
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTSL4,ADAMTS-like protein 4,22009,127,1.23 [0.59-2.55],0.5795878352187829
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADAMTSL5,ADAMTS-like protein 5,22580,127,0.70 [0.45-1.08],0.1032614285952707
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,25275,135,1.06 [0.71-1.57],0.7913006925014455
