Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,ACVRL1,Serine/threonine-protein kinase receptor R3,48208,130,2.77 [1.64-4.68],0.000140633556855
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,ANGPT2,Angiopoietin-2,49068,131,1.93 [1.32-2.83],0.0006592412366438
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,AREG,Amphiregulin,48437,130,2.02 [1.50-2.71],2.8073634022026217e-06
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,ARTN,Artemin,47747,129,1.56 [1.31-1.87],8.751715934483106e-07
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,ASGR1,Asialoglycoprotein receptor 1,48286,130,2.25 [1.45-3.50],0.0002925849905622
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,CD27,CD27 antigen,48802,125,1.86 [1.34-2.59],0.0002030393711982
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,CD74,HLA class II histocompatibility antigen gamma chain,49097,131,2.17 [1.45-3.24],0.0001519257011393
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,CD79B,B-cell antigen receptor complex-associated protein beta chain,49196,131,1.66 [1.24-2.21],0.000666599427921
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,COL6A3,Collagen alpha-3(VI) chain,49261,130,2.17 [1.50-3.14],4.375872621425442e-05
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,CPM,Carboxypeptidase M,48868,131,2.11 [1.39-3.22],0.0004738503950316
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,CST3,Cystatin-C,48771,128,2.25 [1.40-3.62],0.0008200108014889
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,CXCL13,C-X-C motif chemokine 13,49097,131,1.36 [1.15-1.62],0.0004439981545571
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,EFNA4,Ephrin-A4,48208,130,2.16 [1.45-3.22],0.0001672096475492
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,FABP1,"Fatty acid-binding protein, liver",48625,127,1.35 [1.16-1.57],0.0001164742990937
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,FCRL2,Fc receptor-like protein 2,48970,131,1.63 [1.29-2.06],3.888028940039285e-05
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,GDF15,Growth/differentiation factor 15,49261,130,1.64 [1.24-2.17],0.0004982956383424
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,HAVCR1,Hepatitis A virus cellular receptor 1,49002,131,1.52 [1.22-1.88],0.0001771229912413
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,HAVCR2,Hepatitis A virus cellular receptor 2,48664,129,2.23 [1.51-3.29],4.993284665137905e-05
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,HNMT,Histamine N-methyltransferase,48059,130,1.96 [1.46-2.64],7.80899836534422e-06
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,48283,127,2.32 [1.43-3.77],0.0006943404929159
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,IGFBP4,Insulin-like growth factor-binding protein 4,48043,129,1.72 [1.29-2.30],0.0002557534340389
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,IGFBPL1,Insulin-like growth factor-binding protein-like 1,48659,130,2.15 [1.43-3.22],0.0002280354771985
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,IL18BP,Interleukin-18-binding protein,48848,128,2.32 [1.50-3.59],0.0001624687994243
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,IL1RAP,Interleukin-1 receptor accessory protein,48664,129,0.52 [0.35-0.75],0.0006072190263367
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,ITGBL1,Integrin beta-like protein 1,42366,111,1.97 [1.36-2.85],0.0003561810116775
Chapter IX Diseases of the circulatory system,Other intracranial haemorrhages,LAG3,Lymphocyte activation gene 3 protein,48437,130,1.72 [1.26-2.34],0.0006306667129618
